undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
696,18.0,71.0,71.0,-2.0,2.0,0.0,0,0,0,5,SEA,0,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,144.391828024,GOAL,20009,1,8475831,Philipp Grubauer,0,0,0,5,ANA,0,1,9,1.0,0,FAC,0.0,0.0,AWAY,-69,-69,-22,-22,AWAYZONE,0,1,19,0,R,2022,R,Troy Terry,8478873.0,23,23,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,-7.59464336859,7.59464336859,0.0,0.0,0,15.1327459504,0,0,0,0,0,0,0,0,WRIST,1.0,74,0.128852,-2,-2,
697,91.0,4.0,4.0,-32.0,32.0,0.0,0,0,0,5,SEA,0,25.0,25.0,25.0,25.0,25.0,25.0,2,3,25,25,25,25,25,25,25,25,25,25,25,25,81.4984662432,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,13,1.0,0,HIT,0.0,0.0,HOME,-77,-77,-41,-41,Neu. Zone,1,1,77,0,R,2022,L,Frank Vatrano,8478366.0,25,25,25.0,25.0,25.0,25.0,25.0,25.0,2,3,25,25,25,25,25,25,25,25,25,25,25,25,-20.6298799461,20.6298799461,0.0,0.0,0,90.8240056373,0,1,0,0,0,0,0,0,WRIST,1.0,4,0.00561677,-32,-32,
698,20.0,70.0,70.0,-5.0,5.0,0.0,0,0,0,5,SEA,0,10.0,10.0,10.0,10.0,10.0,10.0,2,3,10,10,10,10,10,10,10,10,10,10,10,10,18.2482875909,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,16,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,1,1,21,0,C,2022,L,Isac Lundestrom,8480806.0,10,10,10.0,10.0,10.0,10.0,10.0,10.0,2,3,10,10,10,10,10,10,10,10,10,10,10,10,-13.2405199152,13.2405199152,0.0,0.0,0,17.4642491966,0,0,0,0,1,0,0,0,TIP,1.0,72,0.0607091,-4,-4,
702,40.0,-76.0,76.0,-38.0,38.0,16.0,0,0,0,5,SEA,0,12.6,4.5,4.5,18.0,18.0,12.6,2,3,32,6,6,32,32,32,3,3,3,4,4,3,58.6941223633,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,27,1.0,0,FAC,0.0,0.0,HOME,-20,20,-22,22,HOMEZONE,0,1,4,0,D,2022,L,Cam Fowler,8475764.0,44,44,28.6,30.5,30.5,27.3333333333,27.3333333333,28.6,2,3,44,44,44,40,40,44,4,17,17,4,4,4,71.5650511771,71.5650511771,0.0,0.0,0,37.947331922,0,0,0,1,0,0,0,0,WRIST,1.0,-77,0.00769992,-36,36,
705,35.0,64.0,64.0,24.0,24.0,-21.0,0,0,0,5,SEA,0,27.8,27.0,27.0,28.3333333333,28.3333333333,27.8,2,3,45,43,43,45,45,45,3,11,11,3,3,3,80.0562302385,MISS,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,33,1.0,0,HIT,0.0,0.0,HOME,13,13,-38,-38,AWAYZONE,0,1,4,0,D,2022,L,Cam Fowler,8475764.0,17,17,6.8,11.0,11.0,4.0,4.0,6.8,2,3,17,17,17,5,5,17,3,5,5,3,3,3,43.7269699799,43.7269699799,0.0,0.0,0,31.8276609257,0,0,0,1,0,0,0,0,SLAP,0.0,66,0.0360227,22,22,
706,37.0,53.0,53.0,8.0,8.0,-21.0,0,0,0,5,SEA,0,34.8,34.0,34.0,35.3333333333,35.3333333333,34.8,2,3,52,50,50,52,52,52,10,18,18,10,10,10,18.0277563773,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,34,1.0,0,MISS,43.7269699799,31.8276609257,HOME,66,66,22,22,AWAYZONE,0,1,37,4,C,2022,L,Mason McTavish,8482745.0,10,10,13.8,18.0,18.0,11.0,11.0,13.8,2,3,24,24,24,12,12,24,10,12,12,10,10,10,11.9761324442,11.9761324442,31.7508375357,4.53583393368,0,33.7342555869,0,0,0,0,1,0,0,0,SNAP,1.0,56,0.045199,7,7,
721,56.0,37.0,37.0,-22.0,22.0,0.0,0,0,0,5,SEA,1,13.6,8.0,8.0,17.3333333333,8.0,8.0,2,3,19,8,8,19,8,8,8,8,8,16,8,8,54.4058820349,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,78,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,1,1,21,0,C,2022,L,Isac Lundestrom,8480806.0,8,8,16.6,19.5,8.0,14.6666666667,8.0,8.0,2,3,20,20,8,19,8,8,8,19,8,8,8,8,-22.9321004376,22.9321004376,0.0,0.0,0,56.462376854,0,0,0,0,1,0,0,0,WRIST,1.0,37,0.010375,-22,-22,
726,46.0,50.0,50.0,-24.0,24.0,0.4,0,0,0,5,SEA,1,43.0,51.5,51.5,37.3333333333,37.3333333333,43.0,2,3,53,53,53,44,44,53,28,50,50,28,28,28,52.6307894678,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,87,1.0,0,GIVE,0.0,0.0,HOME,-1,-1,-37,-37,AWAYZONE,0,1,6,0,D,2022,R,Jamie Drysdale,8482142.0,43,43,43.4,43.5,43.5,43.3333333333,43.3333333333,43.4,2,3,45,44,44,45,45,45,42,43,43,42,42,42,-31.6075022462,31.6075022462,0.0,0.0,0,45.7930125674,0,0,0,1,0,0,0,0,SNAP,1.0,50,0.0260205,-24,-24,
727,29.0,61.0,61.0,-7.0,7.0,0.0,0,120,114,4,SEA,1,6.0,6.0,6.0,6.0,6.0,6.0,2,2,6,6,6,6,6,6,6,6,6,6,6,6,16.7630546142,SHOT,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,90,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,0,1,16,0,C,2022,R,Ryan Strome,8476458.0,51,6,33.4,6.0,6.0,40.25,6.0,6.0,1,4,53,6,6,53,6,6,6,6,6,7,6,6,-13.4957332808,13.4957332808,0.0,0.0,0,25.7099202644,0,1,0,0,0,0,0,0,WRIST,1.0,64,0.0811921,-6,-6,
728,13.0,78.0,78.0,-7.0,7.0,3.05,0,120,18,4,SEA,1,40.75,41.5,41.5,40.0,40.0,40.75,2,2,42,42,42,42,42,42,38,41,41,38,38,38,80.2246844805,MISS,20009,0,8475831,Philipp Grubauer,0,0,0,5,ANA,1,1,95,1.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,AWAYZONE,1,1,40,0,L,2022,L,Pavol Regenda,8483630.0,35,35,48.4,32.5,32.5,59.0,51.3333333333,43.8,2,3,103,37,37,103,80,80,28,28,28,35,35,28,-33.690067526,33.690067526,0.0,0.0,0,10.8166538264,0,0,0,1,0,0,0,0,WRIST,0.0,80,0.1232,-6,-6,
