undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
871,18.0,-73.0,73.0,8.0,8.0,-10.0,0,0,0,5,ARI,0,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,140.032139168,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,1,1,18,0.0,0,BLOCK,0.0,0.0,HOME,66,-66,11,-11,HOMEZONE,0,1,44,0,R,2022,R,Zack Kassian,8475178.0,29,29,19.0,4.0,4.0,29.0,29.0,19.0,2,3,29,5,5,29,29,29,3,3,3,29,29,3,-28.0724869359,28.0724869359,28.0724869359,5.61449738717,0,17.0,0,0,0,1,0,0,0,0,WRIST,1.0,-74,0.152844,8,-8,
874,37.0,-57.0,57.0,18.0,18.0,-21.0,0,120,16,4,ARI,0,32.0,32.0,32.0,32.0,32.0,32.0,1,4,32,32,32,32,32,32,32,32,32,32,32,32,142.302494708,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,1,1,32,0.0,0,SHOT,0.0,0.0,HOME,78,-78,-27,27,HOMEZONE,0,1,17,67,C,2022,R,Nick Bjugstad,8475760.0,32,32,11.0,4.0,4.0,18.0,18.0,11.0,2,2,32,5,5,32,32,32,3,3,3,4,4,3,-29.3577535428,29.3577535428,0.0,0.0,0,36.7151195014,0,0,0,0,1,0,0,0,SNAP,1.0,-57,0.03915,18,-18,
878,29.0,-66.0,66.0,17.0,17.0,0.0,0,120,99,5,ARI,0,14.0,14.0,14.0,14.0,14.0,14.0,2,3,14,14,14,14,14,14,14,14,14,14,14,14,68.1542368456,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,45,0.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,HOMEZONE,0,1,17,0,C,2022,R,Nick Bjugstad,8475760.0,14,14,15.4,17.5,14.0,14.0,14.0,14.0,2,3,21,21,14,14,14,14,14,14,14,14,14,14,-36.4692343901,36.4692343901,0.0,0.0,0,28.6006992922,0,0,0,1,0,0,0,0,WRIST,1.0,-66,0.0456655,17,-17,
892,36.0,-59.0,59.0,19.0,19.0,0.0,0,0,0,5,ARI,0,31.5,38.0,25.0,25.0,25.0,25.0,2,2,51,51,25,25,25,25,25,25,25,25,25,25,10.4403065089,MISS,20011,0,8477465,Tristan Jarry,0,120,95,4,PIT,3,1,97,0.0,0,FAC,0.0,0.0,AWAY,-69,69,22,-22,HOMEZONE,1,1,29,0,C,2022,L,Barrett Hayton,8480849.0,25,25,32.4,62.0,25.0,25.0,25.0,25.0,1,4,62,62,25,25,25,25,25,62,25,25,25,25,-32.3474434994,32.3474434994,0.0,0.0,0,35.5105618091,0,0,0,0,1,0,0,0,SNAP,0.0,-59,0.00931241,19,-19,
893,56.0,-37.0,37.0,-20.0,20.0,8.8,0,0,0,5,ARI,0,14.0,14.5,14.5,13.6666666667,13.6666666667,14.0,2,3,15,15,15,15,15,15,11,14,14,11,11,11,20.2484567313,MISS,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,100,0.0,0,HIT,0.0,0.0,HOME,-31,31,-39,39,HOMEZONE,0,1,12,0,L,2022,L,Nick Ritchie,8477941.0,21,21,22.8,24.0,24.0,22.0,22.0,22.8,2,3,37,25,25,37,37,37,8,23,23,8,8,8,21.4129694749,21.4129694749,0.0,0.0,0,54.7813836992,0,0,0,0,1,0,0,0,WRIST,0.0,-38,0.0104172,-20,20,
896,21.0,-73.0,73.0,-13.0,13.0,-21.0,0,0,0,5,ARI,0,45.8,55.5,55.5,39.3333333333,39.3333333333,45.8,2,3,56,56,56,56,56,56,6,55,55,6,6,6,26.1725046566,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,107,0.0,0,HIT,0.0,0.0,HOME,-91,91,-32,32,HOMEZONE,1,1,72,0,C,2022,R,Travis Boyd,8476329.0,34,34,24.8,8.5,8.5,35.6666666667,35.6666666667,24.8,2,3,49,9,9,49,49,49,8,8,8,24,24,8,39.0938588862,39.0938588862,0.0,0.0,0,20.6155281281,0,1,0,0,0,0,0,0,WRIST,1.0,-73,0.0664634,-13,13,
897,48.0,-57.0,57.0,36.0,36.0,0.0,0,0,0,5,ARI,0,25.4,24.0,24.0,26.3333333333,24.0,24.0,2,3,31,24,24,31,24,24,24,24,24,24,24,24,43.4626276242,MISS,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,112,0.0,0,HIT,0.0,0.0,HOME,-97,97,19,-19,HOMEZONE,0,1,25,0,D,2022,R,Conor Timmins,8479982.0,33,24,27.8,33.5,24.0,24.0,24.0,24.0,2,3,34,34,24,24,24,24,24,33,24,24,24,24,-48.3664606634,48.3664606634,0.0,0.0,0,48.1663783152,0,0,0,1,0,0,0,0,WRIST,0.0,-57,0.00830894,36,-36,
902,60.0,33.0,33.0,-22.0,22.0,-11.2,0,120,0,5,ARI,0,64.0,60.0,35.0,66.6666666667,35.0,35.0,2,3,67,64,35,67,35,35,56,56,35,66,35,35,112.53888217,MISS,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,137,0.0,0,FAC,0.0,0.0,HOME,-69,-69,22,22,HOMEZONE,0,2,25,0,D,2022,R,Conor Timmins,8479982.0,13,13,23.8,12.5,12.5,31.3333333333,31.3333333333,23.8,2,3,35,13,13,35,35,35,12,12,12,24,24,12,-21.2505055071,21.2505055071,0.0,0.0,0,57.9396237475,0,0,0,0,1,0,0,0,SLAP,0.0,35,0.0150773,-21,-21,
903,25.0,80.0,80.0,-23.0,23.0,-3.0,0,0,0,5,ARI,0,22.8,23.5,23.5,22.3333333333,22.3333333333,22.8,2,3,24,24,24,23,23,24,22,23,23,22,22,22,7.07106781187,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,139,0.0,0,BLOCK,0.0,0.0,AWAY,85,85,-18,-18,HOMEZONE,1,2,14,0,D,2022,L,Shayne Gostisbehere,8476906.0,38,38,19.8,20.5,20.5,19.3333333333,19.3333333333,19.8,2,3,38,38,38,25,25,38,3,3,3,13,13,3,-68.6293777307,68.6293777307,0.0,0.0,0,24.6981780705,0,1,0,0,0,0,0,0,BACK,1.0,80,0.0311711,-23,-23,
907,15.0,80.0,80.0,12.0,12.0,10.0,0,0,0,5,ARI,0,23.4,20.0,20.0,25.6666666667,25.6666666667,23.4,2,3,30,20,20,30,30,30,20,20,20,21,21,20,134.346566759,SHOT,20011,0,8477465,Tristan Jarry,0,0,0,5,PIT,3,1,148,0.0,0,BLOCK,0.0,0.0,HOME,-51,-51,-14,-14,HOMEZONE,1,2,61,0,D,2022,R,Dysin Mayo,8478062.0,33,33,33.4,33.5,33.5,33.3333333333,33.3333333333,33.4,2,3,34,34,34,34,34,34,33,33,33,33,33,33,53.9726266149,53.9726266149,53.9726266149,1.49923962819,0,13.6014705087,0,0,0,1,0,0,0,0,WRIST,1.0,81,0.0715922,11,11,
