undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
355,80.0,-9.0,9.0,2.0,2.0,0.0,0,0,0,5,BOS,0,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,69.1158447825,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,13,0.0,0,BLOCK,0.0,0.0,HOME,-78,78,6,-6,Neu. Zone,1,1,74,0,L,2022,L,Jake DeBrusk,8478498.0,30,29,29.2,29.0,29.0,29.3333333333,29.0,29.0,2,3,30,29,29,30,29,29,29,29,29,29,29,29,-1.43209618416,1.43209618416,1.43209618416,1.43209618416,0,80.024996095,0,0,0,0,1,0,0,1,BACK,1.0,-9,0.0203571,2,-2,
362,31.0,58.0,58.0,-3.0,3.0,2.8,0,0,0,5,BOS,0,29.0,40.0,40.0,21.6666666667,21.6666666667,29.0,2,3,68,68,68,48,48,68,5,12,12,5,5,5,121.757956619,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,42,0.0,0,HIT,0.0,0.0,HOME,-55,-55,37,37,HOMEZONE,0,1,88,0,R,2022,R,David Pastrnak,8477956.0,51,51,31.8,28.5,28.5,34.0,34.0,31.8,2,3,53,53,53,51,51,53,4,4,4,5,5,4,-5.90614111377,5.90614111377,0.0,0.0,0,29.1547594742,0,0,0,0,1,0,0,0,SNAP,1.0,60,0.0904597,-3,-3,
363,9.8488578018,93.0,93.0,9.0,9.0,1.4,0,0,0,5,BOS,0,24.0,45.0,45.0,10.0,10.0,24.0,2,3,73,73,73,17,17,73,3,17,17,3,3,3,35.1140997322,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,43,0.0,0,SHOT,-5.90614111377,29.1547594742,AWAY,60,60,-3,-3,HOMEZONE,1,1,88,88,R,2022,R,David Pastrnak,8477956.0,56,56,25.4,5.0,5.0,39.0,39.0,25.4,2,3,56,9,9,56,56,56,1,1,1,10,10,1,66.0375110254,66.0375110254,71.9436521392,14.3887304278,1,9.8488578018,0,0,0,0,1,0,0,0,WRIST,1.0,93,0.01,9,9,
364,56.0,45.0,45.0,-34.0,34.0,-3.4,0,0,0,5,BOS,0,41.4,55.0,55.0,32.3333333333,32.3333333333,41.4,2,3,65,65,65,58,58,65,14,45,45,14,14,14,62.6817357769,MISS,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,46,0.0,0,GIVE,0.0,0.0,HOME,97,97,1,1,HOMEZONE,0,1,75,0,D,2022,R,Connor Clifton,8477365.0,30,30,38.0,29.0,29.0,44.0,44.0,38.0,2,3,58,30,30,58,58,58,28,28,28,32,32,28,-37.6942404667,37.6942404667,0.0,0.0,0,55.6057550978,0,0,0,1,0,0,0,0,SLAP,0.0,45,0.0404672,-34,-34,
365,39.0,55.0,55.0,-18.0,18.0,0.0,0,0,0,5,BOS,0,53.0,90.0,16.0,16.0,16.0,16.0,2,2,100,100,16,16,16,16,16,80,16,16,16,16,14.5602197786,SHOT,20005,0,8475311,Darcy Kuemper,0,120,104,4,WSH,0,0,50,0.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,HOMEZONE,0,1,37,0,C,2022,R,Patrice Bergeron,8470638.0,67,16,41.6,16.0,16.0,48.0,16.0,16.0,1,4,93,16,16,93,16,16,16,16,16,16,16,16,-27.8972710309,27.8972710309,0.0,0.0,0,38.4707681233,0,1,0,0,0,0,0,0,SNAP,1.0,55,0.00751685,-18,-18,
367,42.0,57.0,57.0,-28.0,28.0,3.5,0,0,0,5,BOS,0,69.0,118.0,27.0,20.0,20.0,23.5,2,2,128,128,27,21,21,27,19,108,27,19,19,19,61.611687203,SHOT,20005,0,8475311,Darcy Kuemper,0,120,76,4,WSH,0,0,54,0.0,0,SHOT,0.0,0.0,HOME,94,94,23,23,HOMEZONE,0,1,88,73,R,2022,R,David Pastrnak,8477956.0,44,27,69.6,44.0,27.0,76.0,27.0,27.0,1,4,121,44,27,121,27,27,44,44,27,44,27,27,-41.054813771,41.054813771,0.0,0.0,0,41.1096095822,1,0,0,0,0,0,0,0,SNAP,1.0,58,0.00417366,-27,-27,
368,20.0,70.0,70.0,5.0,5.0,3.5,0,0,0,5,BOS,0,71.0,120.0,29.0,22.0,22.0,25.5,2,2,130,130,29,23,23,29,21,110,29,21,21,21,34.5398320783,GOAL,20005,1,8475311,Darcy Kuemper,0,0,0,4,WSH,0,0,55,0.0,0,SHOT,-41.054813771,41.1096095822,AWAY,58,58,-27,-27,HOMEZONE,1,1,37,88,C,2022,R,Patrice Bergeron,8470638.0,97,29,71.6,46.0,29.0,78.0,29.0,29.0,1,4,123,46,29,123,29,29,46,46,29,46,29,29,15.5241109968,15.5241109968,56.5789247677,28.2894623839,1,18.6815416923,0,0,0,0,0,0,1,0,WRIST,1.0,71,0.881325,5,5,
369,39.0,51.0,51.0,-6.0,6.0,0.2,0,0,0,5,BOS,1,17.8,11.5,11.5,22.0,22.0,17.8,2,3,59,12,12,59,59,59,3,11,11,3,3,3,139.78555004,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,62,0.0,0,GIVE,0.0,0.0,HOME,-80,-80,40,40,HOMEZONE,1,1,6,0,D,2022,L,Mike Reilly,8476422.0,7,7,18.0,6.0,6.0,26.0,26.0,18.0,2,3,59,7,7,59,59,59,5,5,5,8,8,5,-9.21102654082,9.21102654082,0.0,0.0,0,37.483329628,0,1,0,0,0,0,0,0,SNAP,1.0,52,0.0700587,-6,-6,
370,47.0,60.0,60.0,-37.0,37.0,0.0,0,0,0,5,BOS,1,16.6,32.5,6.0,6.0,6.0,6.0,2,3,33,33,6,6,6,6,6,32,6,6,6,6,18.3575597507,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,67,0.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,HOMEZONE,1,1,18,0,C,2022,L,Pavel Zacha,8478401.0,20,6,22.8,27.0,6.0,20.0,6.0,6.0,2,3,28,28,6,20,6,6,20,26,6,20,6,6,-52.6506509554,52.6506509554,0.0,0.0,0,47.8016736109,0,1,0,0,0,0,0,0,WRIST,1.0,60,0.00826162,-38,-38,
375,56.0,45.0,45.0,34.0,34.0,1.2,0,0,0,5,BOS,1,28.2,36.5,36.5,22.6666666667,22.6666666667,28.2,2,3,53,53,53,23,23,53,20,20,20,22,22,20,136.132288602,SHOT,20005,0,8475311,Darcy Kuemper,0,0,0,5,WSH,0,0,77,0.0,0,HIT,0.0,0.0,HOME,-91,-91,28,28,HOMEZONE,0,1,27,0,D,2022,L,Hampus Lindholm,8476854.0,26,26,29.4,24.5,24.5,32.6666666667,32.6666666667,29.4,2,3,51,26,26,51,51,51,23,23,23,23,23,23,37.6942404667,37.6942404667,0.0,0.0,0,55.6057550978,0,0,0,0,1,0,0,0,WRIST,1.0,45,0.00661745,34,34,
