undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1063,15.0,78.0,78.0,10.0,10.0,5.65,0,0,0,5,OTT,0,23.6,47.0,47.0,17.75,17.75,23.6,1,4,47,47,47,21,21,47,11,47,47,11,11,11,42.4264068712,SHOT,20013,0,8476341,Anton Forsberg,0,120,32,4,BUF,0,1,20,1.0,0,BLOCK,0.0,0.0,HOME,49,49,-21,-21,AWAYZONE,1,1,89,0,R,2022,R,Alex Tuch,8477949.0,51,51,29.25,20.5,20.5,38.0,38.0,29.25,2,2,51,22,22,51,51,51,19,19,19,25,25,19,41.9872124958,41.9872124958,0.0,0.0,0,13.4536240471,0,1,0,0,0,0,0,0,BACK,1.0,79,0.0439303,9,9,
1067,51.0,54.0,54.0,-37.0,37.0,-1.6,0,0,0,5,OTT,0,11.2,7.0,7.0,14.0,14.0,11.2,2,3,28,7,7,28,28,28,2,7,7,2,2,2,107.116758726,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,26,1.0,0,SHOT,0.0,0.0,AWAY,-54,-54,-33,-33,AWAYZONE,1,1,71,45,L,2022,L,Victor Olofsson,8478109.0,30,30,9.6,2.5,2.5,14.3333333333,14.3333333333,9.6,2,3,30,3,3,30,30,30,2,2,2,3,3,2,-46.548157699,46.548157699,0.0,0.0,0,52.3450093132,0,0,0,1,0,0,0,0,WRIST,1.0,53,0.00830026,-38,-38,
1068,56.0,38.0,38.0,23.0,23.0,0.0,0,0,0,5,OTT,0,3.6,5.5,1.0,2.33333333333,1.0,1.0,2,3,10,10,1,5,1,1,1,1,1,1,1,1,38.0131556175,MISS,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,31,1.0,0,BLOCK,0.0,0.0,HOME,68,68,2,2,AWAYZONE,0,1,25,0,D,2022,L,Owen Power,8482671.0,1,1,4.4,1.0,1.0,6.66666666667,1.0,1.0,2,3,13,1,1,13,1,1,1,1,1,1,1,1,24.7751405688,24.7751405688,0.0,0.0,0,57.2712842531,0,0,0,0,1,0,0,0,SNAP,0.0,37,0.0204463,24,24,
1069,51.0,53.0,53.0,37.0,37.0,-0.2,0,0,0,5,OTT,0,19.2,24.0,24.0,16.0,16.0,19.2,2,3,32,32,32,18,18,32,14,16,16,14,14,14,125.419296761,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,33,1.0,0,HIT,0.0,0.0,HOME,-46,-46,-40,-40,AWAYZONE,0,1,71,0,L,2022,L,Victor Olofsson,8478109.0,25,25,19.0,18.5,18.5,19.3333333333,19.3333333333,19.0,2,3,25,19,19,25,25,25,15,18,18,15,15,15,45.784824603,45.784824603,0.0,0.0,0,51.6236379966,0,0,0,1,0,0,0,0,WRIST,1.0,53,0.00642667,37,37,
1070,23.0,71.0,71.0,-14.0,14.0,-0.2,0,0,0,5,OTT,0,27.2,32.0,32.0,24.0,24.0,27.2,2,3,40,40,40,26,26,40,22,24,24,22,22,22,53.4883164813,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,34,1.0,0,SHOT,45.784824603,51.6236379966,HOME,53,53,37,37,AWAYZONE,0,1,72,71,R,2022,R,Tage Thompson,8479420.0,23,23,27.0,26.5,26.5,27.3333333333,27.3333333333,27.0,2,3,33,27,27,33,33,33,23,26,26,23,23,23,-37.4053566314,37.4053566314,83.1901812344,10.3987726543,1,21.400934559,0,0,0,0,1,0,0,0,WRIST,1.0,72,0.0551865,-13,-13,
1072,8.60232526704,84.0,84.0,-7.0,7.0,-32.4,0,0,0,5,OTT,0,49.0,65.0,65.0,38.3333333333,38.3333333333,49.0,2,3,73,73,73,57,57,73,3,57,57,3,3,3,133.820775667,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,36,1.0,0,SHOT,0.0,0.0,AWAY,-48,-48,-29,-29,AWAYZONE,1,1,53,12,L,2022,L,Jeff Skinner,8475784.0,59,59,16.6,6.5,6.5,23.3333333333,23.3333333333,16.6,2,3,59,7,7,59,59,59,5,6,6,5,5,5,-54.462322208,54.462322208,0.0,0.0,0,8.60232526704,0,0,0,0,1,0,0,0,WRIST,1.0,84,0.0826212,-7,-7,
1076,97.0,1.0,1.0,-42.0,42.0,-4.4,0,0,0,5,OTT,1,20.8,8.5,8.5,29.0,29.0,20.8,2,3,43,11,11,43,43,43,6,6,6,20,20,6,13.0384048104,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,51,1.0,0,HIT,0.0,0.0,AWAY,-6,-6,-38,-38,Neu. Zone,0,1,24,0,C,2022,R,Dylan Cozens,8481528.0,19,19,16.4,21.0,21.0,13.3333333333,13.3333333333,16.4,2,3,22,22,22,19,19,22,9,20,20,9,9,9,-25.4362163804,25.4362163804,0.0,0.0,0,90.8019823572,0,0,0,0,1,0,0,0,WRIST,1.0,7,0.00547978,-39,-39,
1077,9.89949493661,82.0,82.0,-7.0,7.0,4.2,0,0,0,5,OTT,1,15.2,14.0,14.0,16.0,16.0,15.2,2,3,17,16,16,17,17,17,12,12,12,15,15,12,31.0161248385,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,53,1.0,0,HIT,0.0,0.0,AWAY,81,81,-38,-38,AWAYZONE,1,1,77,0,R,2022,L,JJ Peterka,8482175.0,42,42,19.4,2.0,2.0,31.0,31.0,19.4,2,3,45,2,2,45,45,45,2,2,2,6,6,2,-45.0,45.0,0.0,0.0,0,9.89949493661,0,0,0,1,0,0,0,0,BACK,1.0,82,0.0713681,-7,-7,
1078,33.0,58.0,58.0,12.0,12.0,-1.6,0,0,0,5,OTT,1,37.0,56.0,33.0,24.3333333333,16.3333333333,23.0,2,3,58,58,33,57,33,33,4,54,33,4,4,4,145.344418537,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,61,1.0,0,HIT,0.0,0.0,AWAY,-84,-84,38,38,AWAYZONE,0,1,37,0,C,2022,L,Casey Mittelstadt,8479999.0,48,33,27.2,4.0,4.0,42.6666666667,33.0,21.4,2,3,48,5,5,48,33,33,3,3,3,40,33,3,21.8014094864,21.8014094864,0.0,0.0,0,32.3109888428,0,0,0,0,1,0,0,0,WRIST,1.0,59,0.0528678,12,12,
1082,66.0,32.0,32.0,-34.0,34.0,12.4,0,0,0,5,OTT,1,20.4,16.5,16.5,23.0,23.0,20.4,2,3,24,17,17,24,24,24,16,16,16,22,22,16,70.1783442381,SHOT,20013,0,8476341,Anton Forsberg,0,0,0,5,BUF,0,1,67,1.0,0,SHOT,0.0,0.0,AWAY,-37,-37,-28,-28,AWAYZONE,1,1,26,23,D,2022,L,Rasmus Dahlin,8480839.0,26,26,32.8,25.5,25.5,37.6666666667,37.6666666667,32.8,2,3,61,26,26,61,61,61,25,25,25,26,26,25,-30.5102374061,30.5102374061,0.0,0.0,0,65.0,0,0,0,0,1,0,0,0,SLAP,1.0,33,0.0137029,-33,-33,
