undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
438,41.0,-75.0,75.0,-39.0,39.0,-1.8,0,0,0,5,CBJ,0,10.2,9.5,9.5,10.6666666667,10.6666666667,10.2,2,3,12,11,11,12,12,12,8,8,8,10,10,8,145.003448235,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,8,1.0,0,HIT,0.0,0.0,HOME,70,-70,-40,40,AWAYZONE,0,1,20,0,C,2022,L,Sebastian Aho,8478427.0,11,11,8.4,6.0,6.0,10.0,10.0,8.4,2,3,11,9,9,11,11,11,3,3,3,8,8,3,70.2531633946,70.2531633946,0.0,0.0,0,41.4366987102,0,0,0,0,1,0,0,0,WRIST,1.0,-75,0.00654956,-39,39,
439,50.0,-44.0,44.0,-21.0,21.0,-2.6,0,0,0,5,CBJ,0,15.2,16.5,16.5,14.3333333333,14.3333333333,15.2,2,3,17,17,17,16,16,17,13,16,16,13,13,13,45.8802789878,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,11,1.0,0,HIT,0.0,0.0,AWAY,-87,87,-34,34,AWAYZONE,0,1,44,0,D,2022,L,Calvin de Haan,8475177.0,13,13,12.6,9.5,9.5,14.6666666667,14.6666666667,12.6,2,3,16,13,13,16,16,16,6,6,6,13,13,6,24.5377284766,24.5377284766,0.0,0.0,0,50.5667875191,0,0,0,1,0,0,0,0,SNAP,0.0,-43,0.0148679,-21,21,
440,61.0,-31.0,31.0,-19.0,19.0,-2.6,0,0,0,5,CBJ,0,21.2,22.5,22.5,20.3333333333,20.3333333333,21.2,2,3,23,23,23,22,22,23,19,22,22,19,19,19,14.0356688476,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,12,1.0,0,MISS,24.5377284766,50.5667875191,HOME,-43,43,-21,21,AWAYZONE,0,1,44,44,D,2022,L,Calvin de Haan,8475177.0,19,19,18.6,15.5,15.5,20.6666666667,20.6666666667,18.6,2,3,22,19,19,22,22,22,12,12,12,19,19,12,18.4349488229,18.4349488229,6.10277965366,1.01712994228,0,63.2455532034,0,0,0,1,0,0,0,0,WRIST,0.0,-29,0.0110132,-20,20,
441,41.0,-78.0,78.0,-39.0,39.0,-2.6,0,0,0,5,CBJ,0,41.2,42.5,42.5,40.3333333333,40.3333333333,41.2,2,3,43,43,43,42,42,43,39,42,42,39,39,39,52.5547333739,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,13,1.0,0,MISS,18.4349488229,63.2455532034,HOME,-29,29,-20,20,AWAYZONE,0,1,44,44,D,2022,L,Calvin de Haan,8475177.0,39,39,38.6,35.5,35.5,40.6666666667,40.6666666667,38.6,2,3,42,39,39,42,42,42,32,32,32,39,39,32,74.2488263365,74.2488263365,55.8138775136,2.79069387568,0,40.5215991787,1,0,0,0,0,0,0,0,WRIST,0.0,-78,0.00797249,-39,39,
442,49.0,-60.0,60.0,39.0,39.0,-2.6,0,0,0,5,CBJ,0,44.2,45.5,45.5,43.3333333333,43.3333333333,44.2,2,3,46,46,46,45,45,46,42,45,45,42,42,42,80.0499843848,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,14,1.0,0,MISS,74.2488263365,40.5215991787,HOME,-78,78,-39,39,AWAYZONE,1,1,37,44,R,2022,L,Andrei Svechnikov,8480830.0,45,45,41.6,38.5,38.5,43.6666666667,43.6666666667,41.6,2,3,45,42,42,45,45,45,35,35,35,42,42,35,-53.365886124,53.365886124,127.614712461,42.5382374869,1,48.6004115209,0,1,0,0,0,0,1,0,WRIST,1.0,-60,0.0243412,39,-39,
443,44.0,-63.0,63.0,-35.0,35.0,0.0,0,0,0,5,CBJ,0,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,15.0,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,20,1.0,0,TAKE,0.0,0.0,HOME,-48,48,-35,35,AWAYZONE,1,1,21,0,C,2022,R,Derek Stepan,8474613.0,29,29,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,53.3929251874,53.3929251874,0.0,0.0,0,43.6004587132,0,0,0,1,0,0,0,0,WRIST,1.0,-63,0.0165178,-35,35,
444,59.0,-42.0,42.0,-35.0,35.0,0.0,0,0,0,5,CBJ,0,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,22.0227155455,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,21,1.0,0,SHOT,53.3929251874,43.6004587132,HOME,-63,63,-35,35,AWAYZONE,0,1,74,21,D,2022,L,Jaccob Slavin,8476958.0,35,35,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,36.8698976458,36.8698976458,16.5230275415,2.75383792359,0,60.0,0,0,0,0,1,0,0,0,WRIST,0.0,-41,0.00721441,-36,36,
451,71.0,-21.0,21.0,20.0,20.0,4.4,0,0,0,5,CBJ,0,22.8,29.5,29.5,18.3333333333,18.3333333333,22.8,2,3,44,44,44,44,44,44,0,15,15,0,0,0,97.0463806641,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,49,1.0,0,FAC,0.0,0.0,HOME,69,-69,-22,22,Neu. Zone,0,1,24,0,C,2022,R,Seth Jarvis,8482093.0,40,40,27.2,19.0,19.0,32.6666666667,32.6666666667,27.2,2,3,40,38,38,40,40,40,0,0,0,19,19,0,-16.4768813937,16.4768813937,0.0,0.0,0,74.0405294417,0,0,0,0,1,0,0,0,WRIST,1.0,-18,0.00542537,21,-21,
452,50.0,-49.0,49.0,31.0,31.0,-7.6,0,0,0,5,CBJ,0,29.2,30.5,30.5,28.3333333333,28.3333333333,29.2,2,3,42,42,42,38,38,42,19,19,19,20,20,19,32.5729949498,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,50,1.0,0,SHOT,-16.4768813937,74.0405294417,HOME,-18,18,21,-21,AWAYZONE,0,1,5,24,D,2022,R,Jalen Chatfield,8478970.0,25,25,21.6,26.0,26.0,18.6666666667,18.6666666667,21.6,2,3,27,27,27,24,24,27,14,25,25,14,14,14,-37.775684306,37.775684306,21.2988029123,0.788844552306,0,50.6063237155,0,0,0,0,1,0,0,0,SNAP,1.0,-49,0.0129456,31,-31,
457,21.0,-73.0,73.0,-13.0,13.0,0.0,0,0,0,5,CBJ,0,39.6,31.5,5.0,45.0,5.0,5.0,2,3,58,58,5,45,5,5,5,5,5,45,5,5,11.1803398875,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,83,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,0,1,76,0,D,2022,L,Brady Skjei,8476869.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,2,3,5,5,5,5,5,5,5,5,5,5,5,5,38.6598082541,38.6598082541,0.0,0.0,0,19.2093727123,0,0,0,1,0,0,0,0,WRIST,1.0,-74,0.0502105,-12,12,
458,56.0,-34.0,34.0,-10.0,10.0,0.0,0,0,0,5,CBJ,0,45.6,37.5,11.0,51.0,11.0,11.0,2,3,64,64,11,51,11,11,11,11,11,51,11,11,40.049968789,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,84,1.0,0,SHOT,38.6598082541,19.2093727123,HOME,-74,74,-12,12,AWAYZONE,1,1,22,76,D,2022,R,Brett Pesce,8477488.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,10.3048464688,10.3048464688,28.3549617853,4.72582696422,0,55.9016994375,0,0,0,1,0,0,0,0,WRIST,1.0,-34,0.0130397,-10,10,
459,56.0,-41.0,41.0,-29.0,29.0,0.0,0,0,0,5,CBJ,0,50.6,42.5,16.0,56.0,16.0,16.0,2,3,69,69,16,56,16,16,16,16,16,56,16,16,10.8166538264,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,86,1.0,0,BLOCK,0.0,0.0,HOME,-50,50,-23,23,AWAYZONE,0,1,76,0,D,2022,L,Brady Skjei,8476869.0,16,16,16.0,16.0,16.0,16.0,16.0,16.0,2,3,16,16,16,16,16,16,16,16,16,16,16,16,31.138972437,31.138972437,0.0,0.0,0,56.0802995712,0,0,0,1,0,0,0,0,SLAP,0.0,-41,0.0263754,-29,29,
462,51.0,-47.0,47.0,29.0,29.0,0.0,0,0,0,5,CBJ,0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,24.0416305603,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,99,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,0,1,5,0,D,2022,R,Jalen Chatfield,8478970.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,-33.9964591483,33.9964591483,0.0,0.0,0,51.8652099196,0,1,0,0,0,0,0,0,SLAP,1.0,-46,0.0246805,29,-29,
463,53.0,-36.0,36.0,-2.0,2.0,-8.6,0,0,0,5,CBJ,0,21.6,45.0,45.0,6.0,6.0,21.6,2,3,45,45,45,7,7,45,5,45,45,5,5,5,95.5091618642,MISS,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,105,1.0,0,HIT,0.0,0.0,AWAY,55,-55,-31,31,AWAYZONE,0,1,76,0,D,2022,L,Brady Skjei,8476869.0,22,22,13.0,20.0,20.0,8.33333333333,8.33333333333,13.0,2,3,22,22,22,10,10,22,7,18,18,7,7,7,2.16107948823,2.16107948823,0.0,0.0,0,53.0377224247,1,0,0,0,0,0,0,0,WRIST,0.0,-36,0.0150511,-2,2,
464,61.0,-32.0,32.0,21.0,21.0,-8.6,0,0,0,5,CBJ,0,24.6,48.0,48.0,9.0,9.0,24.6,2,3,48,48,48,10,10,48,8,48,48,8,8,8,24.7386337537,SHOT,20006,0,8480193,Daniil Tarasov,0,0,0,5,CAR,0,1,106,1.0,0,MISS,2.16107948823,53.0377224247,HOME,-36,36,-2,2,AWAYZONE,0,1,22,76,D,2022,R,Brett Pesce,8477488.0,21,21,16.0,23.0,23.0,11.3333333333,11.3333333333,16.0,2,3,25,25,25,13,13,25,10,21,21,10,10,10,-20.4495476108,20.4495476108,22.610627099,7.53687569967,1,62.9682459657,0,0,0,0,1,0,1,0,SLAP,1.0,-30,0.033613,22,-22,
