undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
445,65.0,33.0,33.0,33.0,33.0,-22.2,0,0,0,5,CBJ,0,42.0,42.0,42.0,42.0,42.0,42.0,2,3,42,42,42,42,42,42,42,42,42,42,42,42,101.138518874,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,22,0.0,0,MISS,0.0,0.0,HOME,-41,-41,-36,-36,HOMEZONE,0,1,4,74,D,2022,L,Vladislav Gavrikov,8478882.0,5,5,19.8,5.5,5.5,29.3333333333,29.3333333333,19.8,2,3,42,6,6,42,42,42,4,5,5,4,4,4,30.8157057517,30.8157057517,0.0,0.0,0,66.3701740242,0,0,0,1,0,0,0,0,WRIST,1.0,32,0.00781066,34,34,
446,5.09901951359,88.0,88.0,5.0,5.0,-22.2,0,0,0,5,CBJ,0,48.0,48.0,48.0,48.0,48.0,48.0,2,3,48,48,48,48,48,48,48,48,48,48,48,48,63.9531078213,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,23,0.0,0,SHOT,30.8157057517,66.3701740242,AWAY,32,32,34,34,HOMEZONE,1,1,24,4,R,2022,R,Mathieu Olivier,8479671.0,48,48,25.8,11.5,11.5,35.3333333333,35.3333333333,25.8,2,3,48,12,12,48,48,48,10,11,11,10,10,10,78.690067526,78.690067526,47.8743617743,7.97906029571,0,5.09901951359,0,0,0,0,1,0,0,0,WRAP,1.0,89,0.0542901,5,5,
447,58.0,32.0,32.0,-13.0,13.0,0.0,0,0,0,5,CBJ,0,44.6,60.5,34.0,34.0,34.0,34.0,2,3,61,61,34,34,34,34,34,60,34,34,34,34,106.174384858,MISS,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,32,0.0,0,GIVE,0.0,0.0,HOME,-61,-61,40,40,HOMEZONE,0,1,44,0,D,2022,R,Erik Gudbranson,8475790.0,34,34,34.0,34.0,34.0,34.0,34.0,34.0,2,3,34,34,34,34,34,34,34,34,34,34,34,34,-12.6333619353,12.6333619353,0.0,0.0,0,59.4390444069,0,0,0,0,1,0,0,0,SLAP,0.0,31,0.0190268,-13,-13,
448,79.0,15.0,15.0,28.0,28.0,-6.0,0,0,0,5,CBJ,0,13.4,16.5,16.5,11.3333333333,11.3333333333,13.4,2,3,21,21,21,15,15,21,9,12,12,9,9,9,53.712196008,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,36,0.0,0,GIVE,0.0,0.0,HOME,-10,-10,-20,-20,Neu. Zone,0,1,38,0,C,2022,L,Boone Jenner,8476432.0,9,9,7.4,2.5,2.5,10.6666666667,10.6666666667,7.4,2,3,13,3,3,13,13,13,2,2,2,9,9,2,20.6375469847,20.6375469847,0.0,0.0,0,82.2800097229,0,0,0,1,0,0,0,0,DEFL,1.0,12,0.00608703,29,29,
449,36.0,57.0,57.0,-17.0,17.0,-7.2,0,0,0,5,CBJ,0,12.0,12.5,11.0,11.6666666667,11.0,11.0,2,3,14,14,11,13,11,11,11,11,11,11,11,11,127.098387087,MISS,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,42,0.0,0,FAC,0.0,0.0,AWAY,-69,-69,-22,-22,HOMEZONE,0,1,17,0,R,2022,R,Justin Danforth,8479941.0,16,11,4.8,1.5,1.5,7.0,5.33333333333,3.8,2,3,16,2,2,16,11,11,1,1,1,2,2,1,-28.7397952917,28.7397952917,0.0,0.0,0,35.3553390593,0,0,0,1,0,0,0,0,SLAP,0.0,58,0.044282,-17,-17,
450,14.0,76.0,76.0,-5.0,5.0,17.0,0,0,0,5,CBJ,0,21.0,11.5,11.5,27.3333333333,27.3333333333,21.0,2,3,53,12,12,53,53,53,11,11,11,11,11,11,111.319360401,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,45,0.0,0,HIT,0.0,0.0,HOME,-27,-27,-38,-38,HOMEZONE,1,1,22,0,D,2022,L,Jake Bean,8479402.0,43,43,39.0,24.0,24.0,49.0,47.3333333333,38.0,2,3,58,43,43,58,53,53,5,5,5,44,44,5,-21.8014094864,21.8014094864,0.0,0.0,0,10.7703296143,0,0,0,1,0,0,0,0,WRIST,1.0,79,0.184821,-4,-4,
453,37.0,60.0,60.0,23.0,23.0,4.4,0,0,0,5,CBJ,0,30.0,35.0,19.0,26.6666666667,18.3333333333,18.6,2,3,55,55,23,48,23,23,15,15,15,16,16,15,7.61577310586,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,59,0.0,0,BLOCK,0.0,0.0,AWAY,64,64,29,29,HOMEZONE,1,1,27,0,D,2022,R,Adam Boqvist,8480871.0,28,23,24.0,25.5,23.0,23.0,23.0,23.0,2,3,28,28,23,23,23,23,23,23,23,23,23,23,38.1572265874,38.1572265874,0.0,0.0,0,35.6089876295,0,0,0,1,0,0,0,0,WRIST,1.0,61,0.0338867,22,22,
454,68.0,31.0,31.0,-35.0,35.0,0.0,0,0,0,5,CBJ,0,33.8,17.5,2.0,44.6666666667,2.0,2.0,2,3,66,33,2,66,2,2,2,2,2,34,2,2,41.4366987102,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,63,0.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,HOMEZONE,0,1,2,0,D,2022,R,Andrew Peeke,8479369.0,12,2,4.0,7.0,2.0,2.0,2.0,2.0,2,3,12,12,2,2,2,2,2,2,2,2,2,2,-31.3902681042,31.3902681042,0.0,0.0,0,69.1158447825,0,0,0,0,1,0,0,0,WRIST,1.0,30,0.0159989,-36,-36,
455,32.0,57.0,57.0,-0.0,0.0,-9.8,0,0,0,5,CBJ,0,48.8,70.5,32.0,34.3333333333,29.0,30.2,2,3,92,92,32,48,32,32,26,49,32,26,26,26,23.769728648,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,69,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,0,1,38,0,C,2022,L,Boone Jenner,8476432.0,32,32,20.4,3.0,3.0,32.0,32.0,20.4,2,3,32,3,3,32,32,32,3,3,3,32,32,3,0.0,0.0,0.0,0.0,0,29.0,0,1,0,0,0,0,0,0,WRIST,1.0,60,0.0522444,0,0,
456,15.0,85.0,85.0,-15.0,15.0,-3.2,0,0,0,5,CBJ,0,18.0,20.0,20.0,16.6666666667,16.6666666667,18.0,2,3,30,30,30,20,20,30,10,10,10,10,10,10,49.0,MISS,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,73,0.0,0,HIT,0.0,0.0,AWAY,86,86,37,37,HOMEZONE,0,1,17,0,R,2022,R,Justin Danforth,8479941.0,19,19,14.8,15.5,15.5,14.3333333333,14.3333333333,14.8,2,3,20,20,20,20,20,20,4,11,11,4,4,4,-75.9637565321,75.9637565321,0.0,0.0,0,12.3693168769,0,0,0,1,0,0,0,0,,0.0,86,0.0198358,-12,-12,
460,20.0,75.0,75.0,-15.0,15.0,-15.2,0,0,0,5,CBJ,0,31.0,35.0,35.0,28.3333333333,28.3333333333,31.0,2,3,54,54,54,54,54,54,15,16,16,15,15,15,127.200628929,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,89,0.0,0,BLOCK,0.0,0.0,HOME,-45,-45,23,23,HOMEZONE,1,1,7,0,C,2022,L,Sean Kuraly,8476374.0,19,19,15.8,12.0,12.0,18.3333333333,18.3333333333,15.8,2,3,20,20,20,19,19,20,4,4,4,17,17,4,-47.2906100426,47.2906100426,47.2906100426,9.45812200853,0,17.691806013,0,0,0,1,0,0,0,0,BACK,1.0,77,0.0356622,-13,-13,
461,14.0,80.0,80.0,-11.0,11.0,-4.4,0,0,0,5,CBJ,0,14.4,14.0,14.0,14.6666666667,14.6666666667,14.4,2,3,15,15,15,15,15,15,13,13,13,14,14,13,27.0185121722,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,96,0.0,0,TAKE,0.0,0.0,HOME,99,99,13,13,HOMEZONE,0,1,17,0,R,2022,R,Justin Danforth,8479941.0,12,12,10.0,7.0,7.0,12.0,12.0,10.0,2,3,14,12,12,14,14,14,2,2,2,10,10,2,-48.8140748343,48.8140748343,0.0,0.0,0,10.6301458127,0,0,0,0,1,0,0,0,BACK,1.0,82,0.0399187,-8,-8,
467,50.0,-44.0,44.0,21.0,21.0,-2.0,0,0,0,5,CBJ,0,9.0,9.0,9.0,9.0,9.0,9.0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,10.0498756211,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,122,0.0,0,BLOCK,0.0,0.0,HOME,-54,54,20,-20,AWAYZONE,1,1,50,0,L,2022,L,Eric Robinson,8480762.0,12,9,30.2,46.0,6.0,19.6666666667,7.66666666667,7.0,2,3,89,89,9,42,9,9,3,3,3,5,5,3,-25.0168934781,25.0168934781,25.0168934781,5.00337869562,0,49.6588360717,0,0,0,1,0,0,0,0,DEFL,1.0,-44,0.0228506,21,-21,
468,41.0,-52.0,52.0,18.0,18.0,0.0,0,0,0,5,CBJ,0,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,55.0272659688,GOAL,20006,1,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,126,0.0,0,FAC,0.0,0.0,HOME,0,0,0,0,HOMEZONE,0,2,29,0,L,2022,R,Patrik Laine,8479339.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,-25.9422954899,25.9422954899,0.0,0.0,0,41.1460812229,0,0,0,0,0,0,0,0,SNAP,1.0,-52,0.0304359,18,-18,
469,25.0,-64.0,64.0,-4.0,4.0,0.0,0,0,0,5,CBJ,1,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,105.475115549,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,134,0.0,0,TAKE,0.0,0.0,HOME,31,-31,35,-35,HOMEZONE,1,2,17,0,R,2022,R,Justin Danforth,8479941.0,29,29,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,10.3048464688,10.3048464688,0.0,0.0,0,22.360679775,0,0,0,0,1,0,0,0,BACK,1.0,-67,0.0522702,-4,4,
470,28.0,-62.0,62.0,-7.0,7.0,-7.2,0,0,0,5,CBJ,1,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,2.82842712475,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,135,0.0,0,SHOT,10.3048464688,22.360679775,AWAY,-67,67,-4,4,HOMEZONE,0,2,14,17,L,2022,L,Gustav Nyquist,8474679.0,37,37,29.8,19.0,19.0,37.0,37.0,29.8,2,3,37,37,37,37,37,37,1,1,1,37,37,1,14.0362434679,14.0362434679,3.73139699916,0.466424624895,0,24.7386337537,0,0,0,1,0,0,0,0,WRIST,1.0,-65,0.0512133,-6,6,
471,51.0,-38.0,38.0,-1.0,1.0,-7.2,0,0,0,5,CBJ,1,47.0,47.0,47.0,47.0,47.0,47.0,2,3,47,47,47,47,47,47,47,47,47,47,47,47,59.0931468108,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,137,0.0,0,GIVE,0.0,0.0,HOME,-91,91,-25,25,HOMEZONE,0,2,22,0,D,2022,L,Jake Bean,8479402.0,47,47,39.8,29.0,29.0,47.0,47.0,39.8,2,3,47,47,47,47,47,47,11,11,11,47,47,11,1.10170611521,1.10170611521,0.0,0.0,0,52.0096144958,0,1,0,0,0,0,0,0,WRIST,1.0,-37,0.0179902,-1,1,
475,19.0,-78.0,78.0,-16.0,16.0,-6.2,0,0,0,5,CBJ,1,34.0,34.0,33.0,34.0,33.0,33.0,2,3,36,35,33,36,33,33,33,33,33,33,33,33,161.307160411,SHOT,20006,0,8475883,Frederik Andersen,0,0,0,5,CAR,0,1,152,0.0,0,MISS,0.0,0.0,HOME,74,-74,35,-35,HOMEZONE,1,2,24,73,R,2022,R,Mathieu Olivier,8479671.0,33,33,26.8,17.5,17.5,33.0,33.0,26.8,2,3,33,33,33,33,33,33,2,2,2,33,33,2,55.3048464688,55.3048464688,0.0,0.0,0,15.8113883008,0,0,0,1,0,0,0,0,WRIST,1.0,-80,0.0448224,-13,13,
