undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1502,19.0,-76.0,76.0,14.0,14.0,0.0,0,0,0,5,COL,0,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,78.0896920214,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,6,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,1,73,0,R,2022,R,Tyler Toffoli,8475726.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,-47.2906100426,47.2906100426,0.0,0.0,0,17.691806013,0,0,0,0,1,0,0,0,WRIST,1.0,-77,0.06176,13,-13,
1503,7.0,-82.0,82.0,-0.0,0.0,-11.0,0,0,0,5,COL,0,18.2,30.5,30.5,10.0,10.0,18.2,2,3,45,45,45,16,16,45,4,16,16,4,4,4,13.9283882772,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,7,1.0,0,SHOT,-47.2906100426,17.691806013,HOME,-77,77,13,-13,AWAYZONE,0,1,29,73,C,2022,L,Dillon Dube,8479346.0,14,14,7.2,5.5,5.5,8.33333333333,8.33333333333,7.2,2,3,14,6,6,14,14,14,5,5,5,5,5,5,0.0,0.0,47.2906100426,2.25193381155,0,7.0,0,0,0,1,0,0,0,0,WRIST,1.0,-82,0.196719,0,0,
1506,47.0,-51.0,51.0,-28.0,28.0,-9.4,0,0,0,5,COL,1,33.4,25.5,25.5,38.6666666667,38.6666666667,33.4,2,3,50,36,36,50,50,50,15,15,15,27,27,15,56.0802995712,MISS,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,23,1.0,0,HIT,0.0,0.0,HOME,-97,97,10,-10,AWAYZONE,0,1,88,0,L,2022,L,Andrew Mangiapane,8478233.0,43,43,24.0,15.5,15.5,29.6666666667,29.6666666667,24.0,2,3,43,27,27,43,43,43,4,4,4,8,8,4,36.6070748126,36.6070748126,0.0,0.0,0,43.6004587132,0,0,0,0,1,0,0,0,SLAP,0.0,-54,0.0167078,-26,26,
1507,23.0,-66.0,66.0,-3.0,3.0,-14.6,0,0,0,5,COL,1,36.4,47.5,47.5,29.0,29.0,36.4,2,3,58,58,58,49,49,58,18,37,37,18,18,18,26.9258240357,MISS,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,24,1.0,0,MISS,36.6070748126,43.6004587132,HOME,-54,54,-26,26,AWAYZONE,0,1,11,88,C,2022,L,Mikael Backlund,8474150.0,30,30,21.8,23.0,23.0,21.0,21.0,21.8,2,3,30,26,26,30,30,30,15,20,20,15,15,15,8.13010235416,8.13010235416,28.4769724585,1.29440783902,0,21.2132034356,1,0,0,0,0,0,0,0,TIP,0.0,-68,0.0772305,-3,3,
1508,40.0,-56.0,56.0,23.0,23.0,-14.6,0,0,0,5,COL,1,39.4,50.5,50.5,32.0,32.0,39.4,2,3,61,61,61,52,52,61,21,40,40,21,21,21,26.9258240357,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,25,1.0,0,MISS,8.13010235416,21.2132034356,HOME,-68,68,-3,3,AWAYZONE,0,1,4,11,D,2022,R,Rasmus Andersson,8478397.0,23,23,24.8,26.0,26.0,24.0,24.0,24.8,2,3,33,29,29,33,33,33,18,23,23,18,18,18,-35.3624618871,35.3624618871,43.4925642412,14.4975214137,1,38.0131556175,0,0,0,1,0,0,1,0,SNAP,1.0,-58,0.0542859,22,-22,
1509,55.0,-49.0,49.0,-38.0,38.0,-14.6,0,0,0,5,COL,1,47.4,58.5,58.5,40.0,40.0,47.4,2,3,69,69,69,60,60,69,29,48,48,29,29,29,1.41421356237,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,27,1.0,0,GIVE,0.0,0.0,AWAY,-52,52,-35,35,AWAYZONE,0,1,55,0,D,2022,L,Noah Hanifin,8478396.0,37,37,32.8,34.0,34.0,32.0,32.0,32.8,2,3,41,37,37,41,41,41,26,31,31,26,26,26,43.451842301,43.451842301,0.0,0.0,0,52.3450093132,0,1,0,0,0,0,0,0,SNAP,1.0,-51,0.0184145,-36,36,
1510,44.0,-48.0,48.0,-16.0,16.0,-5.2,0,0,0,5,COL,1,28.0,28.0,28.0,28.0,28.0,28.0,2,3,28,28,28,28,28,28,28,28,28,28,28,28,45.8802789878,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,31,1.0,0,TAKE,0.0,0.0,HOME,-38,38,29,-29,AWAYZONE,0,1,16,0,D,2022,L,Nikita Zadorov,8477507.0,16,16,22.8,15.0,15.0,28.0,28.0,22.8,2,3,28,16,16,28,28,28,14,14,14,28,28,14,21.5409759185,21.5409759185,0.0,0.0,0,40.8533964316,0,0,0,1,0,0,0,0,SLAP,1.0,-51,0.0309538,-15,15,
1511,27.0,-68.0,68.0,17.0,17.0,-5.2,0,0,0,5,COL,1,15.4,15.6666666667,15.6666666667,15.0,15.0,15.4,3,2,17,17,17,16,16,17,14,15,15,14,14,14,23.3452350599,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,33,1.0,0,BLOCK,0.0,0.0,HOME,-87,87,0,0,AWAYZONE,1,1,20,0,C,2022,L,Blake Coleman,8476399.0,15,15,10.2,4.5,4.5,14.0,14.0,10.2,2,3,15,5,5,15,15,15,4,4,4,12,12,4,-40.1009075462,40.1009075462,0.0,0.0,0,24.8394846967,0,1,0,0,0,0,0,0,WRIST,1.0,-70,0.0447349,16,-16,
1513,14.0,-79.0,79.0,-9.0,9.0,-10.8,0,0,0,5,COL,1,26.6,26.0,26.0,27.0,27.0,26.6,2,3,36,36,36,30,30,36,16,16,16,24,24,16,150.083310198,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,40,1.0,0,SHOT,0.0,0.0,AWAY,70,-70,9,-9,AWAYZONE,0,1,88,11,L,2022,L,Andrew Mangiapane,8478233.0,29,29,15.8,7.5,7.5,21.3333333333,21.3333333333,15.8,2,3,29,10,10,29,29,29,5,5,5,17,17,5,41.9872124958,41.9872124958,0.0,0.0,0,13.4536240471,0,0,0,0,1,0,0,0,SNAP,1.0,-79,0.100717,-9,9,
1514,49.0,-51.0,51.0,31.0,31.0,-3.8,0,0,0,5,COL,1,42.2,38.0,28.0,48.5,35.0,30.8,3,2,51,51,35,50,35,35,14,14,14,47,35,14,123.146254511,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,44,1.0,0,FAC,0.0,0.0,AWAY,69,-69,22,-22,AWAYZONE,0,1,26,0,D,2022,R,Michael Stone,8474628.0,14,14,35.8,15.0,15.0,49.6666666667,35.0,27.0,2,3,51,16,16,51,35,35,14,14,14,48,35,14,-38.6598082541,38.6598082541,0.0,0.0,0,44.821869662,0,0,0,0,1,0,0,0,WRIST,1.0,-54,0.00787593,28,-28,
1515,96.0,0.0,0.0,-35.0,35.0,0.0,0,0,0,5,COL,1,20.4,11.0,6.0,26.6666666667,6.0,6.0,2,3,27,16,6,27,6,6,6,6,6,26,6,6,60.0832755432,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,54,1.0,0,FAC,0.0,0.0,HOME,20,20,22,22,Neu. Zone,1,1,55,0,D,2022,L,Noah Hanifin,8478396.0,23,6,27.8,24.5,6.0,30.0,6.0,6.0,2,3,38,26,6,38,6,6,23,23,6,26,6,6,-21.6890649646,21.6890649646,0.0,0.0,0,94.7048045244,0,1,0,0,0,0,0,0,WRIST,1.0,1,0.00579843,-35,-35,
1516,49.0,-58.0,58.0,-38.0,38.0,0.0,0,0,0,5,COL,1,25.4,16.0,5.0,31.6666666667,5.0,5.0,2,3,32,21,5,32,5,5,11,11,5,31,5,5,16.6433169771,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,57,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,0,1,55,0,D,2022,L,Noah Hanifin,8478396.0,28,5,32.8,29.5,5.0,35.0,5.0,5.0,2,3,43,31,5,43,5,5,28,28,5,31,5,5,51.1466256596,51.1466256596,0.0,0.0,0,46.2276973253,0,0,0,0,1,0,0,0,SNAP,1.0,-60,0.0107111,-36,36,
1517,18.0,-71.0,71.0,-0.0,0.0,2.8,0,0,0,5,COL,1,13.8,14.0,14.0,13.6666666667,13.6666666667,13.8,2,3,15,15,15,15,15,15,12,13,13,12,12,12,13.4536240471,GOAL,20018,1,8480925,Pavel Francouz,0,0,0,5,CGY,0,1,60,1.0,0,BLOCK,0.0,0.0,HOME,-82,82,9,-9,AWAYZONE,0,1,24,0,R,2022,R,Brett Ritchie,8476439.0,13,13,16.6,22.0,22.0,13.0,13.0,16.6,2,3,22,22,22,14,14,22,12,22,22,12,12,12,0.0,0.0,0.0,0.0,0,17.0,0,0,0,0,0,0,0,0,SNAP,1.0,-72,0.271303,0,0,
1518,28.0,-61.0,61.0,-0.0,0.0,0.0,0,0,0,5,COL,1,36.8,37.0,16.0,36.6666666667,16.0,16.0,2,3,38,38,16,38,16,16,35,36,16,35,16,16,13.416407865,MISS,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,1,1,65,1.0,0,BLOCK,0.0,0.0,HOME,-57,57,12,-12,AWAYZONE,0,1,28,0,C,2022,R,Elias Lindholm,8477496.0,16,16,27.6,45.0,16.0,16.0,16.0,16.0,2,3,45,45,16,16,16,16,16,45,16,16,16,16,0.0,0.0,0.0,0.0,0,26.0,0,0,0,0,1,0,0,0,WRIST,0.0,-63,0.064296,0,0,
1519,53.0,-41.0,41.0,-22.0,22.0,0.0,0,0,0,5,COL,1,29.8,41.5,12.0,22.0,12.0,12.0,2,3,42,42,12,23,12,12,21,41,12,21,12,12,40.8166632639,SHOT,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,1,1,70,1.0,0,HIT,0.0,0.0,AWAY,-9,9,-42,42,AWAYZONE,0,1,11,0,C,2022,L,Mikael Backlund,8474150.0,23,12,24.0,25.0,12.0,23.3333333333,12.0,12.0,2,3,29,29,12,27,12,12,20,21,12,20,12,12,25.0168934781,25.0168934781,0.0,0.0,0,49.6588360717,0,0,0,1,0,0,0,0,SNAP,1.0,-44,0.0134339,-21,21,
1520,35.0,-59.0,59.0,18.0,18.0,0.0,0,120,96,4,COL,1,31.5,39.0,24.0,24.0,24.0,24.0,2,2,45,45,24,24,24,24,24,33,24,24,24,24,39.8120584748,MISS,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,1,1,75,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,0,1,28,0,C,2022,R,Elias Lindholm,8477496.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,1,4,24,24,24,24,24,24,24,24,24,24,24,24,-31.2637316944,31.2637316944,0.0,0.0,0,32.7566787083,0,0,0,1,0,0,0,0,WRIST,0.0,-61,0.0487213,17,-17,
1521,29.0,-60.0,60.0,-3.0,3.0,0.0,0,120,69,4,COL,1,58.5,66.0,51.0,51.0,51.0,51.0,2,2,72,72,51,51,51,51,51,60,51,51,51,51,20.0249843945,MISS,20018,0,8480925,Pavel Francouz,0,0,0,5,CGY,1,1,76,1.0,0,MISS,-31.2637316944,32.7566787083,HOME,-61,61,17,-17,AWAYZONE,1,1,28,28,C,2022,R,Elias Lindholm,8477496.0,51,51,51.0,51.0,51.0,51.0,51.0,51.0,1,4,51,51,51,51,51,51,51,51,51,51,51,51,6.34019174591,6.34019174591,37.6039234403,1.3927379052,1,27.1661554144,0,0,0,0,1,0,0,0,TIP,0.0,-62,0.0804488,-3,3,
