undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
628,41.0,-52.0,52.0,-17.0,17.0,0.0,0,0,0,5,CHI,0,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,54.7083174664,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,6,1.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,AWAYZONE,0,1,96,0,R,2022,L,Mikko Rantanen,8478420.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,24.6768631703,24.6768631703,0.0,0.0,0,40.718546143,0,0,0,1,0,0,0,0,WRIST,1.0,-52,0.0241696,-17,17,
630,47.0,-61.0,61.0,-38.0,38.0,-12.4,0,0,0,5,CHI,0,29.8,34.0,34.0,27.0,27.0,29.8,2,3,46,45,45,46,46,46,14,23,23,14,14,14,45.0,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,22,1.0,0,HIT,0.0,0.0,HOME,-98,98,-10,10,AWAYZONE,0,1,7,0,D,2022,L,Devon Toews,8478038.0,13,13,17.4,12.0,12.0,21.0,21.0,17.4,2,3,28,13,13,28,28,28,11,11,11,14,14,11,53.8806591505,53.8806591505,0.0,0.0,0,45.8039299624,0,0,0,1,0,0,0,0,WRIST,1.0,-62,0.00856495,-37,37,
631,40.0,-53.0,53.0,18.0,18.0,-12.4,0,0,0,5,CHI,0,34.8,39.0,39.0,32.0,32.0,34.8,2,3,51,50,50,51,51,51,19,28,28,19,19,19,55.7314991724,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,23,1.0,0,SHOT,53.8806591505,45.8039299624,HOME,-62,62,-37,37,AWAYZONE,0,1,8,7,D,2022,R,Cale Makar,8480069.0,16,16,22.4,17.0,17.0,26.0,26.0,22.4,2,3,33,18,18,33,33,33,16,16,16,19,19,16,-26.5650511771,26.5650511771,80.4457103276,16.0891420655,1,40.249223595,0,0,0,0,0,1,0,0,WRIST,1.0,-53,0.0311934,18,-18,
632,54.0,-35.0,35.0,-0.0,0.0,0.0,0,0,0,5,CHI,0,34.0,34.0,34.0,34.0,34.0,34.0,2,3,34,34,34,34,34,34,34,34,34,34,34,34,40.4969134626,MISS,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,26,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,0,1,8,0,D,2022,R,Cale Makar,8480069.0,50,34,56.4,51.0,34.0,60.0,34.0,34.0,2,3,67,52,34,67,34,34,50,50,34,53,34,34,0.0,0.0,0.0,0.0,0,54.0,1,0,0,0,0,0,0,0,SLAP,0.0,-35,0.0241506,0,0,
633,14.0,-80.0,80.0,-10.0,10.0,0.0,0,0,0,5,CHI,0,34.0,34.0,34.0,34.0,34.0,34.0,2,3,34,34,34,34,34,34,34,34,34,34,34,34,46.872166581,MISS,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,27,1.0,0,MISS,0.0,54.0,HOME,-35,35,0,0,AWAYZONE,0,1,62,8,L,2022,L,Artturi Lehkonen,8477476.0,67,34,56.4,51.0,34.0,60.0,34.0,34.0,2,3,67,52,34,67,34,34,50,50,34,53,34,34,48.3664606634,48.3664606634,48.3664606634,48.3664606634,0,12.0415945788,0,0,0,1,0,0,1,0,,0.0,-81,0.323335,-9,9,
634,13.0,-88.0,88.0,-13.0,13.0,0.0,0,0,0,5,CHI,0,38.0,38.0,38.0,38.0,38.0,38.0,2,3,38,38,38,38,38,38,38,38,38,38,38,38,8.24621125124,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,28,1.0,0,MISS,48.3664606634,12.0415945788,HOME,-81,81,-9,9,AWAYZONE,1,1,29,62,C,2022,R,Nathan MacKinnon,8477492.0,64,38,60.4,55.0,38.0,64.0,38.0,38.0,2,3,71,56,38,71,38,38,54,54,38,57,38,38,84.8055710923,84.8055710923,36.4391104288,9.10977760721,0,11.0453610172,0,0,0,0,1,0,0,0,WRIST,1.0,-89,0.0586269,-11,11,
635,36.0,-56.0,56.0,-15.0,15.0,-4.2,0,0,0,5,CHI,0,15.4,18.5,18.5,13.3333333333,13.3333333333,15.4,2,3,19,19,19,14,14,19,12,18,18,12,12,12,33.2415402772,MISS,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,29,1.0,0,SHOT,84.8055710923,11.0453610172,HOME,-89,89,-11,11,AWAYZONE,1,1,9,29,C,2022,R,Evan Rodrigues,8478542.0,10,10,11.2,7.5,7.5,13.6666666667,13.6666666667,11.2,2,3,17,11,11,17,17,17,4,4,4,10,10,4,24.4439547804,24.4439547804,60.3616163118,2.32160062738,0,36.2491379208,0,0,0,0,1,0,0,0,WRIST,0.0,-56,0.0317755,-15,15,
638,51.0,-43.0,43.0,22.0,22.0,13.9,0,120,10,4,CHI,0,56.25,78.5,75.0,34.0,34.0,54.5,2,2,79,79,75,35,35,75,33,78,75,33,33,33,33.6005952328,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,49,1.0,0,HIT,0.0,0.0,AWAY,-71,71,41,-41,AWAYZONE,1,1,4,0,D,2022,L,Bowen Byram,8481524.0,64,64,69.2,69.6666666667,68.3333333333,68.5,68.5,68.4,3,2,79,79,75,69,69,75,64,64,64,68,68,64,-25.0168934781,25.0168934781,0.0,0.0,0,49.6588360717,0,0,0,0,1,0,0,0,WRIST,1.0,-44,0.028796,21,-21,
639,40.0,60.0,60.0,28.0,28.0,0.0,0,0,0,5,CHI,0,21.8,21.5,9.0,22.0,9.0,9.0,2,3,29,22,9,29,9,9,17,21,9,17,9,9,10.8166538264,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,56,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,HOMEZONE,1,1,6,0,D,2022,R,Erik Johnson,8473446.0,9,9,19.2,22.3333333333,9.0,14.5,9.0,9.0,3,2,30,30,9,20,9,9,9,9,9,9,9,9,43.9949139947,43.9949139947,0.0,0.0,0,40.3112887415,0,0,0,0,1,0,0,0,WRIST,1.0,60,0.0134117,28,28,
640,24.0,-77.0,77.0,21.0,21.0,-10.8,0,0,0,5,CHI,0,35.0,38.5,38.5,32.6666666667,32.6666666667,35.0,2,3,48,48,48,48,48,48,25,29,29,25,25,25,21.400934559,SHOT,20008,0,8475852,Petr Mrazek,0,0,0,5,COL,0,1,63,1.0,0,HIT,0.0,0.0,AWAY,-64,64,38,-38,AWAYZONE,0,1,29,0,C,2022,R,Nathan MacKinnon,8477492.0,9,9,24.2,22.5,22.5,25.3333333333,25.3333333333,24.2,2,3,35,24,24,35,35,35,9,21,21,9,9,9,-60.2551187031,60.2551187031,0.0,0.0,0,24.1867732449,0,0,0,1,0,0,0,0,WRIST,1.0,-77,0.0275754,21,-21,
