undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1421,36.0,-60.0,60.0,-21.0,21.0,-29.4,0,0,0,5,DAL,0,39.4,61.0,61.0,25.0,25.0,39.4,2,3,62,62,62,55,55,62,9,60,60,9,9,9,24.5967477525,MISS,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,11,0.0,0,TAKE,0.0,0.0,AWAY,-47,47,-1,1,HOMEZONE,1,1,91,0,C,2022,R,Tyler Seguin,8475794.0,10,10,10.0,12.0,12.0,8.66666666667,8.66666666667,10.0,2,3,12,12,12,12,12,12,4,12,12,4,4,4,36.5730309785,36.5730309785,0.0,0.0,0,38.6005181312,0,0,0,1,0,0,0,0,WRIST,0.0,-58,0.0433225,-23,23,
1423,16.0,-73.0,73.0,-2.0,2.0,-9.0,0,0,0,5,DAL,0,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,153.0,GOAL,20016,1,8477424,Juuse Saros,0,0,0,5,NSH,0,0,20,0.0,0,BLOCK,0.0,0.0,HOME,83,-83,-2,2,HOMEZONE,0,1,27,0,L,2022,L,Mason Marchment,8478975.0,61,19,28.0,4.0,4.0,34.0,11.5,10.0,1,4,67,4,4,67,19,19,4,4,4,4,4,4,6.00900595749,6.00900595749,6.00900595749,0.600900595749,0,19.1049731745,0,0,0,0,0,0,0,0,WRIST,1.0,-70,0.146931,-2,2,
1424,14.0,-83.0,83.0,-13.0,13.0,0.0,0,0,0,5,DAL,1,14.0,14.0,14.0,14.0,14.0,14.0,2,3,14,14,14,14,14,14,14,14,14,14,14,14,48.3011387029,SHOT,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,23,0.0,0,HIT,0.0,0.0,HOME,-39,39,-37,37,HOMEZONE,0,1,25,0,L,2022,L,Joel Kiviranta,8481641.0,14,14,16.4,16.0,14.0,16.6666666667,14.0,14.0,2,3,18,18,14,18,14,14,14,14,14,14,14,14,64.9831065219,64.9831065219,0.0,0.0,0,16.5529453572,0,0,0,0,1,0,0,0,WRIST,1.0,-82,0.0391076,-15,15,
1425,30.0,-67.0,67.0,-21.0,21.0,5.4,0,0,0,5,DAL,1,32.6,52.0,17.0,19.6666666667,8.0,11.6,2,3,52,52,17,52,17,17,3,52,17,3,3,3,48.6004115209,SHOT,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,28,0.0,0,HIT,0.0,0.0,HOME,-94,94,16,-16,HOMEZONE,0,1,24,0,C,2022,L,Roope Hintz,8478449.0,23,17,19.6,20.5,17.0,19.0,17.0,17.0,2,3,24,24,17,23,17,17,17,17,17,17,17,17,43.7811247649,43.7811247649,0.0,0.0,0,33.2415402772,0,1,0,0,0,0,0,0,WRIST,1.0,-65,0.0357579,-23,23,
1426,20.0,-78.0,78.0,-16.0,16.0,0.0,0,0,0,5,DAL,1,42.4,65.0,8.0,27.3333333333,8.0,8.0,2,3,65,65,8,34,8,8,18,65,8,18,8,8,40.7921561087,SHOT,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,37,0.0,0,HIT,0.0,0.0,AWAY,-35,35,-12,12,HOMEZONE,1,1,91,0,C,2022,R,Tyler Seguin,8475794.0,23,8,26.0,26.5,8.0,25.6666666667,8.0,8.0,2,3,32,31,8,32,8,8,22,22,8,22,8,8,55.0079798014,55.0079798014,0.0,0.0,0,24.4131112315,0,0,0,0,1,0,0,0,WRIST,1.0,-75,0.0714787,-20,20,
1427,30.0,-70.0,70.0,23.0,23.0,0.0,0,0,0,5,DAL,1,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,65.5515064663,SHOT,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,41,0.0,0,HIT,0.0,0.0,HOME,-44,44,-36,36,HOMEZONE,1,1,12,0,C,2022,L,Radek Faksa,8476889.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,-49.9697407281,49.9697407281,0.0,0.0,0,32.6496554346,0,0,0,1,0,0,0,0,SNAP,1.0,-68,0.0451687,25,-25,
1434,37.0,-52.0,52.0,-5.0,5.0,-4.4,0,0,0,5,DAL,1,14.4,6.5,6.5,19.6666666667,19.6666666667,14.4,2,3,54,7,7,54,54,54,0,6,6,0,0,0,5.0,SHOT,20016,0,8477424,Juuse Saros,0,0,0,5,NSH,0,0,63,0.0,0,HIT,0.0,0.0,HOME,-45,45,-2,2,HOMEZONE,0,1,25,0,L,2022,L,Joel Kiviranta,8481641.0,28,28,10.0,7.0,7.0,12.0,12.0,10.0,2,3,28,11,11,28,28,28,3,3,3,3,3,3,7.1250163489,7.1250163489,0.0,0.0,0,40.3112887415,0,0,0,0,1,0,0,0,WRIST,1.0,-49,0.0472224,-5,5,
1436,27.0,-69.0,69.0,19.0,19.0,5.6,0,0,0,5,DAL,1,34.0,41.0,41.0,27.0,27.0,34.0,2,2,41,41,41,39,39,41,15,41,41,15,15,15,10.6301458127,SHOT,20016,0,8477424,Juuse Saros,0,120,41,4,NSH,0,0,88,0.0,0,HIT,0.0,0.0,HOME,-74,74,29,-29,HOMEZONE,0,1,91,0,C,2022,R,Tyler Seguin,8475794.0,39,39,39.6,40.5,40.5,39.0,39.0,39.6,2,3,41,41,41,40,40,41,38,40,40,38,38,38,-43.6677801461,43.6677801461,0.0,0.0,0,30.4138126515,0,0,0,0,1,0,0,0,SLAP,1.0,-67,0.00980077,21,-21,
1437,23.0,-71.0,71.0,14.0,14.0,16.85,0,0,0,5,DAL,1,39.75,58.0,58.0,21.5,21.5,39.75,2,2,58,58,58,32,32,58,11,58,58,11,11,11,5.09901951359,MISS,20016,0,8477424,Juuse Saros,0,120,24,4,NSH,0,0,89,0.0,0,SHOT,-43.6677801461,30.4138126515,AWAY,-67,67,21,-21,HOMEZONE,1,1,27,91,L,2022,L,Mason Marchment,8478975.0,57,57,56.6,57.5,57.5,56.0,56.0,56.6,2,3,58,58,58,57,57,58,55,57,57,55,55,55,-37.303948278,37.303948278,6.36383186815,0.374343051067,0,26.4007575649,0,0,0,0,1,0,0,0,SNAP,0.0,-68,0.0110086,16,-16,
1440,27.0,-67.0,67.0,16.0,16.0,0.0,0,0,0,5,DAL,1,7.0,7.0,7.0,7.0,7.0,7.0,2,2,7,7,7,7,7,7,7,7,7,7,7,7,40.1995024845,SHOT,20016,0,8477424,Juuse Saros,0,120,113,4,NSH,0,0,105,0.0,0,FAC,0.0,0.0,AWAY,-69,69,-22,22,HOMEZONE,1,1,21,0,L,2022,L,Jason Robertson,8480027.0,7,7,10.8,7.0,7.0,11.75,7.0,7.0,1,4,26,7,7,26,7,7,7,7,7,7,7,7,-36.8698976458,36.8698976458,0.0,0.0,0,30.0,0,0,0,1,0,0,0,0,SLAP,1.0,-65,0.0179356,18,-18,
