undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1832,37.0,-54.0,54.0,12.0,12.0,0.0,0,0,0,5,MTL,0,34.0,34.0,14.0,34.0,14.0,14.0,2,3,34,34,14,34,14,14,34,34,14,34,14,14,131.217376898,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,17,1.0,0,FAC,0.0,0.0,HOME,69,-69,-22,22,AWAYZONE,0,1,17,0,D,2022,R,Filip Hronek,8479425.0,34,14,34.0,34.0,14.0,34.0,14.0,14.0,2,3,34,34,14,34,14,14,34,34,14,34,14,14,-19.5366549381,19.5366549381,0.0,0.0,0,32.8937684068,0,0,0,0,1,0,0,0,SNAP,1.0,-58,0.0500704,11,-11,
1834,55.0,-34.0,34.0,-2.0,2.0,0.0,0,0,0,5,MTL,0,23.6,25.0,3.0,22.6666666667,3.0,3.0,2,3,25,25,3,24,3,3,21,25,3,21,3,3,39.4461658466,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,24,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,0,1,38,0,D,2022,L,Robert Hagg,8477462.0,9,3,15.4,6.0,3.0,21.6666666667,3.0,3.0,2,3,22,9,3,22,3,3,3,3,3,21,3,3,2.12109639666,2.12109639666,0.0,0.0,0,54.0370243444,0,0,0,0,1,0,0,0,SLAP,1.0,-35,0.0416932,-2,2,
1835,22.0,-67.0,67.0,-0.0,0.0,-25.2,0,0,0,5,MTL,0,35.6,32.5,32.5,37.6666666667,37.6666666667,35.6,2,3,49,49,49,49,49,49,16,16,16,16,16,16,30.5286750449,MISS,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,30,1.0,0,HIT,0.0,0.0,AWAY,-97,97,16,-16,AWAYZONE,0,1,59,0,L,2022,L,Tyler Bertuzzi,8477479.0,15,15,10.4,11.5,11.5,9.66666666667,9.66666666667,10.4,2,3,15,12,12,15,15,15,2,11,11,2,2,2,0.0,0.0,0.0,0.0,0,18.0,0,0,0,1,0,0,0,0,TIP,0.0,-71,0.0985715,0,0,
1836,8.94427191,-85.0,85.0,8.0,8.0,-25.2,0,0,0,5,MTL,0,55.6,52.5,52.5,57.6666666667,57.6666666667,55.6,2,3,69,69,69,69,69,69,36,36,36,36,36,36,14.0,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,32,1.0,0,HIT,0.0,0.0,AWAY,-99,99,8,-8,AWAYZONE,0,1,23,0,L,2022,R,Lucas Raymond,8482078.0,32,32,30.4,31.5,31.5,29.6666666667,29.6666666667,30.4,2,3,35,32,32,35,35,35,22,31,31,22,22,22,-63.4349488229,63.4349488229,0.0,0.0,0,8.94427191,0,0,0,0,1,0,0,0,BACK,1.0,-85,0.0369925,8,-8,
1837,6.7082039325,-83.0,83.0,3.0,3.0,-28.2,0,0,0,5,MTL,0,62.4,46.5,46.5,73.0,73.0,62.4,2,3,81,51,51,81,81,81,42,42,42,60,60,42,83.0541991714,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,36,1.0,0,DELPEN,0.0,0.0,AWAY,0,0,0,0,AWAYZONE,1,1,27,0,C,2022,L,Michael Rasmussen,8479992.0,13,13,34.2,29.0,29.0,37.6666666667,37.6666666667,34.2,2,3,71,29,29,71,71,71,13,29,29,13,13,13,-26.5650511771,26.5650511771,0.0,0.0,0,6.7082039325,1,0,0,0,0,0,0,0,WRAP,1.0,-83,0.167811,3,-3,
1838,6.32455532034,-83.0,83.0,-2.0,2.0,-28.2,0,0,0,5,MTL,0,63.4,47.5,47.5,74.0,74.0,63.4,2,3,82,52,52,82,82,82,43,43,43,61,61,43,5.0,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,37,1.0,0,SHOT,-26.5650511771,6.7082039325,HOME,-83,83,3,-3,AWAYZONE,0,1,15,27,L,2022,L,Jakub Vrana,8477944.0,72,72,35.2,30.0,30.0,38.6666666667,38.6666666667,35.2,2,3,72,30,30,72,72,72,14,30,30,14,14,14,18.4349488229,18.4349488229,45.0,45.0,1,6.32455532034,1,0,0,0,0,0,1,0,WRIST,1.0,-83,0.325268,-2,2,
1839,7.61577310586,-82.0,82.0,-3.0,3.0,-28.2,0,0,0,5,MTL,0,65.4,49.5,49.5,76.0,76.0,65.4,2,3,84,54,54,84,84,84,45,45,45,63,63,45,1.41421356237,MISS,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,38,1.0,0,SHOT,18.4349488229,6.32455532034,HOME,-83,83,-2,2,AWAYZONE,0,1,15,15,L,2022,L,Jakub Vrana,8477944.0,74,74,37.2,32.0,32.0,40.6666666667,40.6666666667,37.2,2,3,74,32,32,74,74,74,16,32,32,16,16,16,23.1985905136,23.1985905136,4.76364169073,2.38182084536,0,7.61577310586,0,0,0,1,0,0,1,0,WRIST,0.0,-82,0.267073,-3,3,
1841,27.0,-70.0,70.0,-20.0,20.0,0.0,0,120,48,4,MTL,0,72.0,72.0,72.0,72.0,72.0,72.0,2,2,72,72,72,72,72,72,72,72,72,72,72,72,20.8806130178,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,43,1.0,0,BLOCK,0.0,0.0,HOME,-67,67,3,-3,AWAYZONE,1,1,57,0,L,2022,R,David Perron,8474102.0,72,72,72.0,72.0,72.0,72.0,72.0,72.0,1,4,72,72,72,72,72,72,72,72,72,72,72,72,46.7357045889,46.7357045889,0.0,0.0,0,23.3452350599,0,0,0,1,0,0,0,0,SLAP,1.0,-73,0.119613,-17,17,
1842,50.0,-39.0,39.0,-4.0,4.0,0.0,0,120,39,4,MTL,0,81.0,81.0,81.0,81.0,81.0,81.0,2,2,81,81,81,81,81,81,81,81,81,81,81,81,34.5398320783,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,44,1.0,0,SHOT,46.7357045889,23.3452350599,HOME,-73,73,-17,17,AWAYZONE,1,1,53,57,D,2022,R,Moritz Seider,8481542.0,81,81,81.0,81.0,81.0,81.0,81.0,81.0,1,4,81,81,81,81,81,81,81,81,81,81,81,81,4.76364169073,4.76364169073,41.9720628982,4.66356254424,0,48.1663783152,0,0,0,1,0,0,0,0,WRIST,1.0,-41,0.042671,-4,4,
1843,29.0,-76.0,76.0,26.0,26.0,0.0,0,120,21,4,MTL,0,99.0,99.0,99.0,99.0,99.0,99.0,2,2,99,99,99,99,99,99,99,99,99,99,99,99,45.2216762184,SHOT,20022,0,8474596,Jake Allen,0,0,0,5,DET,0,1,45,1.0,0,SHOT,4.76364169073,48.1663783152,HOME,-41,41,-4,4,AWAYZONE,1,1,71,53,C,2022,L,Dylan Larkin,8477946.0,99,99,99.0,99.0,99.0,99.0,99.0,99.0,1,4,99,99,99,99,99,99,99,99,99,99,99,99,-63.4349488229,63.4349488229,68.1985905136,3.78881058409,1,24.5967477525,0,0,0,1,0,0,0,0,SNAP,1.0,-78,0.0982897,22,-22,
