undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
790,53.0,44.0,44.0,-28.0,28.0,0.0,0,0,0,5,VAN,0,17.0,17.0,17.0,17.0,17.0,17.0,2,3,17,17,17,17,17,17,17,17,17,17,17,17,53.3385414124,MISS,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,6,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,1,13,0,R,2022,R,Jesse Puljujarvi,8479344.0,17,17,17.0,17.0,17.0,17.0,17.0,17.0,2,3,17,17,17,17,17,17,17,17,17,17,17,17,-32.1249984404,32.1249984404,0.0,0.0,0,50.7740090991,0,0,0,0,1,0,0,0,WRIST,0.0,46,0.00738574,-27,-27,
795,52.0,41.0,41.0,-21.0,21.0,0.0,0,0,0,5,VAN,2,32.8,37.0,16.0,30.0,16.0,16.0,2,3,37,37,16,36,16,16,20,37,16,20,16,16,74.2024258364,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,22,1.0,0,HIT,0.0,0.0,HOME,-2,-2,39,39,AWAYZONE,0,1,13,0,R,2022,R,Jesse Puljujarvi,8479344.0,34,16,34.0,43.0,16.0,28.0,16.0,16.0,2,3,43,43,16,34,16,16,16,43,16,16,16,16,-23.498565676,23.498565676,0.0,0.0,0,50.1597448159,0,0,0,0,1,0,0,0,SNAP,1.0,43,0.0148068,-20,-20,
799,51.0,48.0,48.0,-31.0,31.0,0.0,0,0,0,5,VAN,2,37.8,40.0,4.0,37.25,4.0,4.0,1,4,40,40,4,39,4,4,35,40,4,35,4,4,19.3132079158,MISS,20010,0,8477967,Thatcher Demko,0,120,24,4,EDM,0,1,38,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,0,1,2,0,D,2022,R,Evan Bouchard,8480803.0,8,4,6.75,6.0,4.0,7.5,4.0,4.0,2,2,9,8,4,9,4,4,4,4,4,6,4,4,-37.3493490446,37.3493490446,0.0,0.0,0,47.8016736109,0,0,0,0,1,0,0,0,WRIST,0.0,51,0.0136331,-29,-29,
801,34.0,56.0,56.0,-10.0,10.0,-15.4,0,0,0,5,VAN,2,24.4,42.5,42.5,12.3333333333,12.3333333333,24.4,2,3,70,70,70,13,13,70,12,15,15,12,12,12,46.1410879802,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,46,1.0,0,TAKE,0.0,0.0,HOME,19,19,14,14,AWAYZONE,0,1,18,0,L,2022,R,Zach Hyman,8475786.0,12,12,9.0,9.0,9.0,9.0,9.0,9.0,2,3,13,13,13,12,12,13,4,5,5,4,4,4,-16.699244234,16.699244234,0.0,0.0,0,31.3209195267,0,0,0,1,0,0,0,0,SNAP,1.0,59,0.0591687,-9,-9,
802,7.28010988928,82.0,82.0,-2.0,2.0,-15.4,0,0,0,5,VAN,2,34.4,52.5,52.5,22.3333333333,22.3333333333,34.4,2,3,80,80,80,23,23,80,22,25,25,22,22,22,24.0416305603,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,47,1.0,0,SHOT,-16.699244234,31.3209195267,HOME,59,59,-9,-9,AWAYZONE,0,1,13,18,R,2022,R,Jesse Puljujarvi,8479344.0,14,14,19.0,19.0,19.0,19.0,19.0,19.0,2,3,23,23,23,22,22,23,14,15,15,14,14,14,-15.9453959009,15.9453959009,0.753848333071,0.0753848333071,0,7.28010988928,1,0,0,0,0,0,0,0,WRIST,1.0,82,0.148678,-2,-2,
803,6.7082039325,83.0,83.0,-3.0,3.0,-15.4,0,0,0,5,VAN,2,35.4,53.5,53.5,23.3333333333,23.3333333333,35.4,2,3,81,81,81,24,24,81,23,26,26,23,23,23,1.41421356237,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,48,1.0,0,SHOT,-15.9453959009,7.28010988928,HOME,82,82,-2,-2,AWAYZONE,0,1,13,13,R,2022,R,Jesse Puljujarvi,8479344.0,15,15,20.0,20.0,20.0,20.0,20.0,20.0,2,3,24,24,24,23,23,24,15,16,16,15,15,15,-26.5650511771,26.5650511771,10.6196552762,10.6196552762,0,6.7082039325,0,1,0,0,0,0,1,0,WRIST,1.0,83,0.236738,-3,-3,
806,43.0,55.0,55.0,26.0,26.0,3.6,0,0,0,5,VAN,2,21.2,11.0,11.0,28.0,20.0,16.4,2,3,31,13,13,31,20,20,9,9,9,22,20,9,36.1247837364,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,58,1.0,0,FAC,0.0,0.0,AWAY,20,20,22,22,AWAYZONE,0,1,55,0,L,2022,L,Dylan Holloway,8482077.0,20,20,21.2,23.0,20.0,20.0,20.0,20.0,2,3,23,23,20,20,20,20,20,23,20,20,20,20,37.146686698,37.146686698,0.0,0.0,0,41.400483089,0,0,0,0,1,0,0,0,WRIST,1.0,56,0.0164765,25,25,
807,35.0,54.0,54.0,1.0,1.0,2.4,0,0,0,5,VAN,2,16.0,12.5,12.5,18.3333333333,14.3333333333,13.6,2,3,28,16,16,28,16,16,9,9,9,11,11,9,24.1867732449,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,63,1.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,AWAYZONE,0,1,14,0,C,2022,L,Devin Shore,8476913.0,27,16,18.2,16.0,16.0,19.6666666667,16.0,16.0,2,3,27,16,16,27,16,16,16,16,16,16,16,16,1.78991060825,1.78991060825,0.0,0.0,0,32.0156211872,0,0,0,1,0,0,0,0,BACK,1.0,57,0.028046,1,1,
808,8.24621125124,91.0,91.0,8.0,8.0,0.0,0,0,0,5,VAN,2,20.0,20.0,20.0,20.0,20.0,20.0,2,3,20,20,20,20,20,20,20,20,20,20,20,20,17.0880074906,MISS,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,71,1.0,0,HIT,0.0,0.0,AWAY,97,97,-8,-8,AWAYZONE,0,1,71,0,C,2022,L,Ryan McLeod,8480802.0,20,20,20.0,20.0,20.0,20.0,20.0,20.0,2,3,20,20,20,20,20,20,20,20,20,20,20,20,75.9637565321,75.9637565321,0.0,0.0,0,8.24621125124,0,0,0,1,0,0,0,0,BACK,0.0,91,0.01,8,8,
809,45.0,49.0,49.0,-20.0,20.0,8.4,0,0,0,5,VAN,2,24.4,47.0,47.0,9.33333333333,9.33333333333,24.4,2,3,48,48,48,12,12,48,4,46,46,4,4,4,24.1867732449,SHOT,20010,0,8477967,Thatcher Demko,0,0,0,5,EDM,0,1,75,1.0,0,BLOCK,0.0,0.0,HOME,47,47,5,5,AWAYZONE,1,1,91,0,L,2022,L,Evander Kane,8475169.0,45,45,32.8,21.5,21.5,40.3333333333,40.3333333333,32.8,2,3,45,42,42,45,45,45,1,1,1,34,34,1,-25.9743939624,25.9743939624,0.0,0.0,0,43.382023927,0,0,0,0,1,0,0,0,SNAP,1.0,50,0.0238074,-19,-19,
