undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1144,6.32455532034,-87.0,87.0,6.0,6.0,4.25,0,0,0,5,FLA,0,12.75,8.5,8.5,17.0,17.0,12.75,2,2,17,17,17,17,17,17,0,0,0,17,17,0,33.2866339542,MISS,20014,0,8478009,Ilya Sorokin,0,120,103,4,NYI,0,0,9,0.0,0,FAC,0.0,0.0,AWAY,-69,69,-22,22,HOMEZONE,1,1,19,0,L,2022,L,Matthew Tkachuk,8479314.0,17,17,30.2,28.0,17.0,31.6666666667,17.0,17.0,2,3,39,39,17,39,17,17,17,17,17,17,17,17,-71.5650511771,71.5650511771,0.0,0.0,0,6.32455532034,0,0,0,1,0,0,0,0,,0.0,-87,0.0143698,6,-6,
1145,13.0,-84.0,84.0,12.0,12.0,4.25,0,0,0,5,FLA,0,40.75,36.5,36.5,45.0,45.0,40.75,2,2,45,45,45,45,45,45,28,28,28,45,45,28,4.472135955,SHOT,20014,0,8478009,Ilya Sorokin,0,120,75,4,NYI,0,0,10,0.0,0,MISS,-71.5650511771,6.32455532034,AWAY,-87,87,6,-6,HOMEZONE,1,1,19,19,L,2022,L,Matthew Tkachuk,8479314.0,45,45,58.2,56.0,45.0,59.6666666667,45.0,45.0,2,3,67,67,45,67,45,45,45,45,45,45,45,45,-68.1985905136,68.1985905136,3.36646066343,0.12023073798,0,10.7703296143,0,0,0,1,0,0,0,0,WRIST,1.0,-85,0.0116645,10,-10,
1151,46.0,-49.0,49.0,23.0,23.0,-4.2,0,0,0,5,FLA,0,40.6,64.0,25.0,25.0,25.0,25.0,2,3,68,68,25,25,25,25,25,60,25,25,25,25,151.907866814,SHOT,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,33,0.0,0,HIT,0.0,0.0,HOME,97,-97,-3,3,HOMEZONE,0,1,70,0,R,2022,R,Patric Hornqvist,8471887.0,48,25,39.6,28.0,14.5,47.3333333333,25.0,20.8,2,3,52,52,25,49,25,25,4,4,4,45,25,4,-30.2564371635,30.2564371635,0.0,0.0,0,41.6773319683,1,0,0,0,0,0,0,0,WRIST,1.0,-53,0.0140583,21,-21,
1152,37.0,-76.0,76.0,35.0,35.0,-9.6,0,0,0,5,FLA,0,43.6,67.0,28.0,28.0,28.0,28.0,2,3,71,71,28,28,28,28,28,63,28,28,28,28,26.0,SHOT,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,34,0.0,0,SHOT,-30.2564371635,41.6773319683,AWAY,-53,53,21,-21,HOMEZONE,1,1,94,70,L,2022,L,Ryan Lomberg,8479066.0,52,28,31.8,4.0,4.0,50.3333333333,28.0,18.4,2,3,52,7,7,52,28,28,1,1,1,48,28,1,-68.8387401832,68.8387401832,38.5823030196,12.8607676732,0,33.2415402772,0,0,0,1,0,0,1,0,WRIST,1.0,-77,0.0220765,31,-31,
1156,42.0,-51.0,51.0,-17.0,17.0,0.0,0,0,0,5,FLA,0,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,50.9901951359,MISS,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,57,0.0,0,FAC,0.0,0.0,HOME,-20,20,22,-22,HOMEZONE,0,1,23,0,C,2022,L,Carter Verhaeghe,8477409.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,24.5671713206,24.5671713206,0.0,0.0,0,38.4837628098,0,0,0,1,0,0,0,0,WRIST,0.0,-54,0.020811,-16,16,
1157,8.48528137424,-83.0,83.0,6.0,6.0,-5.4,0,120,65,4,FLA,0,33.8,55.0,49.0,28.5,27.0,31.4,1,4,55,55,49,55,49,49,16,55,49,16,16,16,148.707767114,MISS,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,66,0.0,0,GIVE,0.0,0.0,HOME,62,-62,39,-39,HOMEZONE,1,1,19,0,L,2022,L,Matthew Tkachuk,8479314.0,26,26,26.0,26.0,26.0,26.0,26.0,26.0,2,2,26,26,26,26,26,26,26,26,26,26,26,26,-45.0,45.0,0.0,0.0,0,8.48528137424,0,0,0,0,0,1,0,0,WRIST,0.0,-83,0.148368,6,-6,
1158,49.0,-53.0,53.0,33.0,33.0,0.0,0,120,63,4,FLA,0,13.8,2.0,2.0,16.75,2.0,2.0,1,4,25,2,2,25,2,2,2,2,2,2,2,2,16.6433169771,SHOT,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,69,0.0,0,FAC,0.0,0.0,AWAY,-69,69,22,-22,HOMEZONE,0,1,7,0,D,2022,R,Radko Gudas,8475462.0,28,2,15.0,28.0,2.0,2.0,2.0,2.0,2,2,28,28,2,2,2,2,2,28,2,2,2,2,-42.3574547059,42.3574547059,0.0,0.0,0,46.0108682813,0,0,0,1,0,0,0,0,WRIST,1.0,-55,0.0186229,31,-31,
1159,18.0,-71.0,71.0,-3.0,3.0,0.0,0,120,51,4,FLA,0,25.8,14.0,14.0,28.75,14.0,14.0,1,4,37,14,14,37,14,14,14,14,14,14,14,14,38.4707681233,SHOT,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,70,0.0,0,SHOT,-42.3574547059,46.0108682813,AWAY,-55,55,31,-31,HOMEZONE,0,1,16,7,C,2022,L,Aleksander Barkov,8477493.0,14,14,27.0,40.0,14.0,14.0,14.0,14.0,2,2,40,40,14,14,14,14,14,40,14,14,14,14,10.6196552762,10.6196552762,52.9771099821,4.41475916517,1,16.2788205961,0,1,0,0,0,0,0,0,WRIST,1.0,-73,0.0979065,-3,3,
1160,32.0,-74.0,74.0,-28.0,28.0,-14.8,0,120,3,4,FLA,0,61.6,31.5,24.0,81.6666666667,47.0,37.8,2,3,85,62,47,85,47,47,1,1,1,78,47,1,177.101665718,MISS,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,74,0.0,0,HIT,0.0,0.0,AWAY,98,-98,9,-9,HOMEZONE,0,1,9,0,C,2022,L,Sam Bennett,8477935.0,19,19,23.0,25.0,25.0,21.0,21.0,23.0,2,2,25,25,25,23,23,25,19,25,25,19,19,19,61.5570713756,61.5570713756,0.0,0.0,0,27.2946881279,0,0,0,1,0,0,0,0,WRIST,0.0,-76,0.0150698,-24,24,
1164,14.0,-79.0,79.0,9.0,9.0,-12.0,0,0,0,5,FLA,0,24.4,46.0,46.0,10.0,10.0,24.4,2,3,46,46,46,13,13,46,5,46,46,5,5,5,88.6002257333,SHOT,20014,0,8478009,Ilya Sorokin,0,0,0,5,NYI,0,0,99,0.0,0,GIVE,0.0,0.0,HOME,4,-4,40,-40,HOMEZONE,1,1,16,0,C,2022,L,Aleksander Barkov,8477493.0,8,8,12.4,17.5,17.5,9.0,9.0,12.4,2,3,18,18,18,17,17,18,2,17,17,2,2,2,-41.9872124958,41.9872124958,0.0,0.0,0,13.4536240471,0,0,0,0,1,0,0,0,WRIST,1.0,-79,0.0943935,9,-9,
