undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
253,32.6496554346,-64.0,64.0,21.0,21.0,40.6,0,0,0,5,VGK,0,24.4,30.0,30.0,20.6666666667,20.6666666667,24.4,2,3,32,30,30,32,32,32,1,30,30,1,1,1,24.1660919472,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,0,0,22,1.0,0,BLOCK,0.0,0.0,HOME,-86,86,11,-11,AWAYZONE,1,1,34,0,R,2022,L,Arthur Kaliyev,8481560.0,65,65,65.0,65.0,65.0,65.0,65.0,65.0,1,4,65,65,65,65,65,65,65,65,65,65,65,65,-40.0302592719,40.0302592719,0.0,0.0,0,32.6496554346,0,0,0,0,1,0,0,0,SLAP,0.0,-64,0.0681703,21,-21,
256,19.2093727123,-77.0,77.0,15.0,15.0,0.0,0,0,0,5,VGK,0,33.0,33.0,33.0,33.0,33.0,33.0,2,3,33,33,33,33,33,33,33,33,33,33,33,33,162.237480257,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,0,0,37,1.0,0,SHOT,0.0,0.0,AWAY,84,-84,-5,5,AWAYZONE,1,1,12,8,C,2022,L,Trevor Moore,8479675.0,33,33,34.4,36.5,33.0,33.0,33.0,33.0,2,3,40,40,33,33,33,33,33,33,33,33,33,33,-51.3401917459,51.3401917459,0.0,0.0,0,19.2093727123,0,0,0,0,1,0,0,0,SNAP,0.0,-77,0.0823607,15,-15,
258,39.3573373083,-54.0,54.0,-18.0,18.0,0.2,0,0,0,5,VGK,0,26.4,25.0,25.0,27.3333333333,27.3333333333,26.4,2,3,41,41,41,41,41,41,0,9,9,0,0,0,134.647688432,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,0,0,43,1.0,0,BLOCK,0.0,0.0,AWAY,79,-79,3,-3,AWAYZONE,1,1,13,0,C,2022,R,Gabriel Vilardi,8480014.0,41,41,26.6,5.0,5.0,41.0,41.0,26.6,2,3,41,6,6,41,41,41,4,4,4,41,41,4,27.2161115573,27.2161115573,27.2161115573,1.70100697233,0,39.3573373083,0,0,0,0,1,0,0,0,SNAP,0.0,-54,0.0413625,-18,18,
262,30.2654919008,-59.0,59.0,4.0,4.0,-11.2,0,0,0,5,VGK,0,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,123.17873193,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,0,0,56,1.0,0,MISS,0.0,0.0,AWAY,63,-63,-13,13,AWAYZONE,1,1,22,8,L,2022,L,Kevin Fiala,8477942.0,25,25,25.8,26.0,26.0,25.6666666667,25.6666666667,25.8,2,3,28,26,26,28,28,28,24,26,26,24,24,24,-7.59464336859,7.59464336859,0.0,0.0,0,30.2654919008,0,0,0,0,0,1,0,0,SNAP,1.0,-59,0.0844113,4,-4,
263,9.21954445729,-82.0,82.0,-6.0,6.0,-14.4,0,0,0,5,VGK,0,52.4,50.0,50.0,54.0,54.0,52.4,2,3,54,54,54,54,54,54,46,46,46,54,54,46,33.7342555869,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,0,0,62,1.0,0,HIT,0.0,0.0,AWAY,-75,75,-39,39,AWAYZONE,0,1,55,0,C,2022,L,Quinton Byfield,8482124.0,54,54,38.0,14.0,14.0,54.0,54.0,38.0,2,3,54,18,18,54,54,54,10,10,10,54,54,10,40.601294645,40.601294645,0.0,0.0,0,9.21954445729,1,0,0,0,0,0,0,0,WRIST,1.0,-82,0.100175,-6,6,
264,26.5706605112,-64.0,64.0,-9.0,9.0,-14.4,0,0,0,5,VGK,0,55.4,53.0,53.0,57.0,57.0,55.4,2,3,57,57,57,57,57,57,49,49,49,57,57,49,18.2482875909,GOAL,20004,1,8480313,Logan Thompson,0,0,0,5,LAK,0,0,63,1.0,0,SHOT,40.601294645,9.21954445729,HOME,-82,82,-6,6,AWAYZONE,1,1,13,55,C,2022,R,Gabriel Vilardi,8480014.0,57,57,41.0,17.0,17.0,57.0,57.0,41.0,2,3,57,21,21,57,57,57,13,13,13,57,57,13,19.7988763545,19.7988763545,20.8024182905,6.93413943016,0,26.5706605112,0,0,0,0,0,0,1,0,WRIST,1.0,-64,0.103717,-9,9,
265,57.7754273026,-36.0,36.0,-23.0,23.0,0.0,0,0,0,5,VGK,0,28.0,28.0,28.0,28.0,28.0,28.0,2,3,28,28,28,28,28,28,28,28,28,28,28,28,42.7200187266,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,65,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,1,2,0,D,2022,L,Alexander Edler,8471303.0,49,28,34.8,45.0,28.0,28.0,28.0,28.0,2,3,49,49,28,28,28,28,28,41,28,28,28,28,23.4590240815,23.4590240815,0.0,0.0,0,57.7754273026,0,1,0,0,0,0,0,0,WRIST,1.0,-36,0.0111085,-23,23,
266,36.8781778292,-65.0,65.0,-28.0,28.0,5.4,0,0,0,5,VGK,0,12.8,12.5,12.5,13.0,13.0,12.8,2,3,18,13,13,18,18,18,5,12,12,5,5,5,131.882523482,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,70,1.0,0,HIT,0.0,0.0,AWAY,48,-48,40,-40,AWAYZONE,1,1,33,0,L,2022,R,Viktor Arvidsson,8478042.0,14,14,18.2,19.5,19.5,17.3333333333,17.3333333333,18.2,2,3,20,20,20,20,20,20,14,19,19,14,14,14,49.398705355,49.398705355,0.0,0.0,0,36.8781778292,0,1,0,0,0,0,0,0,SNAP,1.0,-65,0.0278185,-28,28,
267,49.3659801888,-40.0,40.0,6.0,6.0,0.0,0,0,0,5,VGK,0,22.8,22.5,9.0,23.0,9.0,9.0,2,3,28,23,9,28,9,9,15,22,9,15,9,9,40.3112887415,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,73,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,1,1,44,0,D,2022,L,Mikey Anderson,8479998.0,30,9,17.2,29.5,9.0,9.0,9.0,9.0,2,3,30,30,9,9,9,9,9,29,9,9,9,9,-6.98105740683,6.98105740683,0.0,0.0,0,49.3659801888,0,0,0,1,0,0,0,0,SLAP,0.0,-40,0.0216842,6,-6,
268,29.4278779391,-60.0,60.0,-5.0,5.0,0.0,0,0,0,5,VGK,0,27.8,27.5,14.0,28.0,14.0,14.0,2,3,33,28,14,33,14,14,20,27,14,20,14,14,37.2155881319,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,75,1.0,0,GIVE,0.0,0.0,AWAY,-97,97,-1,1,AWAYZONE,0,1,9,0,C,2022,L,Adrian Kempe,8477960.0,14,14,22.2,34.5,14.0,14.0,14.0,14.0,2,3,35,35,14,14,14,14,14,34,14,14,14,14,9.78240703181,9.78240703181,0.0,0.0,0,29.4278779391,0,1,0,0,0,0,0,0,SNAP,1.0,-60,0.204722,-5,5,
269,54.1202365109,-37.0,37.0,-15.0,15.0,0.0,0,0,0,5,VGK,0,5.0,5.0,5.0,5.0,5.0,5.0,2,3,5,5,5,5,5,5,5,5,5,5,5,5,32.7566787083,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,78,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,1,1,8,0,D,2022,R,Drew Doughty,8474563.0,40,5,19.2,40.5,5.0,5.0,5.0,5.0,2,3,41,41,5,5,5,5,5,40,5,5,5,5,16.0908163489,16.0908163489,0.0,0.0,0,54.1202365109,1,0,0,0,0,0,0,0,SLAP,0.0,-37,0.0186992,-15,15,
270,5.09901951359,-88.0,88.0,-5.0,5.0,0.0,0,0,0,5,VGK,0,7.0,7.0,7.0,7.0,7.0,7.0,2,3,7,7,7,7,7,7,7,7,7,7,7,7,51.9711458407,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,79,1.0,0,MISS,16.0908163489,54.1202365109,HOME,-37,37,-15,15,AWAYZONE,0,1,24,8,C,2022,L,Phillip Danault,8476479.0,7,7,21.2,42.5,7.0,7.0,7.0,7.0,2,3,43,43,7,7,7,7,7,42,7,7,7,7,78.690067526,78.690067526,62.5992511771,31.2996255886,0,5.09901951359,0,0,0,1,0,0,1,0,BACK,1.0,-88,0.362904,-5,5,
283,36.4005494464,67.0,67.0,-29.0,29.0,-14.4,0,0,0,5,VGK,0,37.6,29.5,29.5,43.0,43.0,37.6,2,3,52,43,43,52,52,52,16,16,16,36,36,16,123.30855607,MISS,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,126,1.0,0,HIT,0.0,0.0,HOME,-47,-47,18,18,AWAYZONE,1,2,19,0,L,2022,L,Alex Iafallo,8480113.0,37,37,23.2,26.3333333333,26.3333333333,18.5,18.5,23.2,3,2,37,37,37,37,37,37,0,6,6,0,0,0,-52.8152935468,52.8152935468,0.0,0.0,0,36.4005494464,0,0,0,0,1,0,0,0,SNAP,0.0,67,0.0221853,-29,-29,
285,16.5529453572,74.0,74.0,7.0,7.0,0.0,0,0,0,5,VGK,1,22.4,23.0,10.0,22.0,10.0,10.0,2,3,24,24,10,22,10,10,22,22,10,22,10,10,15.8113883008,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,132,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,0,2,55,0,C,2022,L,Quinton Byfield,8482124.0,10,10,10.0,10.0,10.0,10.0,10.0,10.0,2,3,10,10,10,10,10,10,10,10,10,10,10,10,25.0168934781,25.0168934781,0.0,0.0,0,16.5529453572,0,0,0,0,1,0,0,0,WRIST,1.0,74,0.0766827,7,7,
290,19.7230829233,72.0,72.0,10.0,10.0,-45.8,0,0,0,5,VGK,1,56.4,39.0,39.0,68.0,68.0,56.4,2,3,69,56,56,69,69,69,22,22,22,67,67,22,133.180328878,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,146,1.0,0,SHOT,0.0,0.0,AWAY,-59,-59,-14,-14,AWAYZONE,0,2,24,8,C,2022,L,Phillip Danault,8476479.0,20,20,10.6,4.0,4.0,15.0,15.0,10.6,2,3,21,4,4,21,21,21,4,4,4,4,4,4,30.4655449195,30.4655449195,0.0,0.0,0,19.7230829233,0,0,0,1,0,0,0,0,WRIST,1.0,72,0.0630494,10,10,
291,53.600373133,37.0,37.0,13.0,13.0,0.0,0,0,0,5,VGK,1,8.0,8.0,8.0,8.0,8.0,8.0,2,3,8,8,8,8,8,8,8,8,8,8,8,8,33.2415402772,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,150,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,1,2,50,0,D,2022,R,Sean Durzi,8480434.0,21,8,27.6,21.0,8.0,32.0,8.0,8.0,2,3,38,21,8,38,8,8,21,21,8,21,8,8,14.0362434679,14.0362434679,0.0,0.0,0,53.600373133,0,0,0,0,1,0,0,0,WRIST,1.0,37,0.0116597,13,13,
294,56.3648826842,38.0,38.0,24.0,24.0,0.0,0,0,0,5,VGK,1,33.0,39.0,29.0,29.0,29.0,29.0,2,3,39,39,29,29,29,29,29,39,29,29,29,29,90.9725233244,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,160,1.0,0,SHOT,0.0,0.0,AWAY,-38,-38,-26,-26,AWAYZONE,0,2,44,23,D,2022,L,Mikey Anderson,8479998.0,39,29,39.0,39.0,29.0,39.0,29.0,29.0,2,3,39,39,29,39,29,29,39,39,29,39,29,29,25.2011236455,25.2011236455,0.0,0.0,0,56.3648826842,0,1,0,0,0,0,0,0,SLAP,1.0,38,0.0151141,24,24,
296,56.6480361531,36.0,36.0,-20.0,20.0,0.0,0,0,0,5,VGK,1,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,65.4599113962,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,165,1.0,0,GIVE,0.0,0.0,AWAY,98,98,1,1,AWAYZONE,0,2,26,0,D,2022,R,Sean Walker,8480336.0,37,37,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,-20.6744247609,20.6744247609,0.0,0.0,0,56.6480361531,0,1,0,0,0,0,0,0,WRIST,1.0,36,0.0219702,-20,-20,
297,55.0090901579,34.0,34.0,-1.0,1.0,0.8,0,0,0,5,VGK,1,3.2,2.0,2.0,4.0,4.0,3.2,2,3,4,4,4,4,4,4,0,0,0,4,4,0,40.8166632639,SHOT,20004,0,8480313,Logan Thompson,0,0,0,5,LAK,1,0,168,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,0,2,3,0,D,2022,R,Matt Roy,8478911.0,4,4,4.0,4.0,4.0,4.0,4.0,4.0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,-1.04162667601,1.04162667601,0.0,0.0,0,55.0090901579,0,1,0,0,0,0,0,0,WRIST,1.0,34,0.0296009,-1,-1,
