undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1331,23.0,-78.0,78.0,20.0,20.0,-0.8,0,0,0,5,NYR,0,13.0,13.0,13.0,13.0,13.0,13.0,2,3,13,13,13,13,13,13,13,13,13,13,13,13,42.0475920833,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,7,1.0,0,HIT,0.0,0.0,AWAY,-39,39,39,-39,AWAYZONE,1,1,17,0,L,2022,L,Marcus Foligno,8475220.0,13,13,12.2,11.0,11.0,13.0,13.0,12.2,2,3,13,13,13,13,13,13,9,9,9,13,13,9,-60.2551187031,60.2551187031,0.0,0.0,0,24.1867732449,1,0,0,0,0,0,0,0,WRIST,1.0,-77,0.0320983,21,-21,
1332,27.0,-63.0,63.0,-6.0,6.0,-0.8,0,0,0,5,NYR,0,15.0,15.0,15.0,15.0,15.0,15.0,2,3,15,15,15,15,15,15,15,15,15,15,15,15,31.384709653,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,8,1.0,0,SHOT,-60.2551187031,24.1867732449,HOME,-77,77,21,-21,AWAYZONE,0,1,14,17,C,2022,L,Joel Eriksson Ek,8478493.0,15,15,14.2,13.0,13.0,15.0,15.0,14.2,2,3,15,15,15,15,15,15,11,11,11,15,15,11,12.094757077,12.094757077,72.3498757801,36.17493789,1,28.6356421266,0,0,0,0,1,0,1,0,WRIST,1.0,-61,0.241881,-6,6,
1333,12.0,-84.0,84.0,-11.0,11.0,0.0,0,0,0,5,NYR,0,28.8,16.5,12.0,37.0,12.0,12.0,2,3,37,20,12,37,12,12,13,13,12,37,12,12,156.310588253,MISS,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,14,1.0,0,FAC,0.0,0.0,AWAY,69,-69,22,-22,AWAYZONE,1,1,46,0,D,2022,R,Jared Spurgeon,8474716.0,30,12,29.8,30.0,12.0,29.6666666667,12.0,12.0,2,3,31,30,12,31,12,12,28,30,12,28,12,12,63.4349488229,63.4349488229,0.0,0.0,0,11.1803398875,0,0,0,1,0,0,0,0,WRIST,0.0,-84,0.0720065,-10,10,
1335,49.0,45.0,45.0,-22.0,22.0,0.0,0,0,0,5,NYR,0,61.4,95.0,1.0,53.0,1.0,1.0,1,4,95,95,1,64,1,1,33,95,1,33,1,1,26.0192236625,SHOT,20017,0,8478048,Igor Shesterkin,0,120,87,4,MIN,0,0,27,1.0,0,FAC,0.0,0.0,HOME,20,20,-22,-22,HOMEZONE,1,1,33,0,D,2022,L,Alex Goligoski,8471274.0,5,1,6.0,5.5,1.0,6.5,1.0,1.0,2,2,7,6,1,7,1,1,5,5,1,6,1,1,-26.0295921915,26.0295921915,0.0,0.0,0,47.853944456,0,0,0,1,0,0,0,0,WRIST,1.0,46,0.0146788,-21,-21,
1337,55.0,-36.0,36.0,-16.0,16.0,-1.2,0,0,0,5,NYR,1,41.2,43.0,43.0,40.0,40.0,41.2,2,3,44,44,44,41,41,44,39,42,42,39,39,39,40.8533964316,MISS,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,32,1.0,0,FAC,0.0,0.0,AWAY,-20,20,22,-22,AWAYZONE,0,1,25,0,D,2022,L,Jonas Brodin,8476463.0,39,39,40.0,37.5,37.5,41.6666666667,41.6666666667,40.0,2,3,43,39,39,43,43,43,36,36,36,41,41,36,16.5043613818,16.5043613818,0.0,0.0,0,56.3205113613,0,0,0,0,1,0,0,0,SLAP,0.0,-35,0.0184709,-16,16,
1338,13.0,-76.0,76.0,-1.0,1.0,-11.2,0,0,0,5,NYR,1,52.2,65.0,65.0,43.6666666667,43.6666666667,52.2,2,3,66,66,66,63,63,66,6,64,64,6,6,6,44.598206242,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,33,1.0,0,MISS,16.5043613818,56.3205113613,HOME,-35,35,-16,16,AWAYZONE,1,1,38,25,R,2022,R,Ryan Hartman,8477451.0,63,63,41.0,7.0,7.0,63.6666666667,63.6666666667,41.0,2,3,65,7,7,65,65,65,7,7,7,63,63,7,4.76364169073,4.76364169073,11.740719691,0.533669076865,0,12.0415945788,0,0,0,0,1,0,0,0,SNAP,1.0,-77,0.134507,-1,1,
1339,18.0,-79.0,79.0,15.0,15.0,0.0,0,0,0,5,NYR,1,30.8,37.0,26.0,26.6666666667,26.0,26.0,2,3,45,45,26,28,26,26,26,29,26,26,26,26,17.0293863659,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,40,1.0,0,BLOCK,0.0,0.0,HOME,-79,79,-3,3,AWAYZONE,0,1,46,0,D,2022,R,Jared Spurgeon,8474716.0,26,26,26.0,26.0,26.0,26.0,26.0,26.0,2,3,26,26,26,26,26,26,26,26,26,26,26,26,-57.2647737279,57.2647737279,0.0,0.0,0,16.6433169771,0,1,0,0,0,0,0,0,SNAP,1.0,-80,0.127106,14,-14,
1340,55.0,-34.0,34.0,2.0,2.0,0.0,0,0,0,5,NYR,1,7.0,7.0,7.0,7.0,7.0,7.0,2,3,7,7,7,7,7,7,7,7,7,7,7,7,41.1825205639,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,43,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,1,1,12,0,L,2022,L,Matt Boldy,8481557.0,7,7,7.0,7.0,7.0,7.0,7.0,7.0,2,3,7,7,7,7,7,7,7,7,7,7,7,7,-2.04540848889,2.04540848889,0.0,0.0,0,56.0357029045,0,0,0,0,1,0,0,0,WRIST,1.0,-33,0.0129117,2,-2,
1341,59.0,-38.0,38.0,-29.0,29.0,-2.6,0,0,0,5,NYR,1,37.6,42.0,42.0,34.6666666667,34.6666666667,37.6,2,3,43,43,43,35,35,43,34,41,41,34,34,34,63.9061812347,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,47,1.0,0,HIT,0.0,0.0,HOME,-97,97,-8,8,AWAYZONE,0,1,14,0,C,2022,L,Joel Eriksson Ek,8478493.0,30,30,35.0,33.5,33.5,36.0,36.0,35.0,2,3,42,34,34,42,42,42,30,33,33,30,30,30,29.9816393688,29.9816393688,0.0,0.0,0,60.0333240792,0,0,0,0,1,0,0,0,SNAP,1.0,-37,0.0155848,-30,30,
1342,53.0,-36.0,36.0,6.0,6.0,-12.2,0,0,0,5,NYR,1,43.2,38.0,38.0,46.6666666667,46.6666666667,43.2,2,3,51,38,38,51,51,51,38,38,38,42,42,38,50.537115074,SHOT,20017,0,8478048,Igor Shesterkin,0,0,0,5,MIN,0,0,52,1.0,0,HIT,0.0,0.0,HOME,-59,59,-39,39,AWAYZONE,0,1,24,0,D,2022,R,Matt Dumba,8476856.0,13,13,31.0,9.0,9.0,45.6666666667,45.6666666667,31.0,2,3,48,13,13,48,48,48,5,5,5,42,42,5,-6.45881637872,6.45881637872,0.0,0.0,0,53.3385414124,0,0,0,1,0,0,0,0,WRIST,1.0,-36,0.0156153,6,-6,
