undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
557,41.0,-58.0,58.0,-27.0,27.0,-18.8,0,0,0,5,TOR,0,38.6,33.0,33.0,42.3333333333,37.6666666667,35.8,2,3,52,45,45,52,45,45,21,21,21,23,23,21,63.9765582069,SHOT,20007,0,8476899,Matt Murray,1,0,0,5,MTL,0,1,41,1.0,0,DELPEN,0.0,0.0,AWAY,0,0,0,0,AWAYZONE,1,1,22,0,R,2022,R,Cole Caufield,8481540.0,11,11,18.4,52.0,45.0,10.0,10.0,17.0,1,4,52,52,45,23,23,45,2,52,45,2,2,2,41.054813771,41.054813771,0.0,0.0,0,41.1096095822,0,0,0,0,1,0,0,0,WRIST,1.0,-58,0.0184256,-27,27,
558,45.0,-60.0,60.0,34.0,34.0,-22.9666666667,0,0,0,5,TOR,0,47.6,42.0,42.0,51.3333333333,46.6666666667,44.8,2,3,61,54,54,61,54,54,30,30,30,32,32,30,61.0327780787,SHOT,20007,0,8476899,Matt Murray,1,0,0,6,MTL,0,1,42,1.0,0,SHOT,41.054813771,41.1096095822,HOME,-58,58,-27,27,AWAYZONE,1,1,54,22,D,2022,L,Jordan Harris,8480887.0,61,54,23.0,31.0,27.5,19.0,19.0,21.8333333333,2,4,61,61,54,32,32,54,1,1,1,11,11,1,-49.5377725079,49.5377725079,90.5925862789,10.0658429199,1,44.687805943,0,0,0,0,1,0,0,0,WRIST,1.0,-60,0.0191767,34,-34,
560,31.0,-62.0,62.0,-15.0,15.0,0.0,0,120,89,4,TOR,0,39.0,47.0,31.0,31.0,31.0,31.0,2,2,63,63,31,31,31,31,31,31,31,31,31,31,34.205262753,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,46,1.0,0,SHOT,0.0,0.0,AWAY,-90,90,7,-7,AWAYZONE,1,1,22,8,R,2022,R,Cole Caufield,8481540.0,53,31,45.8,34.0,31.0,48.75,31.0,31.0,1,4,65,34,31,65,31,31,31,34,31,31,31,31,28.300755766,28.300755766,0.0,0.0,0,29.5296461205,0,1,0,0,0,0,0,0,SNAP,1.0,-63,0.0899072,-14,14,
561,59.0,-34.0,34.0,22.0,22.0,0.0,0,120,75,4,TOR,0,21.0,13.0,13.0,29.0,13.0,13.0,2,2,45,13,13,45,13,13,13,13,13,13,13,13,58.2580466545,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,49,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,1,1,68,0,L,2022,L,Mike Hoffman,8474884.0,13,13,13.0,999.0,999.0,13.0,13.0,13.0,0,5,13,0,0,13,13,13,13,999,999,13,13,13,-21.9745079915,21.9745079915,0.0,0.0,0,61.4654374425,0,0,0,0,1,0,0,0,WRIST,1.0,-32,0.0212391,23,-23,
562,57.0,-32.0,32.0,4.0,4.0,7.0,0,120,45,4,TOR,0,36.0,43.0,43.0,29.0,29.0,36.0,2,2,43,43,43,43,43,43,15,43,43,15,15,15,19.1049731745,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,50,1.0,0,SHOT,-21.9745079915,61.4654374425,HOME,-32,32,23,-23,AWAYZONE,1,1,68,68,L,2022,L,Mike Hoffman,8474884.0,43,43,43.0,999.0,999.0,43.0,43.0,43.0,0,5,43,0,0,43,43,43,43,999,999,43,43,43,-3.87852450285,3.87852450285,18.0959834886,0.603199449621,0,59.1354377679,0,0,0,0,1,0,0,0,SLAP,0.0,-30,0.0431687,4,-4,
563,41.0,-49.0,49.0,7.0,7.0,-2.2,0,0,0,5,TOR,0,36.4,38.0,38.0,35.3333333333,35.3333333333,36.4,2,3,39,39,39,37,37,39,34,37,37,34,34,34,32.0156211872,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,60,1.0,0,GIVE,0.0,0.0,AWAY,-48,48,39,-39,AWAYZONE,1,1,20,0,L,2022,L,Juraj Slafkovsky,8483515.0,36,36,34.2,33.0,33.0,35.0,35.0,34.2,2,3,38,33,33,38,38,38,31,33,33,31,31,31,-9.92624550665,9.92624550665,0.0,0.0,0,40.6078810085,0,1,0,0,0,0,0,0,SNAP,1.0,-49,0.0392911,7,-7,
564,42.0,-47.0,47.0,4.0,4.0,0.0,0,0,0,5,TOR,0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,28.4253408071,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,63,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,0,1,22,0,R,2022,R,Cole Caufield,8481540.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,-5.44033203101,5.44033203101,0.0,0.0,0,42.1900462195,0,0,0,1,0,0,0,0,SNAP,0.0,-47,0.0259201,4,-4,
565,36.0,-61.0,61.0,-23.0,23.0,0.0,0,0,0,5,TOR,0,16.0,16.0,16.0,16.0,16.0,16.0,2,3,16,16,16,16,16,16,16,16,16,16,16,16,30.0166620396,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,64,1.0,0,MISS,-5.44033203101,42.1900462195,HOME,-47,47,4,-4,AWAYZONE,0,1,54,22,D,2022,L,Jordan Harris,8480887.0,16,16,16.0,16.0,16.0,16.0,16.0,16.0,2,3,16,16,16,16,16,16,16,16,16,16,16,16,39.1736579704,39.1736579704,44.6139900014,2.9742660001,1,34.8281495345,0,1,0,0,0,0,0,0,WRIST,1.0,-62,0.0223912,-22,22,
569,15.0,-74.0,74.0,-1.0,1.0,0.0,0,120,106,4,TOR,1,14.0,14.0,14.0,14.0,14.0,14.0,2,2,14,14,14,14,14,14,14,14,14,14,14,14,23.769728648,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,81,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,1,1,14,0,C,2022,R,Nick Suzuki,8480018.0,14,14,14.0,14.0,14.0,14.0,14.0,14.0,1,4,14,14,14,14,14,14,14,14,14,14,14,14,4.08561677997,4.08561677997,0.0,0.0,0,14.0356688476,0,0,0,1,0,0,0,0,SNAP,1.0,-75,0.142345,-1,1,
571,40.0,-58.0,58.0,26.0,26.0,0.0,0,0,0,5,TOR,1,21.8,24.5,20.0,20.0,20.0,20.0,2,3,28,28,20,20,20,20,20,21,20,20,20,20,78.1024967591,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,93,1.0,0,FAC,0.0,0.0,HOME,20,-20,22,-22,AWAYZONE,0,1,11,0,R,2022,R,Brendan Gallagher,8475848.0,30,20,25.0,20.0,20.0,28.3333333333,20.0,20.0,2,3,31,20,20,31,20,20,20,20,20,24,20,20,-39.986886245,39.986886245,0.0,0.0,0,40.4598566483,0,0,0,0,1,0,0,0,WRIST,0.0,-58,0.016643,26,-26,
572,53.0,-39.0,39.0,-16.0,16.0,15.6,0,0,0,5,TOR,1,16.2,24.0,24.0,11.0,11.0,16.2,2,3,28,28,28,18,18,28,3,20,20,3,3,3,40.8044115262,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,97,1.0,0,GIVE,0.0,0.0,AWAY,-4,4,7,-7,AWAYZONE,0,1,54,0,D,2022,L,Jordan Harris,8480887.0,14,14,31.8,13.0,13.0,44.3333333333,44.3333333333,31.8,2,3,59,14,14,59,59,59,12,12,12,22,22,12,18.1037630345,18.1037630345,0.0,0.0,0,54.7083174664,0,0,0,0,1,0,0,0,SLAP,1.0,-37,0.0423912,-17,17,
574,12.0,-82.0,82.0,10.0,10.0,-12.4,0,0,0,5,TOR,1,44.4,45.0,45.0,44.0,44.0,44.4,2,3,47,47,47,45,45,47,43,43,43,43,43,43,156.012819986,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,0,1,102,1.0,0,BLOCK,0.0,0.0,AWAY,73,-73,6,-6,AWAYZONE,0,1,22,0,R,2022,R,Cole Caufield,8481540.0,43,43,32.0,31.0,31.0,32.6666666667,32.6666666667,32.0,2,3,59,59,59,46,46,59,3,3,3,9,9,3,-53.1301023542,53.1301023542,53.1301023542,13.2825255885,0,10.0,0,0,0,0,1,0,0,1,SNAP,0.0,-83,0.156294,8,-8,
575,9.21954445729,82.0,82.0,-6.0,6.0,0.0,0,0,0,5,TOR,1,33.0,33.0,33.0,33.0,33.0,33.0,2,3,33,33,33,33,33,33,33,33,33,33,33,33,173.666346769,GOAL,20007,1,8476899,Matt Murray,0,0,0,5,MTL,0,1,110,1.0,0,HIT,0.0,0.0,HOME,-90,-90,-30,-30,AWAYZONE,0,2,22,0,R,2022,R,Cole Caufield,8481540.0,33,33,33.0,33.0,33.0,33.0,33.0,33.0,2,3,33,33,33,33,33,33,33,33,33,33,33,33,-40.601294645,40.601294645,0.0,0.0,0,9.21954445729,0,0,0,0,0,0,0,0,WRIST,1.0,82,0.175523,-6,-6,
584,15.0,75.0,75.0,4.0,4.0,6.6,0,0,0,5,TOR,1,30.8,31.5,31.5,30.3333333333,30.3333333333,30.8,2,3,32,32,32,32,32,32,29,31,31,29,29,29,152.800523559,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,1,1,147,1.0,0,TAKE,0.0,0.0,HOME,-72,-72,42,42,AWAYZONE,1,2,26,0,D,2022,R,Johnathan Kovacevic,8480192.0,42,42,37.4,41.0,41.0,35.0,35.0,37.4,2,3,52,42,42,52,52,52,6,40,40,6,6,6,17.1027289691,17.1027289691,0.0,0.0,0,13.6014705087,0,0,0,0,1,0,0,0,BACK,0.0,76,0.124307,4,4,
589,49.0,47.0,47.0,-25.0,25.0,0.0,0,0,0,5,TOR,2,30.0,30.0,30.0,30.0,30.0,30.0,2,3,30,30,30,30,30,30,30,30,30,30,30,30,141.014183684,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,1,1,158,1.0,0,TAKE,0.0,0.0,HOME,-94,-94,-27,-27,AWAYZONE,1,2,63,0,R,2022,L,Evgenii Dadonov,8474149.0,30,30,32.6,36.5,30.0,30.0,30.0,30.0,2,3,43,43,30,30,30,30,30,30,30,30,30,30,-30.7627195342,30.7627195342,0.0,0.0,0,48.8773976394,0,0,0,0,1,0,0,0,SLAP,1.0,47,0.0207374,-25,-25,
590,31.0,58.0,58.0,3.0,3.0,0.4,0,0,0,5,TOR,2,22.0,25.0,25.0,20.0,20.0,22.0,2,3,33,33,33,27,27,33,16,17,17,16,16,16,149.18780111,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,1,1,161,1.0,0,HIT,0.0,0.0,AWAY,-85,-85,-36,-36,AWAYZONE,0,2,72,0,D,2022,L,Arber Xhekaj,8482964.0,25,25,22.4,26.0,26.0,20.0,20.0,22.4,2,3,27,27,27,24,24,27,17,25,25,17,17,17,5.7105931375,5.7105931375,0.0,0.0,0,30.1496268634,1,0,0,0,0,0,0,0,SNAP,1.0,59,0.0946067,3,3,
591,19.0,83.0,83.0,18.0,18.0,0.4,0,0,0,5,TOR,2,23.0,26.0,26.0,21.0,21.0,23.0,2,3,34,34,34,28,28,34,17,18,18,17,17,17,27.7848879789,MISS,20007,0,8476899,Matt Murray,0,0,0,5,MTL,1,1,162,1.0,0,SHOT,5.7105931375,30.1496268634,HOME,59,59,3,3,AWAYZONE,0,2,91,72,C,2022,L,Sean Monahan,8477497.0,18,18,23.4,27.0,27.0,21.0,21.0,23.4,2,3,28,28,28,25,25,28,18,26,26,18,18,18,70.5599651718,70.5599651718,64.8493720343,64.8493720343,0,18.0277563773,0,0,0,0,1,0,1,0,WRIST,0.0,83,0.185747,17,17,
592,35.0,66.0,66.0,-27.0,27.0,0.0,0,120,91,4,TOR,2,29.0,29.0,29.0,29.0,29.0,29.0,2,2,29,29,29,29,29,29,29,29,29,29,29,29,48.0416485979,SHOT,20007,0,8476899,Matt Murray,0,0,0,5,MTL,1,1,168,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,0,2,14,0,C,2022,R,Nick Suzuki,8480018.0,29,29,42.4,29.0,29.0,45.75,29.0,29.0,1,4,96,29,29,96,29,29,29,29,29,29,29,29,-49.7636416907,49.7636416907,0.0,0.0,0,34.0587727319,0,1,0,0,0,0,0,0,SNAP,1.0,67,0.042822,-26,-26,
