undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
2,59.0,-31.0,31.0,8.0,8.0,0.0,0,0,0,5,SJS,0,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,22.5610283454,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,0,1,15,1.0,0,BLOCK,0.0,0.0,HOME,-55,55,3,-3,AWAYZONE,1,1,14,0,D,2022,L,Mattias Ekholm,8475218.0,35,35,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,-8.13010235416,8.13010235416,0.0,0.0,0,56.5685424949,1,0,0,0,0,0,0,0,SLAP,1.0,-33,0.04607,8,-8,
3,14.0,-76.0,76.0,-4.0,4.0,0.0,0,0,0,5,SJS,0,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,43.0116263352,GOAL,20001,1,8473503,James Reimer,0,0,0,5,NSH,0,1,16,1.0,0,SHOT,-8.13010235416,56.5685424949,HOME,-33,33,8,-8,AWAYZONE,1,1,44,14,L,2022,R,Kiefer Sherwood,8480748.0,37,37,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,18.4349488229,18.4349488229,26.5650511771,13.2825255885,1,15.8113883008,0,0,0,0,0,0,1,0,WRIST,1.0,-74,0.2968,-5,5,
4,14.0,-82.0,82.0,12.0,12.0,0.0,0,0,0,5,SJS,0,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,82.3771813065,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,18,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,1,10,0,C,2022,R,Colton Sissons,8476925.0,11,11,11.0,11.0,11.0,11.0,11.0,11.0,2,3,11,11,11,11,11,11,11,11,11,11,11,11,-61.9275130641,61.9275130641,0.0,0.0,0,17.0,0,0,0,1,0,0,0,0,WRIST,1.0,-81,0.0574348,15,-15,
5,20.0,-71.0,71.0,8.0,8.0,0.0,0,0,0,5,SJS,0,36.0,36.0,36.0,36.0,36.0,36.0,2,3,36,36,36,36,36,36,36,36,36,36,36,36,13.9283882772,MISS,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,20,1.0,0,BLOCK,0.0,0.0,HOME,-73,73,-4,4,AWAYZONE,1,1,13,0,C,2022,L,Yakov Trenin,8478508.0,36,36,36.0,36.0,36.0,36.0,36.0,36.0,2,3,36,36,36,36,36,36,36,36,36,36,36,36,-23.1985905136,23.1985905136,0.0,0.0,0,22.8473193176,0,0,0,0,1,0,0,0,TIP,0.0,-68,0.0604612,9,-9,
8,55.0,-39.0,39.0,23.0,23.0,3.2,0,0,0,5,SJS,0,19.2,23.5,23.5,16.3333333333,16.3333333333,19.2,2,3,27,27,27,20,20,27,9,20,20,9,9,9,65.7951365984,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,34,1.0,0,HIT,0.0,0.0,HOME,-67,67,-38,38,AWAYZONE,0,1,57,0,D,2022,R,Dante Fabbro,8479371.0,25,25,22.4,25.0,25.0,20.6666666667,20.6666666667,22.4,2,3,25,25,25,25,25,25,12,25,25,12,12,12,-24.1791071467,24.1791071467,0.0,0.0,0,53.712196008,0,1,0,0,0,0,0,0,SNAP,1.0,-40,0.0251599,22,-22,
11,50.0,-41.0,41.0,13.0,13.0,-27.0,0,0,0,5,SJS,0,46.2,34.5,34.5,54.0,54.0,46.2,2,3,54,54,54,54,54,54,15,15,15,54,54,15,51.4781507049,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,48,1.0,0,GIVE,0.0,0.0,AWAY,7,-7,-8,8,AWAYZONE,1,1,95,0,C,2022,L,Matt Duchene,8475168.0,31,31,19.2,22.5,22.5,17.0,17.0,19.2,2,3,44,44,44,31,31,44,1,1,1,1,1,1,-14.8586144479,14.8586144479,0.0,0.0,0,50.6951674225,0,1,0,0,0,0,0,0,WRIST,1.0,-40,0.0343589,13,-13,
12,16.0,-73.0,73.0,-1.0,1.0,0.0,0,0,0,5,SJS,0,6.0,6.0,6.0,6.0,6.0,6.0,2,3,6,6,6,6,6,6,6,6,6,6,6,6,23.0217288664,MISS,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,51,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,0,1,28,0,R,2022,L,Eeli Tolvanen,8480009.0,6,6,6.8,7.0,6.0,6.66666666667,6.0,6.0,2,3,8,8,6,8,6,6,6,6,6,6,6,6,3.01278750418,3.01278750418,0.0,0.0,0,19.0262975904,0,0,0,0,1,0,0,0,TIP,0.0,-70,0.0878149,-1,1,
13,25.0,-73.0,73.0,19.0,19.0,-27.2,0,0,0,5,SJS,0,37.0,37.0,37.0,37.0,37.0,37.0,2,3,37,37,37,37,37,37,37,37,37,37,37,37,22.0227155455,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,52,1.0,0,MISS,3.01278750418,19.0262975904,HOME,-70,70,-1,1,AWAYZONE,1,1,28,28,R,2022,L,Eeli Tolvanen,8480009.0,37,37,9.8,3.0,3.0,14.3333333333,14.3333333333,9.8,2,3,37,3,3,37,37,37,3,3,3,3,3,3,-49.398705355,49.398705355,52.4114928592,1.69069331804,1,27.6586333719,0,0,0,0,1,0,0,0,WRIST,1.0,-71,0.0397868,21,-21,
25,38.0,-53.0,53.0,-12.0,12.0,13.6,0,0,0,5,SJS,1,24.8,14.0,14.0,32.0,32.0,24.8,2,3,41,14,14,41,41,41,14,14,14,14,14,14,42.4264068712,MISS,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,82,1.0,0,HIT,0.0,0.0,AWAY,-92,92,-19,19,AWAYZONE,1,1,92,0,C,2022,R,Ryan Johansen,8475793.0,51,51,38.4,19.5,19.5,51.0,51.0,38.4,2,3,51,36,36,51,51,51,3,3,3,51,51,3,18.4349488229,18.4349488229,0.0,0.0,0,41.1096095822,0,0,0,0,1,0,0,0,BACK,0.0,-50,0.0182695,-13,13,
27,19.0,-74.0,74.0,12.0,12.0,-2.4,0,0,0,5,SJS,1,12.4,11.0,11.0,13.3333333333,13.3333333333,12.4,2,3,18,11,11,18,18,18,11,11,11,11,11,11,10.0498756211,SHOT,20001,0,8473503,James Reimer,0,0,0,5,NSH,1,1,91,1.0,0,BLOCK,0.0,0.0,HOME,-82,82,13,-13,AWAYZONE,1,1,95,0,C,2022,L,Matt Duchene,8475168.0,10,10,10.0,6.0,6.0,12.6666666667,12.6666666667,10.0,2,3,18,6,6,18,18,18,6,6,6,10,10,6,-39.4724598483,39.4724598483,0.0,0.0,0,22.0227155455,0,1,0,0,0,0,0,0,WRIST,1.0,-72,0.169925,14,-14,
