undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1146,17.0,72.0,72.0,1.0,1.0,0.0,0,0,0,5,FLA,0,20.0,13.0,9.0,21.75,9.0,9.0,1,4,23,13,9,23,9,9,13,13,9,20,9,9,96.3171843442,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,44,4,NYI,0,0,14,1.0,0,FAC,0.0,0.0,HOME,-20,-20,22,22,AWAYZONE,0,1,53,0,C,2022,L,Casey Cizikas,8475231.0,25,9,24.0,23.0,9.0,25.0,9.0,9.0,2,2,25,24,9,25,9,9,22,22,9,25,9,9,3.81407483429,3.81407483429,0.0,0.0,0,15.0332963784,1,0,0,0,0,0,0,0,WRIST,1.0,74,0.184924,1,1,
1147,25.0,-90.0,90.0,-21.0,21.0,0.0,0,0,0,5,FLA,0,22.0,15.0,11.0,23.75,11.0,11.0,1,4,25,15,11,25,11,11,15,15,11,22,11,11,165.469030335,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,42,4,NYI,0,0,15,1.0,0,SHOT,3.81407483429,15.0332963784,HOME,74,-74,1,-1,HOMEZONE,1,1,6,53,D,2022,R,Ryan Pulock,8477506.0,26,11,26.0,25.0,11.0,27.0,11.0,11.0,2,2,27,26,11,27,11,11,24,24,11,27,11,11,87.2736890061,87.2736890061,83.4596141718,41.7298070859,0,21.0237960416,0,0,0,1,0,0,1,1,WRIST,1.0,-90,0.01,-21,21,
1148,35.0,67.0,67.0,27.0,27.0,-5.6,0,0,0,5,FLA,0,23.2,19.0,19.0,26.0,26.0,23.2,2,3,26,26,26,26,26,26,12,12,12,26,26,12,19.3132079158,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,20,1.0,0,GIVE,0.0,0.0,AWAY,62,62,6,6,AWAYZONE,1,1,44,0,C,2022,R,Jean-Gabriel Pageau,8476419.0,26,26,17.6,17.5,17.5,17.6666666667,17.6666666667,17.6,2,3,26,26,26,26,26,26,1,9,9,1,1,1,50.1944289077,50.1944289077,0.0,0.0,0,31.2409987036,0,1,0,0,0,0,0,0,WRIST,1.0,69,0.0344838,24,24,
1149,58.0,37.0,37.0,-26.0,26.0,14.2,0,0,0,5,FLA,0,17.4,20.5,20.5,15.3333333333,15.3333333333,17.4,2,3,21,21,21,17,17,21,13,20,20,13,13,13,75.9605160593,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,26,1.0,0,GIVE,0.0,0.0,HOME,-31,-31,3,3,AWAYZONE,0,1,24,0,D,2022,R,Scott Mayfield,8476429.0,36,36,32.6,32.0,32.0,33.0,31.3333333333,31.6,2,3,56,36,36,56,51,51,16,28,28,16,16,16,-26.0954241574,26.0954241574,0.0,0.0,0,54.5618914628,1,0,0,0,0,0,0,0,WRIST,1.0,40,0.00976447,-24,-24,
1150,36.0,53.0,53.0,1.0,1.0,14.2,0,0,0,5,FLA,0,20.4,23.5,23.5,18.3333333333,18.3333333333,20.4,2,3,24,24,24,20,20,24,16,23,23,16,16,16,30.2324329157,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,27,1.0,0,SHOT,-26.0954241574,54.5618914628,HOME,40,40,-24,-24,AWAYZONE,0,1,41,24,R,2022,L,Nikita Soshnikov,8478373.0,19,19,35.6,35.0,35.0,36.0,34.3333333333,34.6,2,3,59,39,39,59,54,54,19,31,31,19,19,19,1.78991060825,1.78991060825,27.8853347656,9.29511158854,1,32.0156211872,0,0,0,1,0,0,1,0,WRIST,0.0,57,0.0785575,1,1,
1153,37.0,54.0,54.0,-13.0,13.0,0.0,0,0,0,5,FLA,0,31.4,48.0,16.0,20.3333333333,16.0,16.0,2,3,51,51,16,29,16,16,16,45,16,16,16,16,77.6466354712,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,40,1.0,0,FAC,0.0,0.0,AWAY,-20,-20,-22,-22,AWAYZONE,1,1,12,0,R,2022,L,Josh Bailey,8474573.0,16,16,16.0,16.0,16.0,16.0,16.0,16.0,2,3,16,16,16,16,16,16,16,16,16,16,16,16,-20.5560452196,20.5560452196,0.0,0.0,0,34.1760149813,0,0,0,1,0,0,0,0,WRIST,1.0,57,0.0348436,-12,-12,
1154,35.0,86.0,86.0,35.0,35.0,5.0,0,0,0,5,FLA,0,35.8,60.0,28.0,19.6666666667,19.6666666667,23.0,2,3,63,63,28,28,28,28,3,57,28,3,3,3,58.6941223633,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,42,1.0,0,HIT,0.0,0.0,HOME,28,28,39,39,AWAYZONE,0,1,27,0,L,2022,L,Anders Lee,8475314.0,28,28,28.0,28.0,28.0,28.0,28.0,28.0,2,3,28,28,28,28,28,28,28,28,28,28,28,28,84.2894068625,84.2894068625,0.0,0.0,0,30.1496268634,0,1,0,0,0,0,0,0,WRIST,1.0,86,0.0101369,30,30,
1155,5.83095189485,86.0,86.0,5.0,5.0,0.0,0,0,0,5,FLA,0,44.6,44.0,18.0,45.0,18.0,18.0,2,3,47,44,18,47,18,18,44,44,18,44,18,18,36.6878726557,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,51,1.0,0,BLOCK,0.0,0.0,HOME,51,51,16,16,AWAYZONE,1,1,44,0,C,2022,R,Jean-Gabriel Pageau,8476419.0,18,18,28.4,44.0,18.0,18.0,18.0,18.0,2,3,44,44,18,18,18,18,18,44,18,18,18,18,59.0362434679,59.0362434679,0.0,0.0,0,5.83095189485,0,0,0,0,1,0,0,0,WRIST,1.0,86,0.247325,5,5,
1161,18.0,83.0,83.0,-17.0,17.0,0.0,0,0,0,5,FLA,0,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,85.32877592,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,84,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,1,44,0,C,2022,R,Jean-Gabriel Pageau,8476419.0,19,19,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,-71.5650511771,71.5650511771,0.0,0.0,0,15.8113883008,0,0,0,1,0,0,0,0,WRIST,0.0,84,0.0350979,-15,-15,
1162,45.0,70.0,70.0,41.0,41.0,0.0,0,0,0,5,FLA,0,29.2,19.0,19.0,36.0,19.0,19.0,2,3,37,19,19,37,19,19,19,19,19,35,19,19,94.5304183848,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,92,1.0,0,GIVE,0.0,0.0,AWAY,-22,-22,27,27,AWAYZONE,0,1,11,0,L,2022,L,Zach Parise,8470610.0,19,19,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,65.3231368297,65.3231368297,0.0,0.0,0,40.718546143,0,1,0,0,0,0,0,0,WRIST,1.0,72,0.0134751,37,37,
1163,20.0,76.0,76.0,15.0,15.0,0.0,0,0,0,5,FLA,0,7.0,7.0,7.0,7.0,7.0,7.0,2,3,7,7,7,7,7,7,7,7,7,7,7,7,42.5205832509,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,96,1.0,0,BLOCK,0.0,0.0,HOME,45,45,-14,-14,AWAYZONE,0,1,12,0,R,2022,L,Josh Bailey,8474573.0,7,7,7.0,7.0,7.0,7.0,7.0,7.0,2,3,7,7,7,7,7,7,7,7,7,7,7,7,49.398705355,49.398705355,0.0,0.0,0,18.4390889146,0,0,0,0,1,0,0,0,SLAP,1.0,77,0.148165,14,14,
1170,6.32455532034,87.0,87.0,-6.0,6.0,-3.0,0,0,0,5,FLA,0,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,25.3179778023,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,124,1.0,0,HIT,0.0,0.0,AWAY,91,91,-31,-31,AWAYZONE,1,1,11,0,L,2022,L,Zach Parise,8470610.0,23,23,25.8,30.0,15.5,23.0,23.0,20.0,2,3,52,52,23,23,23,23,8,8,8,23,23,8,-71.5650511771,71.5650511771,0.0,0.0,0,6.32455532034,0,1,0,0,0,0,0,0,TIP,1.0,87,0.11182,-6,-6,
1171,27.0,62.0,62.0,-1.0,1.0,0.0,0,0,0,5,FLA,0,24.2,38.0,15.0,15.0,15.0,15.0,2,3,38,38,15,15,15,15,15,38,15,15,15,15,21.2132034356,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,128,1.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,AWAYZONE,0,1,21,0,C,2022,R,Kyle Palmieri,8475151.0,38,15,30.4,19.0,15.0,38.0,15.0,15.0,2,3,38,23,15,38,15,15,15,15,15,38,15,15,-2.489552922,2.489552922,0.0,0.0,0,23.0217288664,0,0,0,0,1,0,0,0,WRAP,0.0,66,0.0493851,-1,-1,
1172,6.40312423743,85.0,85.0,5.0,5.0,8.2,0,0,0,5,FLA,0,15.8,3.5,3.5,24.0,24.0,15.8,2,3,24,4,4,24,24,24,3,3,3,24,24,3,19.9248588452,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,129,1.0,0,MISS,-2.489552922,23.0217288664,HOME,66,66,-1,-1,AWAYZONE,0,1,11,21,L,2022,L,Zach Parise,8470610.0,47,24,39.4,28.0,24.0,47.0,24.0,24.0,2,3,47,32,24,47,24,24,24,24,24,47,24,24,51.3401917459,51.3401917459,53.8297446679,5.98108274088,1,6.40312423743,0,0,0,0,1,0,0,0,WRIST,1.0,85,0.11967,5,5,
1173,14.0,76.0,76.0,-5.0,5.0,-19.0,0,0,0,5,FLA,0,58.0,69.5,69.5,50.3333333333,50.3333333333,58.0,2,3,70,70,70,51,51,70,49,69,69,49,49,49,55.6057550978,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,135,1.0,0,HIT,0.0,0.0,HOME,33,33,-39,-39,AWAYZONE,0,1,8,0,D,2022,R,Noah Dobson,8480865.0,39,39,39.0,39.0,39.0,39.0,39.0,39.0,2,3,51,39,39,51,51,51,18,39,39,18,18,18,-22.619864948,22.619864948,0.0,0.0,0,13.0,0,1,0,0,0,0,0,0,TIP,0.0,77,0.0760022,-5,-5,
1174,14.0,76.0,76.0,4.0,4.0,1.25,0,120,51,4,FLA,0,26.0,21.0,21.0,31.0,31.0,26.0,2,2,32,26,26,32,32,32,16,16,16,30,30,16,47.3814309619,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,51,4,NYI,0,0,141,1.0,0,TAKE,0.0,0.0,HOME,44,44,38,38,AWAYZONE,1,1,13,0,C,2022,R,Mathew Barzal,8478445.0,31,31,27.25,26.5,26.5,28.0,28.0,27.25,2,2,31,28,28,31,31,31,25,25,25,25,25,25,18.4349488229,18.4349488229,0.0,0.0,0,12.6491106407,0,1,0,0,0,0,0,0,WRIST,1.0,77,0.267805,4,4,
1175,45.0,44.0,44.0,-7.0,7.0,0.0,0,120,46,4,FLA,0,15.5,26.0,5.0,5.0,5.0,5.0,2,2,31,31,5,5,5,5,5,21,5,5,5,5,35.0,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,46,4,NYI,0,0,144,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,0,1,8,0,D,2022,R,Noah Dobson,8480865.0,33,5,18.25,31.5,5.0,5.0,5.0,5.0,2,2,33,33,5,5,5,5,5,30,5,5,5,5,-8.32565033043,8.32565033043,0.0,0.0,0,41.4366987102,0,1,0,0,0,0,0,0,SLAP,1.0,48,0.0405433,-6,-6,
1176,6.32455532034,87.0,87.0,6.0,6.0,0.0,0,120,39,4,FLA,0,22.5,33.0,7.0,12.0,7.0,7.0,2,2,38,38,7,12,7,7,12,28,7,12,7,7,33.2866339542,MISS,20014,0,8475683,Sergei Bobrovsky,0,120,39,4,NYI,0,0,147,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,1,1,8,0,D,2022,R,Noah Dobson,8480865.0,40,7,25.25,38.5,7.0,12.0,7.0,7.0,2,2,40,40,7,12,7,7,12,37,7,12,7,7,71.5650511771,71.5650511771,0.0,0.0,0,6.32455532034,0,0,0,1,0,0,0,0,WRAP,0.0,87,0.0585976,6,6,
1177,32.0,67.0,67.0,-23.0,23.0,0.0,0,120,33,4,FLA,0,28.5,39.0,13.0,18.0,13.0,13.0,2,2,44,44,13,18,13,13,18,34,13,18,13,13,31.064449134,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,33,4,NYI,0,0,148,1.0,0,MISS,71.5650511771,6.32455532034,HOME,87,87,6,6,AWAYZONE,1,1,28,8,D,2022,L,Alexander Romanov,8481014.0,43,13,31.25,44.5,13.0,18.0,13.0,13.0,2,2,46,46,13,18,13,13,18,43,13,18,13,13,-46.4688007144,46.4688007144,118.033851891,19.6723086486,1,27.5862284483,0,1,0,0,0,0,0,0,WRIST,1.0,70,0.0336958,-20,-20,
1178,7.81024967591,84.0,84.0,6.0,6.0,0.0,0,120,11,4,FLA,0,22.0,22.0,22.0,22.0,22.0,22.0,2,2,22,22,22,22,22,22,22,22,22,22,22,22,131.320219311,SHOT,20014,0,8475683,Sergei Bobrovsky,0,120,11,4,NYI,0,0,152,1.0,0,TAKE,0.0,0.0,HOME,-42,-42,-31,-31,AWAYZONE,1,1,6,0,D,2022,R,Ryan Pulock,8477506.0,22,22,22.0,22.0,22.0,22.0,22.0,22.0,2,2,22,22,22,22,22,22,22,22,22,22,22,22,50.1944289077,50.1944289077,0.0,0.0,0,7.81024967591,0,0,0,0,1,0,0,0,BACK,1.0,84,0.143039,6,6,
1180,19.0,72.0,72.0,8.0,8.0,11.4,0,0,0,5,FLA,0,22.2,15.5,15.5,26.6666666667,26.6666666667,22.2,2,3,33,16,16,33,33,33,15,15,15,15,15,15,104.0,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,157,1.0,0,MISS,0.0,0.0,AWAY,-30,-30,7,7,AWAYZONE,0,1,12,6,R,2022,L,Josh Bailey,8474573.0,34,34,33.6,31.0,31.0,35.3333333333,35.3333333333,33.6,2,3,37,37,37,37,37,37,25,25,25,34,34,25,25.0168934781,25.0168934781,0.0,0.0,0,16.5529453572,1,0,0,0,0,0,0,0,WRIST,0.0,74,0.09046,7,7,
1181,58.0,37.0,37.0,-25.0,25.0,11.4,0,0,0,5,FLA,0,23.2,16.5,16.5,27.6666666667,27.6666666667,23.2,2,3,34,17,17,34,34,34,16,16,16,16,16,16,46.7546789102,SHOT,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,158,1.0,0,MISS,25.0168934781,16.5529453572,HOME,74,74,7,7,AWAYZONE,0,1,8,12,D,2022,R,Noah Dobson,8480865.0,38,38,34.6,32.0,32.0,36.3333333333,36.3333333333,34.6,2,3,38,38,38,38,38,38,26,26,26,35,35,26,-25.6410058243,25.6410058243,50.6578993024,50.6578993024,1,55.4616984954,0,0,0,1,0,0,1,0,WRIST,1.0,39,0.0350354,-24,-24,
1182,56.0,-40.0,40.0,-26.0,26.0,0.0,0,0,0,5,FLA,0,27.0,27.0,21.0,27.0,21.0,21.0,2,3,27,27,21,27,21,21,27,27,21,27,21,21,48.8773976394,MISS,20014,0,8475683,Sergei Bobrovsky,0,0,0,5,NYI,0,0,166,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,0,2,3,0,D,2022,L,Adam Pelech,8476917.0,27,21,27.0,27.0,21.0,27.0,21.0,21.0,2,3,27,27,21,27,21,21,27,27,21,27,21,21,28.009176708,28.009176708,0.0,0.0,0,53.2353266168,0,0,0,1,0,0,0,0,WRIST,0.0,-42,0.00950335,-25,25,
