undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
170,39.0,-51.0,51.0,7.0,7.0,-3.2,0,0,0,5,TBL,0,12.6,12.0,12.0,13.0,13.0,12.6,2,3,15,13,13,15,15,15,10,11,11,10,10,10,46.0977222865,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,21,1.0,0,GIVE,0.0,0.0,AWAY,-51,51,-40,40,AWAYZONE,0,1,93,0,C,2022,R,Mika Zibanejad,8476459.0,13,13,9.4,4.0,4.0,13.0,13.0,9.4,2,3,14,4,4,14,14,14,4,4,4,12,12,4,-9.7275785514,9.7275785514,0.0,0.0,0,35.5105618091,0,0,0,1,0,0,0,0,SNAP,1.0,-54,0.0355907,6,-6,
171,52.0,-41.0,41.0,-19.0,19.0,-1.8,0,0,0,5,TBL,0,15.2,17.5,17.5,13.6666666667,13.6666666667,15.2,2,3,18,18,18,17,17,18,8,17,17,8,8,8,56.0802995712,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,35,1.0,0,HIT,0.0,0.0,AWAY,-45,45,37,-37,AWAYZONE,0,1,55,0,D,2022,L,Ryan Lindgren,8479324.0,10,10,13.4,10.0,10.0,15.6666666667,15.6666666667,13.4,2,3,17,10,10,17,17,17,10,10,10,15,15,10,22.0112831979,22.0112831979,0.0,0.0,0,50.6951674225,0,0,0,0,0,1,0,0,WRIST,1.0,-42,0.0119811,-19,19,
173,13.0,-80.0,80.0,9.0,9.0,3.4,0,0,0,5,TBL,0,45.8,43.0,43.0,47.6666666667,47.6666666667,45.8,2,3,49,48,48,49,49,49,38,38,38,46,46,38,16.0312195419,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,43,1.0,0,TAKE,0.0,0.0,HOME,-82,82,24,-24,AWAYZONE,1,1,21,0,C,2022,L,Barclay Goodrow,8476624.0,50,50,49.2,49.5,49.5,49.0,49.0,49.2,2,3,50,50,50,50,50,50,48,49,49,48,48,48,-45.0,45.0,0.0,0.0,0,11.313708499,0,0,0,1,0,0,0,0,WRIST,1.0,-81,0.115894,8,-8,
177,41.0,-51.0,51.0,15.0,15.0,-22.0,0,0,0,5,TBL,0,35.8,48.0,48.0,27.6666666667,27.6666666667,35.8,2,3,63,63,63,57,57,63,10,33,33,10,10,10,19.1049731745,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,63,1.0,0,GIVE,0.0,0.0,AWAY,-40,40,28,-28,AWAYZONE,1,1,72,0,C,2022,L,Filip Chytil,8480078.0,12,12,13.8,23.0,23.0,7.66666666667,7.66666666667,13.8,2,3,24,24,24,12,12,24,2,22,22,2,2,2,-21.2505055071,21.2505055071,0.0,0.0,0,38.6264158317,0,0,0,1,0,0,0,0,SNAP,1.0,-53,0.0757956,14,-14,
178,8.0622577483,-85.0,85.0,7.0,7.0,0.0,0,0,0,5,TBL,0,20.0,30.5,13.0,13.0,13.0,13.0,2,3,48,48,13,13,13,13,13,13,13,13,13,13,14.3178210633,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,67,1.0,0,HIT,0.0,0.0,HOME,-98,98,13,-13,AWAYZONE,1,1,72,0,C,2022,L,Filip Chytil,8480078.0,27,13,28.8,38.0,13.0,22.6666666667,13.0,13.0,2,3,39,39,13,27,13,13,17,37,13,17,13,13,-60.2551187031,60.2551187031,0.0,0.0,0,8.0622577483,0,0,0,1,0,0,0,0,SNAP,1.0,-85,0.10857,7,-7,
179,15.0,-81.0,81.0,13.0,13.0,-15.6,0,0,0,5,TBL,0,24.2,28.0,28.0,21.6666666667,21.6666666667,24.2,2,3,28,28,28,27,27,28,12,28,28,12,12,12,21.0950231097,MISS,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,69,1.0,0,TAKE,0.0,0.0,AWAY,-94,94,28,-28,AWAYZONE,1,1,24,0,R,2022,L,Kaapo Kakko,8481554.0,25,25,8.6,4.5,4.5,11.3333333333,11.3333333333,8.6,2,3,25,5,5,25,25,25,4,4,4,4,4,4,-59.0362434679,59.0362434679,0.0,0.0,0,11.6619037897,0,0,0,0,1,0,0,0,BACK,0.0,-83,0.0339085,10,-10,
181,44.0,-57.0,57.0,31.0,31.0,-0.2,0,0,0,5,TBL,0,34.8,54.0,54.0,22.0,22.0,34.8,2,3,54,54,54,52,52,54,7,54,54,7,7,7,132.442440328,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,74,1.0,0,BLOCK,0.0,0.0,AWAY,70,-70,-1,1,AWAYZONE,0,1,8,0,D,2022,R,Jacob Trouba,8476885.0,30,30,34.6,30.5,30.5,37.3333333333,37.3333333333,34.6,2,3,51,31,31,51,51,51,30,30,30,30,30,30,-44.0289780689,44.0289780689,44.0289780689,4.40289780689,0,41.7252920901,1,0,0,0,0,0,0,0,SLAP,1.0,-59,0.0195655,29,-29,
182,5.65685424949,-85.0,85.0,4.0,4.0,-0.2,0,0,0,5,TBL,0,37.8,57.0,57.0,25.0,25.0,37.8,2,3,57,57,57,55,55,57,10,57,57,10,10,10,36.0693775937,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,75,1.0,0,SHOT,-44.0289780689,41.7252920901,HOME,-59,59,29,-29,AWAYZONE,0,1,8,8,D,2022,R,Jacob Trouba,8476885.0,33,33,37.6,33.5,33.5,40.3333333333,40.3333333333,37.6,2,3,54,34,34,54,54,54,33,33,33,33,33,33,-45.0,45.0,0.971021931079,0.323673977026,0,5.65685424949,1,0,0,0,0,0,1,0,WRIST,1.0,-85,0.228616,4,-4,
183,4.24264068712,-86.0,86.0,3.0,3.0,-0.2,0,0,0,5,TBL,0,38.8,58.0,58.0,26.0,26.0,38.8,2,3,58,58,58,56,56,58,11,58,58,11,11,11,1.41421356237,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,76,1.0,0,SHOT,-45.0,5.65685424949,HOME,-85,85,4,-4,AWAYZONE,0,1,8,8,D,2022,R,Jacob Trouba,8476885.0,34,34,38.6,34.5,34.5,41.3333333333,41.3333333333,38.6,2,3,55,35,35,55,55,55,34,34,34,34,34,34,-45.0,45.0,0.0,0.0,0,4.24264068712,0,0,0,0,1,0,1,0,WRIST,1.0,-86,0.25595,3,-3,
185,40.0,-57.0,57.0,-24.0,24.0,0.0,0,120,91,4,TBL,0,45.75,51.5,29.0,40.0,29.0,29.0,2,2,74,74,29,51,29,29,29,29,29,29,29,29,35.8468966579,SHOT,20003,0,8476883,Andrei Vasilevskiy,0,0,0,5,NYR,0,1,93,1.0,0,BLOCK,0.0,0.0,HOME,-73,73,10,-10,AWAYZONE,1,1,93,0,C,2022,R,Mika Zibanejad,8476459.0,77,29,53.6,62.0,29.0,51.5,29.0,29.0,1,4,77,62,29,77,29,29,29,62,29,29,29,29,37.4761795614,37.4761795614,0.0,0.0,0,37.8021163429,0,0,0,1,0,0,0,0,SLAP,1.0,-59,0.0611194,-23,23,
