undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1058,12.0,-80.0,80.0,7.0,7.0,11.0,0,0,0,5,OTT,0,20.4,15.0,15.0,24.0,24.0,20.4,2,3,25,16,16,25,25,25,14,14,14,22,22,14,166.904164118,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,7,0.0,0,HIT,0.0,0.0,AWAY,84,-84,38,-38,HOMEZONE,1,1,21,0,R,2022,L,Mathieu Joseph,8478472.0,33,33,31.4,34.0,34.0,29.6666666667,29.6666666667,31.4,2,3,34,34,34,33,33,34,24,34,34,24,24,24,-37.8749836511,37.8749836511,0.0,0.0,0,11.401754251,0,0,0,0,1,0,0,0,TIP,1.0,-80,0.0900086,7,-7,
1059,53.0,-36.0,36.0,5.0,5.0,-6.6,0,0,0,5,OTT,0,33.0,47.0,47.0,23.6666666667,23.6666666667,33.0,2,3,47,47,47,25,25,47,23,47,47,23,23,23,109.004587059,MISS,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,12,0.0,0,BLOCK,0.0,0.0,HOME,74,-74,6,-6,HOMEZONE,0,1,23,0,D,2022,R,Travis Hamonic,8474612.0,11,11,26.4,17.0,17.0,32.6666666667,32.6666666667,26.4,2,3,47,23,23,47,47,47,11,11,11,25,25,11,-5.29008120537,5.29008120537,5.29008120537,0.146946700149,0,54.2309874518,0,0,0,0,1,0,0,0,SLAP,0.0,-35,0.0187547,5,-5,
1060,13.0,-76.0,76.0,1.0,1.0,-4.8,0,0,0,5,OTT,0,18.8,27.5,27.5,13.0,13.0,18.8,2,3,28,28,28,19,19,28,3,27,27,3,3,3,42.1900462195,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,13,0.0,0,MISS,-5.29008120537,54.2309874518,AWAY,-35,35,5,-5,HOMEZONE,1,1,14,23,L,2022,L,Tyler Motte,8477353.0,19,19,14.0,13.0,13.0,14.6666666667,14.6666666667,14.0,2,3,20,20,20,19,19,20,6,6,6,6,6,6,-4.76364169073,4.76364169073,0.526439514645,0.0112008407371,0,12.0415945788,0,0,0,1,0,0,0,0,TIP,1.0,-77,0.109919,1,-1,
1061,44.0,-62.0,62.0,-35.0,35.0,0.0,0,0,0,5,OTT,0,18.5,14.0,14.0,23.0,14.0,14.0,2,2,32,14,14,32,14,14,14,14,14,14,14,14,59.5399025864,SHOT,20013,0,8467950,Craig Anderson,0,120,106,4,BUF,0,1,17,0.0,0,FAC,0.0,0.0,AWAY,-69,69,22,-22,HOMEZONE,0,1,14,0,L,2022,L,Tyler Motte,8477353.0,34,14,19.4,14.0,14.0,20.75,14.0,14.0,1,4,34,14,14,34,14,14,14,14,14,14,14,14,52.8831393167,52.8831393167,0.0,0.0,0,46.4004310325,0,0,0,0,1,0,0,0,WRIST,1.0,-61,0.0033892,-37,37,
1062,48.0,-60.0,60.0,39.0,39.0,19.05,0,0,0,5,OTT,0,16.75,8.0,8.0,25.5,25.5,16.75,2,2,44,9,9,44,44,44,7,7,7,7,7,7,76.0065786626,SHOT,20013,0,8467950,Craig Anderson,0,120,76,4,BUF,0,1,18,0.0,0,SHOT,52.8831393167,46.4004310325,AWAY,-61,61,-37,37,HOMEZONE,0,1,57,14,C,2022,R,Shane Pinto,8481596.0,51,44,41.2,3.0,3.0,50.75,44.0,35.8,1,4,64,3,3,64,44,44,3,3,3,44,44,3,-53.365886124,53.365886124,106.249025441,3.54163418136,1,48.6004115209,0,0,0,0,1,0,0,0,SNAP,1.0,-60,0.00461581,39,-39,
1064,34.0,-58.0,58.0,-14.0,14.0,13.8,0,0,0,5,OTT,0,12.2,11.0,11.0,14.0,14.0,12.2,3,2,15,15,15,15,15,15,4,4,4,13,13,4,132.003787824,MISS,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,23,0.0,0,FAC,0.0,0.0,HOME,69,-69,22,-22,HOMEZONE,0,1,72,0,D,2022,L,Thomas Chabot,8478469.0,83,35,42.2,48.5,24.5,38.0,27.0,26.0,2,3,83,83,35,56,35,35,11,14,14,11,11,11,24.3045492659,24.3045492659,0.0,0.0,0,34.0147027034,0,0,0,0,1,0,0,0,WRIST,0.0,-58,0.0435936,-14,14,
1065,40.0,-54.0,54.0,19.0,19.0,-0.2,0,0,0,5,OTT,0,32.4,37.5,37.5,29.0,29.0,32.4,2,3,38,38,38,38,38,38,13,37,37,13,13,13,34.3656805549,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,24,0.0,0,MISS,24.3045492659,34.0147027034,AWAY,-58,58,-14,14,HOMEZONE,0,1,47,72,C,2022,R,Mark Kastelic,8480355.0,34,34,41.8,71.5,47.5,22.0,22.0,32.2,2,3,106,106,58,34,34,58,11,37,37,11,11,11,-29.0546040991,29.0546040991,53.359153365,2.31996318978,1,41.1825205639,0,0,0,0,1,0,0,0,SNAP,1.0,-53,0.0335634,20,-20,
1066,46.0,-56.0,56.0,-32.0,32.0,0.6,0,0,0,5,OTT,0,31.8,45.5,45.5,22.6666666667,22.6666666667,31.8,2,3,46,46,46,46,46,46,1,45,45,1,1,1,53.0094331228,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,25,0.0,0,SHOT,-29.0546040991,41.1825205639,AWAY,-53,53,20,-20,HOMEZONE,0,1,45,47,L,2022,L,Parker Kelly,8480448.0,19,19,42.0,79.5,55.5,17.0,17.0,32.4,2,3,114,114,66,29,29,66,3,45,45,3,3,3,43.3153156821,43.3153156821,72.3699197812,9.04623997265,1,48.1040538832,0,0,0,0,1,0,0,0,SNAP,1.0,-54,0.0155838,-33,33,
1071,49.0,-49.0,49.0,-28.0,28.0,0.2,0,0,0,5,OTT,0,35.0,34.5,34.5,35.3333333333,35.3333333333,35.0,2,3,41,35,35,41,41,41,31,34,34,31,31,31,121.061967603,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,35,0.0,0,SHOT,0.0,0.0,HOME,72,-72,-13,13,HOMEZONE,1,1,12,72,R,2022,R,Alex DeBrincat,8479337.0,32,32,35.2,40.0,40.0,32.0,32.0,35.2,2,3,48,48,48,34,34,48,30,32,32,30,30,30,35.2724214486,35.2724214486,0.0,0.0,0,50.219518118,0,0,0,0,1,0,0,0,WRIST,1.0,-48,0.00960254,-29,29,
1073,29.0,-77.0,77.0,-27.0,27.0,-9.0,0,0,0,5,OTT,0,35.4,38.5,38.5,33.3333333333,33.3333333333,35.4,2,3,39,39,39,38,38,39,25,38,38,25,25,25,162.996932486,SHOT,20013,0,8467950,Craig Anderson,0,0,0,5,BUF,0,1,37,0.0,0,SHOT,0.0,0.0,HOME,84,-84,-7,7,HOMEZONE,0,1,85,53,D,2022,L,Jake Sanderson,8482105.0,25,25,26.4,24.5,24.5,27.6666666667,27.6666666667,26.4,2,3,35,25,25,35,35,35,23,24,24,23,23,23,66.2505055071,66.2505055071,0.0,0.0,0,27.3130005675,0,0,0,0,1,0,0,0,WRIST,1.0,-78,0.0171397,-25,25,
