undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
968,67.0,-33.0,33.0,36.0,36.0,-8.8,0,0,0,5,NJD,0,40.0,36.0,36.0,42.6666666667,42.6666666667,40.0,2,3,45,36,36,45,45,45,36,36,36,38,38,36,56.8506816142,MISS,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,0,1,11,1.0,0,HIT,0.0,0.0,AWAY,-77,77,0,0,AWAYZONE,0,1,61,0,D,2022,R,Justin Braun,8474027.0,13,13,31.2,14.0,14.0,42.6666666667,42.6666666667,31.2,2,3,46,15,15,46,46,46,13,13,13,40,40,13,-32.7352262721,32.7352262721,0.0,0.0,0,66.5732679084,0,0,0,0,1,0,0,0,SLAP,0.0,-33,0.012401,36,-36,
969,8.24621125124,-81.0,81.0,2.0,2.0,0.4,0,0,0,5,NJD,0,40.6,56.0,33.0,30.3333333333,22.3333333333,26.6,2,3,57,57,33,57,33,33,16,55,33,16,16,16,25.495097568,SHOT,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,0,1,16,1.0,0,HIT,0.0,0.0,HOME,-98,98,-17,17,AWAYZONE,1,1,21,0,C,2022,L,Scott Laughton,8476872.0,33,33,33.6,49.5,33.0,23.0,23.0,27.0,2,3,53,53,33,33,33,33,3,46,33,3,3,3,-14.0362434679,14.0362434679,0.0,0.0,0,8.24621125124,0,1,0,0,0,0,0,0,BACK,1.0,-81,0.12716,2,-2,
973,26.0,-86.0,86.0,-26.0,26.0,-15.75,0,0,0,5,NJD,0,39.0,39.0,39.0,39.0,39.0,39.0,1,4,39,39,39,39,39,39,39,39,39,39,39,39,157.165517847,SHOT,20012,0,8478406,Mackenzie Blackwood,0,120,81,4,PHI,0,1,37,1.0,0,BLOCK,0.0,0.0,AWAY,69,-69,1,-1,AWAYZONE,0,1,13,0,C,2022,L,Kevin Hayes,8475763.0,24,24,23.25,23.0,23.0,23.5,23.5,23.25,2,2,24,24,24,24,24,24,22,22,22,23,23,22,83.1572265874,83.1572265874,83.1572265874,3.19835486874,0,25.179356624,0,0,0,0,1,0,0,0,WRIST,1.0,-86,0.0179035,-25,25,
975,16.0,-74.0,74.0,5.0,5.0,0.0,0,0,0,5,NJD,1,17.4,19.5,16.0,16.0,16.0,16.0,2,3,23,23,16,16,16,16,16,16,16,16,16,16,75.1664818919,SHOT,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,0,1,40,1.0,0,FAC,0.0,0.0,HOME,0,0,0,0,AWAYZONE,1,1,25,0,L,2022,L,James van Riemsdyk,8474037.0,16,16,16.0,16.0,16.0,16.0,16.0,16.0,2,3,16,16,16,16,16,16,16,16,16,16,16,16,-19.6538240581,19.6538240581,0.0,0.0,0,14.8660687473,0,1,0,0,0,0,0,0,WRIST,1.0,-75,0.107514,5,-5,
976,61.0,-39.0,39.0,-35.0,35.0,0.0,0,0,0,5,NJD,1,16.6,25.5,5.0,10.6666666667,5.0,5.0,2,3,29,29,5,22,5,5,5,22,5,5,5,5,34.9284983931,SHOT,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,0,1,43,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,0,1,9,0,D,2022,L,Ivan Provorov,8478500.0,5,5,15.2,5.0,5.0,22.0,5.0,5.0,2,3,22,5,5,22,5,5,5,5,5,22,5,5,34.6951535312,34.6951535312,0.0,0.0,0,63.2455532034,1,0,0,0,0,0,0,0,WRIST,1.0,-37,0.00798525,-36,36,
977,8.54400374532,-81.0,81.0,3.0,3.0,0.0,0,0,0,5,NJD,1,17.6,26.5,6.0,11.6666666667,6.0,6.0,2,3,30,30,6,23,6,6,6,23,6,6,6,6,58.7962583844,GOAL,20012,1,8478406,Mackenzie Blackwood,0,0,0,5,PHI,0,1,44,1.0,0,SHOT,34.6951535312,63.2455532034,HOME,-37,37,-36,36,AWAYZONE,0,1,57,9,R,2022,R,Wade Allison,8479322.0,23,6,16.2,6.0,6.0,23.0,6.0,6.0,2,3,23,6,6,23,6,6,6,6,6,23,6,6,-20.5560452196,20.5560452196,55.2511987508,55.2511987508,1,8.54400374532,0,0,0,0,0,0,1,0,WRIST,1.0,-81,0.458794,3,-3,
978,63.0,-36.0,36.0,-34.0,34.0,0.0,0,0,0,5,NJD,1,25.0,25.0,25.0,25.0,25.0,25.0,2,3,25,25,25,25,25,25,25,25,25,25,25,25,52.038447325,MISS,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,1,1,48,1.0,0,GIVE,0.0,0.0,AWAY,-87,87,-33,33,AWAYZONE,0,1,13,0,C,2022,L,Kevin Hayes,8475763.0,25,25,27.4,31.0,25.0,25.0,25.0,25.0,2,3,31,31,25,25,25,25,25,31,25,25,25,25,32.9492151166,32.9492151166,0.0,0.0,0,64.3506021728,0,0,0,0,1,0,0,0,WRIST,0.0,-35,0.0234295,-35,35,
981,9.8488578018,-80.0,80.0,4.0,4.0,0.0,0,120,101,4,NJD,1,30.5,42.0,19.0,19.0,19.0,19.0,2,2,42,42,19,19,19,19,19,42,19,19,19,19,28.231188427,MISS,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,1,1,56,1.0,0,FAC,0.0,0.0,HOME,-69,69,-22,22,AWAYZONE,1,1,25,0,L,2022,L,James van Riemsdyk,8474037.0,42,19,42.0,42.0,19.0,42.0,19.0,19.0,1,4,42,42,19,42,19,19,42,42,19,42,19,19,-23.9624889746,23.9624889746,0.0,0.0,0,9.8488578018,0,0,0,0,0,1,0,0,TIP,0.0,-80,0.143155,4,-4,
982,57.0,-34.0,34.0,15.0,15.0,0.0,0,120,85,4,NJD,1,37.0,58.0,16.0,16.0,16.0,16.0,2,2,58,58,16,16,16,16,16,58,16,16,16,16,36.6742416418,SHOT,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,1,1,59,1.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,AWAYZONE,0,1,77,0,D,2022,R,Tony DeAngelo,8477950.0,58,16,58.0,58.0,16.0,58.0,16.0,16.0,1,4,58,58,16,58,16,16,58,58,16,58,16,16,-14.9950791292,14.9950791292,0.0,0.0,0,57.9741321625,1,0,0,0,0,0,0,0,WRIST,1.0,-33,0.0258894,15,-15,
983,6.40312423743,-84.0,84.0,4.0,4.0,0.0,0,120,84,4,NJD,1,38.0,59.0,17.0,17.0,17.0,17.0,2,2,59,59,17,17,17,17,17,59,17,17,17,17,52.172789843,SHOT,20012,0,8478406,Mackenzie Blackwood,0,0,0,5,PHI,1,1,60,1.0,0,SHOT,-14.9950791292,57.9741321625,HOME,-33,33,15,-15,AWAYZONE,1,1,25,77,L,2022,L,James van Riemsdyk,8474037.0,59,17,59.0,59.0,17.0,59.0,17.0,17.0,1,4,59,59,17,59,17,17,59,59,17,59,17,17,-38.6598082541,38.6598082541,23.6647291249,23.6647291249,0,6.40312423743,0,0,0,0,1,0,1,0,WRIST,1.0,-84,0.273941,4,-4,
