undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
869,41.0,54.0,54.0,-22.0,22.0,0.0,0,0,0,5,ARI,0,39.0,28.5,5.0,46.0,5.0,5.0,2,3,46,46,5,46,5,5,11,11,5,46,5,5,46.4865571967,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,0,1,14,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,1,1,87,0,C,2022,L,Sidney Crosby,8471675.0,6,5,6.6,5.0,5.0,7.66666666667,5.0,5.0,2,3,12,5,5,12,5,5,5,5,5,5,5,5,-32.1522951413,32.1522951413,0.0,0.0,0,41.3400532172,0,0,0,0,1,0,0,0,WRIST,1.0,54,0.0287761,-22,-22,
870,9.8488578018,80.0,80.0,4.0,4.0,13.4,0,0,0,5,ARI,0,9.6,11.5,11.5,8.33333333333,8.33333333333,9.6,2,3,12,12,12,12,12,12,2,11,11,2,2,2,36.7695526217,GOAL,20011,1,8478872,Karel Vejmelka,0,0,0,5,PIT,0,1,15,1.0,0,SHOT,-32.1522951413,41.3400532172,HOME,54,54,-22,-22,AWAYZONE,0,1,87,87,C,2022,L,Sidney Crosby,8471675.0,24,23,24.6,23.0,23.0,25.6666666667,23.0,23.0,2,3,30,23,23,30,23,23,23,23,23,23,23,23,23.9624889746,23.9624889746,56.1147841159,3.11748800644,1,9.8488578018,0,0,0,0,0,0,0,0,WRIST,1.0,80,0.153097,4,4,
872,18.0,79.0,79.0,15.0,15.0,0.0,0,120,49,4,ARI,0,18.0,18.0,18.0,18.0,18.0,18.0,2,2,18,18,18,18,18,18,18,18,18,18,18,18,12.2065556157,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,1,1,27,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,0,1,87,0,C,2022,L,Sidney Crosby,8471675.0,71,18,71.0,71.0,18.0,71.0,18.0,18.0,1,4,71,71,18,71,18,18,71,71,18,71,18,18,56.309932474,56.309932474,0.0,0.0,0,18.0277563773,0,1,0,0,0,0,0,0,WRIST,1.0,79,0.0748251,15,15,
873,29.0,78.0,78.0,-27.0,27.0,0.0,0,120,23,4,ARI,0,25.0,25.0,25.0,25.0,25.0,25.0,2,2,25,25,25,25,25,25,25,25,25,25,25,25,82.3771813065,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,1,1,31,1.0,0,GIVE,0.0,0.0,HOME,33,33,42,42,AWAYZONE,0,1,67,0,R,2022,R,Rickard Rakell,8476483.0,25,25,25.0,25.0,25.0,25.0,25.0,25.0,1,4,25,25,25,25,25,25,25,25,25,25,25,25,-67.8336541779,67.8336541779,0.0,0.0,0,29.1547594742,0,0,0,0,1,0,0,0,WRIST,1.0,78,0.0356835,-27,-27,
875,44.0,49.0,49.0,18.0,18.0,39.8,0,0,0,5,ARI,0,14.2,16.5,16.5,12.6666666667,12.6666666667,14.2,2,3,27,27,27,26,26,27,6,6,6,6,6,6,107.0,GOAL,20011,1,8478872,Karel Vejmelka,0,0,0,5,PIT,1,1,33,1.0,0,SHOT,0.0,0.0,AWAY,-57,-57,18,18,AWAYZONE,0,1,16,17,L,2022,L,Jason Zucker,8475722.0,54,54,54.0,54.0,54.0,54.0,54.0,54.0,1,4,54,54,54,54,54,54,54,54,54,54,54,54,24.7751405688,24.7751405688,0.0,0.0,0,42.9534631898,0,0,0,0,0,0,0,0,SNAP,1.0,50,0.0299397,18,18,
876,9.8488578018,85.0,85.0,-9.0,9.0,0.0,0,0,0,5,ARI,0,15.0,15.0,15.0,15.0,15.0,15.0,2,3,15,15,15,15,15,15,15,15,15,15,15,15,81.0246875958,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,2,1,36,1.0,0,TAKE,0.0,0.0,AWAY,19,19,38,38,AWAYZONE,0,1,15,0,R,2022,R,Josh Archibald,8476326.0,15,15,15.0,15.0,15.0,15.0,15.0,15.0,2,3,15,15,15,15,15,15,15,15,15,15,15,15,-66.0375110254,66.0375110254,0.0,0.0,0,9.8488578018,0,0,0,1,0,0,0,0,WRIST,1.0,85,0.068586,-9,-9,
877,9.8488578018,85.0,85.0,-9.0,9.0,0.0,0,120,113,4,ARI,0,7.0,7.0,7.0,7.0,7.0,7.0,2,2,7,7,7,7,7,7,7,7,7,7,7,7,34.885527085,GOAL,20011,1,8478872,Karel Vejmelka,0,0,0,5,PIT,2,1,43,1.0,0,FAC,0.0,0.0,HOME,69,69,22,22,AWAYZONE,1,1,59,0,L,2022,L,Jake Guentzel,8477404.0,35,7,26.4,35.0,7.0,24.25,7.0,7.0,1,4,35,35,7,35,7,7,7,35,7,7,7,7,-66.0375110254,66.0375110254,0.0,0.0,0,9.8488578018,0,0,0,0,0,0,0,0,WRIST,1.0,85,0.0934661,-9,-9,
879,25.0,95.0,95.0,-24.0,24.0,0.0,0,120,89,5,ARI,0,25.4,27.5,24.0,24.0,24.0,24.0,2,3,31,31,24,24,24,24,24,24,24,24,24,24,156.923548265,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,3,1,47,1.0,0,HIT,0.0,0.0,AWAY,-61,-61,-41,-41,AWAYZONE,0,1,77,0,C,2022,R,Jeff Carter,8470604.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,-75.9637565321,75.9637565321,0.0,0.0,0,24.7386337537,0,0,0,1,0,0,0,0,WRIST,1.0,95,0.01,-24,-24,
880,31.0,58.0,58.0,-4.0,4.0,-3.4,0,0,0,5,ARI,0,27.8,14.0,14.0,37.0,37.0,27.8,2,3,40,15,15,40,40,40,13,13,13,32,32,13,125.195846576,MISS,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,3,1,55,1.0,0,TAKE,0.0,0.0,HOME,-67,-67,3,3,AWAYZONE,0,1,17,0,R,2022,R,Bryan Rust,8475810.0,38,38,24.4,4.5,4.5,37.6666666667,37.6666666667,24.4,2,3,39,5,5,39,39,39,4,4,4,36,36,4,-7.35237935989,7.35237935989,0.0,0.0,0,31.2569992162,0,0,0,0,1,0,0,0,WRIST,0.0,58,0.0799643,-4,-4,
881,35.0,56.0,56.0,-10.0,10.0,0.0,0,120,80,4,ARI,0,40.0,40.0,40.0,40.0,40.0,40.0,2,2,40,40,40,40,40,40,40,40,40,40,40,40,54.0370243444,SHOT,20011,0,8478872,Karel Vejmelka,0,0,0,5,PIT,3,1,62,1.0,0,HIT,0.0,0.0,AWAY,90,90,32,32,AWAYZONE,1,1,71,0,C,2022,L,Evgeni Malkin,8471215.0,99,40,60.0,68.0,40.0,58.0,40.0,40.0,1,4,99,68,40,99,40,40,40,68,40,40,40,40,-16.8583987677,16.8583987677,0.0,0.0,0,34.4818792991,0,0,0,1,0,0,0,0,SLAP,1.0,56,0.100654,-10,-10,
