undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
699,50.0,-40.0,40.0,-7.0,7.0,-10.4,0,0,0,5,SEA,0,28.2,25.5,25.5,30.0,30.0,28.2,2,3,36,27,27,36,36,36,22,24,24,22,22,22,112.040171367,SHOT,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,17,0.0,0,SHOT,0.0,0.0,HOME,72,-72,-4,4,HOMEZONE,0,1,9,21,C,2022,L,Ryan Donato,8477987.0,23,23,17.8,12.5,12.5,21.3333333333,21.3333333333,17.8,2,3,23,13,13,23,23,23,12,12,12,19,19,12,8.13010235416,8.13010235416,0.0,0.0,0,49.4974746831,0,0,0,0,1,0,0,0,WRIST,1.0,-40,0.0139703,-7,7,
700,20.0,-86.0,86.0,-20.0,20.0,-2.8,0,0,0,5,SEA,0,31.4,29.0,29.0,33.0,33.0,31.4,2,3,34,31,31,34,34,34,27,27,27,32,32,27,99.2975326985,SHOT,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,19,0.0,0,HIT,0.0,0.0,HOME,-4,4,39,-39,HOMEZONE,0,1,10,0,C,2022,L,Matty Beniers,8482665.0,34,34,28.6,21.0,21.0,33.6666666667,33.6666666667,28.6,2,3,35,35,35,34,34,35,7,7,7,33,33,7,79.9920201986,79.9920201986,0.0,0.0,0,17.2626765016,0,0,0,1,0,0,0,0,WRIST,1.0,-86,0.0284581,-17,17,
701,60.0,-37.0,37.0,30.0,30.0,-2.8,0,0,0,5,SEA,0,39.4,37.0,37.0,41.0,41.0,39.4,2,3,42,39,39,42,42,42,35,35,35,40,40,35,67.1788657243,SHOT,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,20,0.0,0,SHOT,79.9920201986,17.2626765016,AWAY,-86,86,-17,17,HOMEZONE,1,1,95,10,L,2022,L,Andre Burakovsky,8477444.0,41,41,36.6,29.0,29.0,41.6666666667,41.6666666667,36.6,2,3,43,43,43,42,42,43,15,15,15,41,41,15,-30.4655449195,30.4655449195,110.457565118,13.8071956398,1,59.1692487699,0,1,0,0,0,0,0,0,WRIST,1.0,-38,0.00869565,30,-30,
703,34.0,-88.0,88.0,34.0,34.0,-13.8,0,0,0,5,SEA,0,24.4,23.5,23.5,25.0,25.0,24.4,2,3,29,29,29,28,28,29,18,18,18,19,19,18,167.630546142,MISS,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,30,0.0,0,GIVE,0.0,0.0,AWAY,70,-70,-25,25,HOMEZONE,1,1,13,0,L,2022,L,Brandon Tanev,8479293.0,8,8,10.6,12.5,12.5,9.33333333333,9.33333333333,10.6,2,3,14,13,13,14,14,14,6,12,12,6,6,6,-88.152389734,88.152389734,0.0,0.0,0,31.0161248385,0,0,0,1,0,0,0,0,BACK,0.0,-88,0.00715596,31,-31,
704,65.0,-35.0,35.0,36.0,36.0,-13.8,0,0,0,5,SEA,0,32.4,31.5,31.5,33.0,33.0,32.4,2,3,37,37,37,36,36,37,26,26,26,27,27,26,51.1566222497,MISS,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,31,0.0,0,MISS,-88.152389734,31.0161248385,AWAY,-88,88,31,-31,HOMEZONE,0,1,3,13,D,2022,R,Will Borgen,8478840.0,21,21,18.6,20.5,20.5,17.3333333333,17.3333333333,18.6,2,3,22,21,21,22,22,22,14,20,20,14,14,14,-33.9435870198,33.9435870198,54.2088027143,6.77610033928,0,62.6817357769,0,0,0,0,1,0,0,0,SNAP,0.0,-37,0.00985188,35,-35,
707,16.0,-88.0,88.0,16.0,16.0,-7.46666666667,1,0,0,6,SEA,0,27.8,32.0,32.0,25.0,25.0,27.8,2,3,38,38,38,26,26,38,24,26,26,24,24,24,89.9444272871,SHOT,20009,0,8476434,John Gibson,0,0,0,5,ANA,1,1,36,0.0,0,DELPEN,0.0,0.0,HOME,0,0,0,0,HOMEZONE,1,1,17,0,C,2022,L,Jaden Schwartz,8475768.0,24,24,20.3333333333,37.0,37.0,12.0,12.0,20.3333333333,2,4,64,64,64,24,24,64,5,10,10,5,5,5,-85.601294645,85.601294645,0.0,0.0,0,13.0384048104,0,0,0,0,0,1,0,0,SLAP,1.0,-89,0.120186,13,-13,
708,41.0,-49.0,49.0,-10.0,10.0,0.0,0,0,0,5,SEA,0,29.5,39.0,20.0,20.0,20.0,20.0,2,2,58,58,20,20,20,20,20,20,20,20,20,20,21.6333076528,MISS,20009,0,8476434,John Gibson,0,120,100,4,ANA,1,1,40,0.0,0,FAC,0.0,0.0,AWAY,-69,69,-22,22,HOMEZONE,1,1,22,0,R,2022,R,Oliver Bjorkstrand,8477416.0,26,20,23.8,20.0,20.0,24.75,20.0,20.0,1,4,33,20,20,33,20,20,20,20,20,20,20,20,14.7435628365,14.7435628365,0.0,0.0,0,39.2937654088,0,0,0,1,0,0,0,0,WRIST,0.0,-51,0.00555119,-10,10,
709,41.0,-58.0,58.0,-26.0,26.0,0.0,0,0,0,5,SEA,0,35.5,45.0,26.0,26.0,26.0,26.0,2,2,64,64,26,26,26,26,26,26,26,26,26,26,17.0,SHOT,20009,0,8476434,John Gibson,0,120,94,4,ANA,1,1,41,0.0,0,MISS,14.7435628365,39.2937654088,AWAY,-51,51,-10,10,HOMEZONE,1,1,22,22,R,2022,R,Oliver Bjorkstrand,8477416.0,32,26,29.8,26.0,26.0,30.75,26.0,26.0,1,4,39,26,26,39,26,26,26,26,26,26,26,26,39.8055710923,39.8055710923,25.0620082558,4.17700137597,0,39.0512483795,0,1,0,0,0,0,0,0,SLAP,1.0,-59,0.00729178,-25,25,
710,52.0,-37.0,37.0,1.0,1.0,0.0,0,0,0,5,SEA,0,53.0,76.0,30.0,30.0,30.0,30.0,2,2,95,95,30,30,30,30,30,57,30,30,30,30,33.1058907145,SHOT,20009,0,8476434,John Gibson,0,120,63,4,ANA,1,1,46,0.0,0,BLOCK,0.0,0.0,AWAY,-68,68,-13,13,HOMEZONE,0,1,4,0,D,2022,R,Justin Schultz,8474602.0,57,30,60.8,57.0,30.0,61.75,30.0,30.0,1,4,70,57,30,70,30,30,57,57,30,57,30,30,-1.12330271408,1.12330271408,0.0,0.0,0,51.0098029794,0,0,0,1,0,0,0,0,WRIST,1.0,-38,0.00442421,1,-1,
711,7.21110255093,-85.0,85.0,6.0,6.0,0.0,0,0,0,5,SEA,0,70.0,93.0,47.0,47.0,47.0,47.0,2,2,112,112,47,47,47,47,47,74,47,47,47,47,47.2652091924,MISS,20009,0,8476434,John Gibson,0,120,46,4,ANA,1,1,47,0.0,0,SHOT,-1.12330271408,51.0098029794,AWAY,-38,38,1,-1,HOMEZONE,1,1,21,4,C,2022,L,Alex Wennberg,8477505.0,87,47,77.8,74.0,47.0,78.75,47.0,47.0,1,4,87,74,47,87,47,47,74,74,47,74,47,47,-56.309932474,56.309932474,55.1866297599,3.24627233882,0,7.21110255093,0,0,0,0,1,0,0,0,WRAP,0.0,-85,0.00791768,6,-6,
