undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
0,43.0,47.0,47.0,8.0,8.0,0.0,0,0,0,5,SJS,0,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,127.34598541,SHOT,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,0,1,8,0.0,0,HIT,0.0,0.0,AWAY,-80,-80,37,37,HOMEZONE,0,1,28,0,R,2022,L,Timo Meier,8478414.0,23,23,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,10.0805979875,10.0805979875,0.0,0.0,0,45.7055795281,0,1,0,0,0,0,0,0,WRIST,1.0,44,0.0260093,8,8,
1,51.0,45.0,45.0,26.0,26.0,0.0,0,0,0,5,SJS,0,12.0,12.0,12.0,12.0,12.0,12.0,2,3,12,12,12,12,12,12,12,12,12,12,12,12,25.495097568,MISS,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,0,1,11,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,0,1,44,0,D,2022,L,Marc-Edouard Vlasic,8471709.0,12,12,12.0,12.0,12.0,12.0,12.0,12.0,2,3,12,12,12,12,12,12,12,12,12,12,12,12,30.9637565321,30.9637565321,0.0,0.0,0,52.4785670536,0,0,0,1,0,0,0,0,WRIST,0.0,44,0.00777392,27,27,
6,14.0,75.0,75.0,2.0,2.0,-5.8,0,0,0,5,SJS,0,42.6,46.5,46.5,40.0,40.0,42.6,2,3,53,53,53,40,40,53,40,40,40,40,40,40,15.8113883008,SHOT,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,1,1,26,0.0,0,BLOCK,0.0,0.0,AWAY,57,57,-3,-3,HOMEZONE,0,1,16,0,C,2022,L,Steven Lorentz,8478904.0,40,40,36.8,36.0,36.0,37.3333333333,37.3333333333,36.8,2,3,40,36,36,40,40,40,36,36,36,36,36,36,6.70983680776,6.70983680776,0.0,0.0,0,17.1172427686,0,0,0,0,1,0,0,0,TIP,1.0,72,0.0840091,2,2,
7,37.0,54.0,54.0,11.0,11.0,3.6,0,0,0,5,SJS,0,31.4,27.5,27.5,34.0,34.0,31.4,2,3,34,34,34,34,34,34,21,21,21,34,34,21,47.9270278653,MISS,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,1,1,30,0.0,0,HIT,0.0,0.0,AWAY,95,95,-7,-7,HOMEZONE,0,1,44,0,D,2022,L,Marc-Edouard Vlasic,8471709.0,35,35,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,17.5255683737,17.5255683737,0.0,0.0,0,39.8497176903,0,0,0,1,0,0,0,0,SLAP,0.0,51,0.0613711,12,12,
9,39.0,52.0,52.0,11.0,11.0,0.0,0,0,0,5,SJS,0,10.0,10.0,10.0,10.0,10.0,10.0,2,3,10,10,10,10,10,10,10,10,10,10,10,10,118.422970745,SHOT,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,1,1,37,0.0,0,FAC,0.0,0.0,AWAY,-69,-69,22,22,HOMEZONE,0,1,23,0,L,2022,L,Oskar Lindblom,8478067.0,19,10,29.2,33.5,10.0,26.3333333333,10.0,10.0,2,3,37,37,10,30,10,10,19,30,10,19,10,10,16.699244234,16.699244234,0.0,0.0,0,41.7612260356,0,0,0,1,0,0,0,0,WRIST,1.0,49,0.0297075,12,12,
10,44.0,48.0,48.0,17.0,17.0,0.0,0,0,0,5,SJS,0,27.2,35.0,22.0,22.0,22.0,22.0,2,3,35,35,22,22,22,22,22,35,22,22,22,22,43.0116263352,SHOT,20001,0,8477424,Juuse Saros,0,0,0,5,NSH,1,1,42,0.0,0,BLOCK,0.0,0.0,AWAY,81,81,-7,-7,HOMEZONE,1,1,62,0,R,2022,R,Kevin Labanc,8478099.0,55,22,39.6,22.0,22.0,51.3333333333,22.0,22.0,2,3,55,22,22,55,22,22,22,22,22,44,22,22,22.7144123532,22.7144123532,0.0,0.0,0,46.6154480832,0,0,0,0,1,0,0,0,SLAP,1.0,46,0.0266904,18,18,
14,43.0,46.0,46.0,4.0,4.0,0.0,0,0,0,5,SJS,0,6.0,6.0,6.0,6.0,6.0,6.0,2,2,6,6,6,6,6,6,6,6,6,6,6,6,30.8058436015,MISS,20001,0,8477424,Juuse Saros,0,120,114,4,NSH,1,1,57,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,1,1,65,0,D,2022,R,Erik Karlsson,8474578.0,50,6,14.8,50.0,6.0,6.0,6.0,6.0,1,4,50,50,6,6,6,6,6,50,6,6,6,6,5.07960786001,5.07960786001,0.0,0.0,0,45.1774279923,0,0,0,0,1,0,0,0,SLAP,0.0,44,0.0140162,4,4,
15,31.0,62.0,62.0,16.0,16.0,6.25,0,0,0,5,SJS,0,29.75,22.5,22.5,37.0,37.0,29.75,2,2,37,37,37,37,37,37,8,8,8,37,37,8,21.9317121995,SHOT,20001,0,8477424,Juuse Saros,0,120,22,4,NSH,1,1,59,0.0,0,BLOCK,0.0,0.0,AWAY,76,76,2,2,HOMEZONE,1,1,62,0,R,2022,R,Kevin Labanc,8478099.0,36,36,36.0,36.0,36.0,36.0,36.0,36.0,2,3,36,36,36,36,36,36,36,36,36,36,36,36,30.3791260114,30.3791260114,0.0,0.0,0,33.6154726279,0,1,0,0,0,0,0,0,WRIST,1.0,60,0.00758855,17,17,
16,14.0,80.0,80.0,-11.0,11.0,0.6,0,0,0,5,SJS,0,24.6,31.5,27.0,20.0,20.0,22.8,2,3,36,36,27,27,27,27,6,27,27,6,6,6,36.1386219992,GOAL,20001,1,8477424,Juuse Saros,0,0,0,5,NSH,1,1,62,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,1,1,48,0,C,2022,L,Tomas Hertl,8476881.0,27,27,23.4,18.0,18.0,27.0,27.0,23.4,2,3,27,27,27,27,27,27,9,9,9,27,27,9,-49.7636416907,49.7636416907,0.0,0.0,0,17.0293863659,0,0,0,0,0,0,0,0,WRIST,1.0,78,0.076284,-13,-13,
17,55.0,40.0,40.0,25.0,25.0,0.0,0,0,0,5,SJS,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,28.1602556807,SHOT,20001,0,8477424,Juuse Saros,0,120,116,4,NSH,1,1,67,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,0,1,39,0,C,2022,L,Logan Couture,8474053.0,4,4,4.0,4.0,4.0,4.0,4.0,4.0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,27.5120026239,27.5120026239,0.0,0.0,0,54.1202365109,0,0,0,1,0,0,0,0,WRIST,1.0,41,0.00952488,25,25,
18,33.0,68.0,68.0,-25.0,25.0,0.0,0,0,0,5,SJS,1,20.0,20.0,20.0,20.0,20.0,20.0,2,2,20,20,20,20,20,20,20,20,20,20,20,20,58.6003412959,SHOT,20001,0,8477424,Juuse Saros,0,120,100,4,NSH,1,1,68,0.0,0,SHOT,27.5120026239,54.1202365109,AWAY,41,41,25,25,HOMEZONE,1,1,28,39,R,2022,L,Timo Meier,8478414.0,20,20,20.0,20.0,20.0,20.0,20.0,20.0,1,4,20,20,20,20,20,20,20,20,20,20,20,20,-50.5993393365,50.5993393365,78.1113419604,4.88195887252,1,36.235341864,0,0,0,0,1,0,0,0,WRIST,1.0,66,0.00778319,-28,-28,
