undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
2789,27.0,62.0,62.0,-2.0,2.0,0.0,0,0,0,5,CBJ,0,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,64.0312423743,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,6,1.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,AWAYZONE,0,1,25,0,C,2022,R,Jordan Kyrou,8479385.0,19,19,19.0,19.0,19.0,19.0,19.0,19.0,2,3,19,19,19,19,19,19,19,19,19,19,19,19,-4.5739212599,4.5739212599,0.0,0.0,0,25.079872408,0,0,0,0,1,0,0,0,WRIST,0.0,64,0.0762512,-2,-2,
2791,12.0,82.0,82.0,-10.0,10.0,0.0,0,0,0,5,CBJ,0,38.2,39.5,16.0,37.3333333333,16.0,16.0,2,3,41,41,16,40,16,16,33,38,16,33,16,16,150.402792527,SHOT,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,11,1.0,0,FAC,0.0,0.0,HOME,-69,-69,-22,-22,AWAYZONE,1,1,89,0,L,2022,L,Pavel Buchnevich,8477402.0,36,16,29.0,16.0,16.0,37.6666666667,16.0,16.0,2,3,40,16,16,40,16,16,16,16,16,36,16,16,-53.9726266149,53.9726266149,0.0,0.0,0,13.6014705087,0,0,0,0,1,0,0,0,WRIST,1.0,81,0.0732967,-11,-11,
2792,39.0,61.0,61.0,-27.0,27.0,-18.2,0,0,0,5,CBJ,0,31.2,47.5,47.5,20.3333333333,20.3333333333,31.2,2,3,48,48,48,47,47,48,6,47,47,6,6,6,96.4261375354,SHOT,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,18,1.0,0,HIT,0.0,0.0,HOME,-8,-8,40,40,AWAYZONE,1,1,20,0,L,2022,L,Brandon Saad,8476438.0,15,15,13.0,15.5,15.5,11.3333333333,11.3333333333,13.0,2,3,16,16,16,15,15,16,9,15,15,9,9,9,-43.7811247649,43.7811247649,0.0,0.0,0,33.2415402772,0,0,0,1,0,0,0,0,WRIST,1.0,65,0.0206451,-23,-23,
2793,39.0,50.0,50.0,-1.0,1.0,0.0,0,0,0,5,CBJ,0,33.2,9.0,9.0,49.3333333333,9.0,9.0,2,3,76,9,9,76,9,9,9,9,9,35,9,9,23.3238075794,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,23,1.0,0,GIVE,0.0,0.0,AWAY,76,76,-13,-13,AWAYZONE,1,1,47,0,D,2022,L,Torey Krug,8476792.0,9,9,9.0,9.0,9.0,9.0,9.0,9.0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,-1.73570458893,1.73570458893,0.0,0.0,0,33.0151480384,0,0,0,0,1,0,0,0,SNAP,0.0,56,0.0667924,-1,-1,
2795,34.0,55.0,55.0,-0.0,0.0,-11.0,0,0,0,5,CBJ,0,34.8,64.0,64.0,15.3333333333,15.3333333333,34.8,2,3,64,64,64,26,26,64,9,64,64,9,9,9,130.061523903,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,29,1.0,0,BLOCK,0.0,0.0,AWAY,-71,-71,4,4,AWAYZONE,0,1,77,0,D,2022,L,Niko Mikkola,8478859.0,14,14,23.8,20.5,20.5,26.0,26.0,23.8,2,3,27,27,27,27,27,27,14,14,14,25,25,14,0.0,0.0,0.0,0.0,0,30.0,0,0,0,0,1,0,0,0,WRIST,0.0,59,0.0626193,0,0,
2796,42.0,59.0,59.0,-30.0,30.0,0.0,0,120,102,4,CBJ,0,18.0,18.0,18.0,18.0,18.0,18.0,2,2,18,18,18,18,18,18,18,18,18,18,18,18,5.83095189485,GOAL,20033,1,8478007,Elvis Merzlikins,0,0,0,5,STL,0,1,33,1.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,AWAYZONE,1,1,89,0,L,2022,L,Pavel Buchnevich,8477402.0,18,18,27.4,18.0,18.0,29.75,18.0,18.0,1,4,65,18,18,65,18,18,18,18,18,18,18,18,-45.0,45.0,0.0,0.0,0,35.3553390593,0,0,0,0,0,0,0,0,SLAP,1.0,64,0.0461447,-25,-25,
2797,70.0,24.0,24.0,26.0,26.0,2.6,0,120,56,5,CBJ,0,24.0,10.0,10.0,33.3333333333,26.6666666667,20.0,2,3,46,10,10,46,36,36,8,10,10,8,8,8,69.1158447825,SHOT,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,1,1,38,1.0,0,HIT,0.0,0.0,HOME,91,91,23,23,Neu. Zone,0,1,13,0,R,2022,L,Alexey Toropchenko,8480281.0,46,36,28.6,25.0,20.0,31.0,24.3333333333,22.6,2,3,46,46,36,46,36,36,1,4,4,1,1,1,21.9486990835,21.9486990835,0.0,0.0,0,72.2357252334,0,0,0,0,1,0,0,0,WRIST,1.0,22,0.00736147,27,27,
2798,45.0,45.0,45.0,10.0,10.0,-5.4,0,120,17,5,CBJ,0,43.4,49.0,49.0,39.6666666667,39.6666666667,43.4,2,3,49,49,49,47,47,49,35,49,49,35,35,35,15.0,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,1,1,41,1.0,0,BLOCK,0.0,0.0,HOME,67,67,8,8,AWAYZONE,1,1,25,0,C,2022,R,Jordan Kyrou,8479385.0,40,40,38.0,41.0,41.0,36.0,36.0,38.0,2,3,43,43,43,40,40,43,32,39,39,32,32,32,12.2004687274,12.2004687274,0.0,0.0,0,37.8549864615,0,0,0,0,1,0,0,0,SNAP,0.0,52,0.0313772,8,8,
2802,14.0,83.0,83.0,13.0,13.0,0.0,0,0,0,5,CBJ,0,25.0,29.5,22.0,22.0,22.0,22.0,2,3,37,37,22,22,22,22,22,22,22,22,22,22,38.6264158317,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,1,1,70,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,AWAYZONE,0,1,89,0,L,2022,L,Pavel Buchnevich,8477402.0,39,22,44.4,52.0,22.0,39.3333333333,22.0,22.0,2,3,57,57,22,41,22,22,38,47,22,38,22,22,66.8014094864,66.8014094864,0.0,0.0,0,15.2315462117,0,0,0,1,0,0,0,0,WRIST,0.0,83,0.0484639,14,14,
2803,25.0,69.0,69.0,15.0,15.0,-2.2,0,0,0,5,CBJ,0,28.4,11.0,11.0,40.0,40.0,28.4,2,3,40,11,11,40,40,40,11,11,11,40,40,11,150.615404259,MISS,20033,0,8478007,Elvis Merzlikins,0,0,0,5,STL,1,1,74,1.0,0,HIT,0.0,0.0,AWAY,-79,-79,37,37,AWAYZONE,1,1,18,0,C,2022,R,Robert Thomas,8480023.0,59,40,36.6,5.5,5.5,57.3333333333,40.0,26.2,2,3,59,6,6,59,40,40,5,5,5,56,40,5,38.2901631922,38.2901631922,0.0,0.0,0,24.2074368738,0,0,0,0,1,0,0,0,SNAP,0.0,70,0.0840727,15,15,
