undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
169,12.0,77.0,77.0,-0.0,0.0,0.0,0,0,0,5,TBL,0,14.0,14.0,14.0,14.0,14.0,14.0,2,3,14,14,14,14,14,14,14,14,14,14,14,14,79.0,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,6,0.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,HOMEZONE,0,1,91,0,C,2022,R,Steven Stamkos,8474564.0,14,14,14.0,14.0,14.0,14.0,14.0,14.0,2,3,14,14,14,14,14,14,14,14,14,14,14,14,0.0,0.0,0.0,0.0,0,10.0,0,0,0,0,1,0,0,0,TIP,1.0,79,0.129988,0,0,
172,16.0,76.0,76.0,-9.0,9.0,0.0,0,0,0,5,TBL,0,47.2,47.0,36.0,47.3333333333,36.0,36.0,2,3,54,47,36,54,36,36,36,47,36,36,36,36,176.08236709,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,39,0.0,0,HIT,0.0,0.0,HOME,-96,-96,20,20,HOMEZONE,0,1,21,0,C,2022,R,Brayden Point,8478010.0,36,36,43.4,54.5,36.0,36.0,36.0,36.0,2,3,55,55,36,36,36,36,36,54,36,36,36,36,-32.4711922908,32.4711922908,0.0,0.0,0,13.0384048104,0,0,0,1,0,0,0,0,WRIST,1.0,78,0.13231,-7,-7,
174,7.61577310586,86.0,86.0,-7.0,7.0,-0.8,0,0,0,5,TBL,0,10.8,9.0,9.0,12.0,12.0,10.8,2,3,13,11,11,13,13,13,7,7,7,11,11,7,185.310550158,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,45,0.0,0,HIT,0.0,0.0,HOME,-98,-98,15,15,HOMEZONE,1,1,20,0,L,2022,L,Nicholas Paul,8477426.0,11,11,10.0,10.5,10.5,9.66666666667,9.66666666667,10.0,2,3,15,15,15,11,11,15,6,6,6,7,7,6,-66.8014094864,66.8014094864,0.0,0.0,0,7.61577310586,1,0,0,0,0,0,0,0,WRIST,1.0,86,0.0769464,-7,-7,
175,5.83095189485,86.0,86.0,-5.0,5.0,-0.8,0,0,0,5,TBL,0,11.8,10.0,10.0,13.0,13.0,11.8,2,3,14,12,12,14,14,14,8,8,8,12,12,8,2.0,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,46,0.0,0,SHOT,-66.8014094864,7.61577310586,AWAY,86,86,-7,-7,HOMEZONE,1,1,38,20,L,2022,L,Brandon Hagel,8479542.0,12,12,11.0,11.5,11.5,10.6666666667,10.6666666667,11.0,2,3,16,16,16,12,12,16,7,7,7,8,8,7,-59.0362434679,59.0362434679,7.76516601843,7.76516601843,0,5.83095189485,0,1,0,0,0,0,1,0,WRIST,1.0,86,0.119882,-5,-5,
176,48.0,55.0,55.0,33.0,33.0,0.0,0,0,0,5,TBL,0,38.2,39.5,23.0,37.3333333333,23.0,23.0,2,3,40,40,23,39,23,23,36,39,23,36,23,23,6.32455532034,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,56,0.0,0,HIT,0.0,0.0,HOME,58,58,38,38,HOMEZONE,0,1,45,0,L,2022,L,Cole Koepke,8481043.0,42,23,34.6,29.5,23.0,38.0,23.0,23.0,2,3,42,34,23,42,23,23,25,25,23,35,23,23,44.1185960034,44.1185960034,0.0,0.0,0,45.9673797382,0,0,0,1,0,0,0,0,WRIST,1.0,56,0.0125644,32,32,
180,12.0,77.0,77.0,-2.0,2.0,15.6,0,0,0,5,TBL,0,17.6,13.5,13.5,20.3333333333,20.3333333333,17.6,2,3,34,14,14,34,34,34,13,13,13,13,13,13,162.443836448,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,70,0.0,0,MISS,0.0,0.0,HOME,-83,-83,10,10,HOMEZONE,1,1,79,24,C,2022,L,Ross Colton,8479525.0,21,21,33.2,37.0,37.0,30.6666666667,30.6666666667,33.2,2,3,37,37,37,36,36,37,21,37,37,21,21,21,-11.309932474,11.309932474,0.0,0.0,0,10.1980390272,0,0,0,1,0,0,0,0,WRIST,1.0,79,0.204457,-2,-2,
184,64.0,38.0,38.0,39.0,39.0,8.6,0,0,0,5,TBL,0,21.2,17.5,17.5,23.6666666667,23.6666666667,21.2,2,3,29,18,18,29,29,29,17,17,17,17,17,17,128.600155521,MISS,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,78,0.0,0,HIT,0.0,0.0,HOME,-63,-63,-39,-39,HOMEZONE,0,1,7,0,D,2022,L,Haydn Fleury,8477938.0,8,8,29.8,19.0,19.0,37.0,37.0,29.8,2,3,49,30,30,49,49,49,8,8,8,31,31,8,37.7939429986,37.7939429986,0.0,0.0,0,62.0080639917,0,0,0,0,1,0,0,0,WRIST,0.0,40,0.00619061,38,38,
191,26.0,68.0,68.0,-15.0,15.0,-19.2,0,0,0,5,TBL,0,41.6,48.5,37.0,37.0,37.0,37.0,2,3,60,60,37,37,37,37,37,37,37,37,37,37,140.288987451,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,104,0.0,0,FAC,0.0,0.0,HOME,-69,-69,-22,-22,HOMEZONE,0,1,91,0,C,2022,R,Steven Stamkos,8474564.0,37,37,17.8,13.5,13.5,20.6666666667,20.6666666667,17.8,2,3,37,22,22,37,37,37,5,5,5,5,5,5,-35.8376529543,35.8376529543,0.0,0.0,0,22.2036033112,0,0,0,1,0,0,0,0,WRIST,1.0,71,0.0460677,-13,-13,
192,29.0,60.0,60.0,-2.0,2.0,-19.2,0,0,0,5,TBL,0,45.6,52.5,41.0,41.0,41.0,41.0,2,3,64,64,41,41,41,41,41,41,41,41,41,41,22.0907220344,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,106,0.0,0,BLOCK,0.0,0.0,AWAY,63,63,20,20,HOMEZONE,0,1,21,0,C,2022,R,Brayden Point,8478010.0,24,24,21.8,17.5,17.5,24.6666666667,24.6666666667,21.8,2,3,41,26,26,41,41,41,9,9,9,9,9,9,-4.76364169073,4.76364169073,0.0,0.0,0,24.0831891576,0,0,0,0,1,0,0,0,WRIST,1.0,65,0.161826,-2,-2,
193,29.0,-70.0,70.0,22.0,22.0,0.0,0,0,0,5,TBL,0,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,129.541499142,SHOT,20003,0,8478048,Igor Shesterkin,0,0,0,5,NYR,0,1,123,0.0,0,BLOCK,0.0,0.0,HOME,52,-52,-16,16,HOMEZONE,0,2,21,0,C,2022,R,Brayden Point,8478010.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,2,3,24,24,24,24,24,24,24,24,24,24,24,24,-48.3664606634,48.3664606634,48.3664606634,8.06107677724,0,24.0831891576,0,0,0,0,1,0,0,0,WRIST,1.0,-73,0.0476398,18,-18,
