undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
554,35.0,90.0,90.0,34.0,34.0,6.4,0,0,0,5,TOR,0,19.2,13.5,13.5,23.0,23.0,19.2,2,3,24,14,14,24,24,24,13,13,13,22,22,13,60.207972894,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,10,0.0,0,HIT,0.0,0.0,HOME,95,95,-26,-26,HOMEZONE,0,1,8,0,D,2022,L,Jake Muzzin,8474162.0,25,25,25.6,26.5,26.5,25.0,25.0,25.6,2,3,28,28,28,26,26,28,24,25,25,24,24,24,88.3153156821,88.3153156821,0.0,0.0,0,34.0147027034,0,1,0,0,0,0,0,0,WRIST,1.0,90,0.01,34,34,
555,36.0,65.0,65.0,-27.0,27.0,-13.0,0,0,0,5,TOR,0,38.0,38.0,35.0,38.0,35.0,35.0,2,3,38,38,35,38,35,35,38,38,35,38,35,35,163.477827243,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,19,0.0,0,HIT,0.0,0.0,HOME,-84,-84,39,39,HOMEZONE,1,1,91,0,C,2022,L,John Tavares,8475166.0,38,35,23.8,2.5,2.5,38.0,35.0,22.0,2,3,38,3,3,38,35,35,2,2,2,38,35,2,-48.5035316448,48.5035316448,0.0,0.0,0,34.7131099154,0,1,0,0,0,0,0,0,,1.0,66,0.0106687,-26,-26,
556,41.0,54.0,54.0,22.0,22.0,7.4,0,0,0,5,TOR,0,24.2,32.0,32.0,19.0,19.0,24.2,2,3,34,34,34,23,23,34,16,30,30,16,16,16,62.9682459657,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,33,0.0,0,GIVE,0.0,0.0,HOME,43,43,-40,-40,HOMEZONE,0,1,34,0,C,2022,L,Auston Matthews,8479318.0,18,18,31.6,32.5,32.5,31.0,31.0,31.6,2,3,52,52,52,39,39,52,13,13,13,18,18,13,32.1522951413,32.1522951413,0.0,0.0,0,41.3400532172,0,1,0,0,0,0,0,0,SLAP,1.0,54,0.0655573,22,22,
559,7.07106781187,-90.0,90.0,7.0,7.0,0.0,0,120,113,4,TOR,0,21.8,10.0,7.0,24.75,7.0,7.0,1,4,41,10,7,41,7,7,7,10,7,7,7,7,35.8050275799,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,45,0.0,0,FAC,0.0,0.0,AWAY,-69,69,-22,22,AWAYZONE,1,1,8,0,D,2022,L,Jake Muzzin,8474162.0,7,7,15.0,23.0,7.0,7.0,7.0,7.0,2,2,39,39,7,7,7,7,7,7,7,7,7,7,-81.8698976458,81.8698976458,0.0,0.0,0,7.07106781187,0,0,0,1,0,0,0,0,WRIST,1.0,-90,0.01,7,-7,
566,36.0,67.0,67.0,28.0,28.0,0.0,0,0,0,5,TOR,0,6.0,6.0,6.0,6.0,6.0,6.0,2,3,6,6,6,6,6,6,6,6,6,6,6,6,136.132288602,MISS,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,69,0.0,0,FAC,0.0,0.0,HOME,-69,-69,22,22,HOMEZONE,0,1,58,0,L,2022,L,Michael Bunting,8478047.0,6,6,6.0,6.0,6.0,6.0,6.0,6.0,2,3,6,6,6,6,6,6,6,6,6,6,6,6,51.8427734126,51.8427734126,0.0,0.0,0,35.6089876295,0,0,0,1,0,0,0,0,SNAP,0.0,67,0.0219794,28,28,
567,17.0,73.0,73.0,5.0,5.0,0.0,0,0,0,5,TOR,0,20.0,20.0,20.0,20.0,20.0,20.0,2,3,20,20,20,20,20,20,20,20,20,20,20,20,25.2982212813,GOAL,20007,1,8474596,Jake Allen,0,0,0,5,MTL,0,1,70,0.0,0,MISS,51.8427734126,35.6089876295,AWAY,67,67,28,28,HOMEZONE,0,1,58,58,L,2022,L,Michael Bunting,8478047.0,20,20,20.0,20.0,20.0,20.0,20.0,20.0,2,3,20,20,20,20,20,20,20,20,20,20,20,20,15.9453959009,15.9453959009,35.8973775117,2.56409839369,0,14.5602197786,0,0,0,0,0,0,0,0,SNAP,1.0,75,0.101516,4,4,
568,15.0,77.0,77.0,-9.0,9.0,0.0,0,0,0,5,TOR,1,9.0,9.0,9.0,9.0,9.0,9.0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,79.4040301244,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,72,0.0,0,FAC,0.0,0.0,AWAY,0,0,0,0,HOMEZONE,0,1,19,0,C,2022,R,Calle Jarnkrok,8475714.0,9,9,9.0,9.0,9.0,9.0,9.0,9.0,2,3,9,9,9,9,9,9,9,9,9,9,9,9,-38.6598082541,38.6598082541,0.0,0.0,0,12.8062484749,0,0,0,1,0,0,0,0,SNAP,1.0,79,0.116234,-8,-8,
570,35.0,73.0,73.0,-31.0,31.0,0.0,0,0,0,5,TOR,1,53.75,65.5,27.0,42.0,27.0,27.0,2,2,67,67,27,45,27,27,39,64,27,39,27,27,143.223601407,SHOT,20007,0,8474596,Jake Allen,0,120,5,4,MTL,0,1,90,0.0,0,FAC,0.0,0.0,HOME,-69,-69,-22,-22,HOMEZONE,1,1,34,0,C,2022,L,Auston Matthews,8479318.0,58,27,55.8,73.0,27.0,51.5,27.0,27.0,1,4,94,73,27,94,27,27,27,73,27,27,27,27,-63.4349488229,63.4349488229,0.0,0.0,0,33.5410196625,0,0,0,0,1,0,0,0,SLAP,1.0,74,0.0108488,-30,-30,
573,52.0,43.0,43.0,24.0,24.0,-2.6,0,0,0,5,TOR,1,26.4,34.0,34.0,21.3333333333,21.3333333333,26.4,2,3,49,49,49,28,28,49,16,19,19,16,16,16,89.0056178002,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,0,1,98,0.0,0,SHOT,0.0,0.0,HOME,-37,-37,-17,-17,HOMEZONE,0,1,55,54,D,2022,L,Mark Giordano,8470966.0,9,9,23.8,9.5,9.5,33.3333333333,33.3333333333,23.8,2,3,53,10,10,53,53,53,9,9,9,9,9,9,27.0505970071,27.0505970071,0.0,0.0,0,52.7730992078,0,1,0,0,0,0,0,0,SNAP,1.0,42,0.0143023,24,24,
576,69.0,-31.0,31.0,38.0,38.0,-2.0,0,0,0,5,TOR,1,52.6,63.0,63.0,45.6666666667,45.6666666667,52.6,2,3,93,93,93,48,48,93,33,33,33,43,43,33,16.0,SHOT,20007,0,8474596,Jake Allen,0,0,0,5,MTL,1,1,118,0.0,0,GIVE,0.0,0.0,HOME,-47,47,38,-38,HOMEZONE,1,2,38,0,D,2022,L,Rasmus Sandin,8480873.0,50,50,50.6,51.0,51.0,50.3333333333,50.3333333333,50.6,2,3,52,52,52,52,52,52,48,50,50,48,48,48,-33.231711068,33.231711068,0.0,0.0,0,69.3397432934,0,0,0,0,1,0,0,0,SNAP,1.0,-31,0.0153141,38,-38,
577,61.0,-31.0,31.0,19.0,19.0,3.8,0,0,0,5,TOR,1,24.0,25.5,25.5,23.0,23.0,24.0,2,3,26,26,26,25,25,26,20,25,25,20,20,20,80.2122185206,MISS,20007,0,8474596,Jake Allen,0,0,0,5,MTL,1,1,120,0.0,0,GIVE,0.0,0.0,HOME,-94,94,-27,27,HOMEZONE,1,2,44,0,D,2022,L,Morgan Rielly,8476853.0,31,31,27.8,22.0,22.0,31.6666666667,31.6666666667,27.8,2,3,35,31,31,35,35,35,13,13,13,27,27,13,-18.4349488229,18.4349488229,0.0,0.0,0,63.2455532034,0,0,0,0,1,0,0,0,WRIST,0.0,-29,0.0133153,20,-20,
578,25.0,-65.0,65.0,5.0,5.0,0.0,0,0,0,5,TOR,1,49.75,34.0,34.0,65.5,34.0,34.0,2,2,68,34,34,68,34,34,34,34,34,63,34,34,44.2040722106,MISS,20007,0,8474596,Jake Allen,0,120,86,4,MTL,1,1,130,0.0,0,HIT,0.0,0.0,HOME,-39,39,40,-40,HOMEZONE,0,2,88,0,R,2022,R,William Nylander,8477939.0,36,34,35.2,38.0,34.0,34.5,34.0,34.0,1,4,38,38,34,36,34,34,34,38,34,34,34,34,-12.2647737279,12.2647737279,0.0,0.0,0,23.5372045919,0,0,0,1,0,0,0,0,TIP,0.0,-66,0.0091427,5,-5,
579,30.0,-63.0,63.0,-15.0,15.0,0.0,0,0,0,5,TOR,1,56.75,41.0,41.0,72.5,41.0,41.0,2,2,75,41,41,75,41,41,41,41,41,70,41,41,56.302753041,MISS,20007,0,8474596,Jake Allen,0,120,79,4,MTL,1,1,132,0.0,0,GIVE,0.0,0.0,HOME,-83,83,39,-39,HOMEZONE,0,2,34,0,C,2022,L,Auston Matthews,8479318.0,41,41,42.2,45.0,41.0,41.5,41.0,41.0,1,4,45,45,41,43,41,41,41,45,41,41,41,41,29.2488263365,29.2488263365,0.0,0.0,0,28.6530975638,1,0,0,0,0,0,0,0,SNAP,0.0,-64,0.0197011,-14,14,
