undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
791,54.0,-38.0,38.0,-18.0,18.0,-0.2,0,0,0,5,VAN,0,15.4,19.0,19.0,13.0,13.0,15.4,2,3,19,19,19,18,18,19,9,19,19,9,9,9,16.2788205961,SHOT,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,8,0.0,0,BLOCK,0.0,0.0,AWAY,-52,52,-6,6,HOMEZONE,0,1,23,0,D,2022,L,Oliver Ekman-Larsson,8475171.0,10,10,15.2,10.5,10.5,18.3333333333,18.3333333333,15.2,2,3,19,11,11,19,19,19,10,10,10,17,17,10,19.1336432059,19.1336432059,0.0,0.0,0,51.8652099196,0,1,0,0,0,0,0,0,SLAP,1.0,-40,0.0185067,-17,17,
792,37.0,-71.0,71.0,-32.0,32.0,0.0,0,0,0,5,VAN,0,27.0,39.0,19.0,19.0,19.0,19.0,2,3,39,39,19,19,19,19,19,39,19,19,19,19,52.0864665724,SHOT,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,11,0.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,HOMEZONE,1,1,8,0,R,2022,R,Conor Garland,8478856.0,39,19,35.2,30.5,19.0,38.3333333333,19.0,19.0,2,3,39,31,19,39,19,19,30,30,19,37,19,19,60.4612177404,60.4612177404,0.0,0.0,0,34.4818792991,0,0,0,0,1,0,0,0,WRIST,1.0,-72,0.0127914,-30,30,
793,6.0827625303,-88.0,88.0,6.0,6.0,5.2,0,0,0,5,VAN,0,17.8,19.0,19.0,17.0,17.0,17.8,2,3,19,19,19,18,18,19,15,19,19,15,15,15,46.2276973253,GOAL,20010,1,8475789,Jack Campbell,0,0,0,5,EDM,0,1,15,0.0,0,GIVE,0.0,0.0,HOME,-53,53,35,-35,HOMEZONE,1,1,40,0,C,2022,L,Elias Pettersson,8480012.0,23,23,23.0,23.0,23.0,23.0,23.0,23.0,2,3,23,23,23,23,23,23,23,23,23,23,23,23,-80.537677792,80.537677792,0.0,0.0,0,6.0827625303,0,0,0,0,0,0,0,0,WRIST,1.0,-89,0.188856,6,-6,
794,43.0,-53.0,53.0,-24.0,24.0,-11.4,0,0,0,5,VAN,1,31.2,27.0,27.0,34.0,29.0,28.2,2,3,66,27,27,66,51,51,18,27,27,18,18,18,61.0,GOAL,20010,1,8475789,Jack Campbell,0,0,0,5,EDM,0,1,19,0.0,0,HIT,0.0,0.0,AWAY,-66,66,37,-37,HOMEZONE,0,1,9,0,C,2022,L,J.T. Miller,8476468.0,18,18,16.8,21.0,21.0,14.0,14.0,16.8,2,3,21,21,21,20,20,21,4,21,21,4,4,4,34.0771952801,34.0771952801,0.0,0.0,0,41.0487515035,0,0,0,0,0,0,0,0,SNAP,1.0,-55,0.0252727,-23,23,
796,22.0,-68.0,68.0,8.0,8.0,1.2,0,0,0,5,VAN,2,25.4,22.0,22.0,27.6666666667,24.3333333333,23.4,2,3,42,25,25,42,32,32,17,19,19,17,17,17,15.2315462117,SHOT,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,28,0.0,0,GIVE,0.0,0.0,HOME,-85,85,13,-13,HOMEZONE,1,1,53,0,C,2022,L,Bo Horvat,8477500.0,40,32,31.4,13.5,13.5,43.3333333333,32.0,24.6,2,3,47,14,14,47,32,32,13,13,13,40,32,13,-21.2505055071,21.2505055071,0.0,0.0,0,19.3132079158,0,1,0,0,0,0,0,0,SNAP,1.0,-71,0.139806,7,-7,
797,56.0,-35.0,35.0,-14.0,14.0,0.0,0,0,0,5,VAN,2,6.0,6.0,6.0,6.0,6.0,6.0,2,3,6,6,6,6,6,6,6,6,6,6,6,6,47.4236228055,SHOT,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,31,0.0,0,FAC,0.0,0.0,HOME,-69,69,22,-22,HOMEZONE,0,1,61,0,D,2022,L,Riley Stillman,8479388.0,20,6,11.8,20.5,6.0,6.0,6.0,6.0,2,3,21,21,6,6,6,6,6,20,6,6,6,6,14.0362434679,14.0362434679,0.0,0.0,0,53.600373133,0,0,0,1,0,0,0,0,SNAP,1.0,-37,0.0141251,-13,13,
798,16.0,-78.0,78.0,12.0,12.0,6.75,0,0,0,5,VAN,2,53.5,40.5,40.5,66.5,54.0,47.25,2,2,79,54,54,79,54,54,27,27,27,54,54,27,33.8378486314,SHOT,20010,0,8475789,Jack Campbell,0,120,66,4,EDM,0,1,35,0.0,0,FAC,0.0,0.0,AWAY,-69,69,-22,22,HOMEZONE,1,1,40,0,C,2022,L,Elias Pettersson,8480012.0,79,54,65.2,54.0,54.0,68.0,54.0,54.0,1,4,79,54,54,79,54,54,54,54,54,54,54,54,-48.0127875042,48.0127875042,0.0,0.0,0,13.4536240471,0,0,0,0,1,0,0,0,WRIST,1.0,-80,0.0118993,10,-10,
800,9.48683298051,-86.0,86.0,-9.0,9.0,10.2,0,0,0,5,VAN,2,19.6,31.0,29.0,12.0,12.0,18.8,2,3,33,33,29,19,19,29,1,29,29,1,1,1,138.452157802,MISS,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,39,0.0,0,MISS,0.0,0.0,HOME,51,-51,-29,29,HOMEZONE,0,1,70,2,L,2022,L,Tanner Pearson,8476871.0,64,29,62.8,65.0,29.0,62.25,29.0,29.0,1,4,65,65,29,64,29,29,60,65,29,60,29,29,71.5650511771,71.5650511771,0.0,0.0,0,9.48683298051,0,0,0,0,1,0,0,0,WRIST,0.0,-86,0.0822198,-9,9,
804,28.0,-70.0,70.0,20.0,20.0,-6.0,0,0,0,5,VAN,2,56.0,56.0,35.0,56.0,35.0,35.0,2,3,60,60,35,59,35,35,51,52,35,51,35,35,146.563979204,MISS,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,51,0.0,0,FAC,0.0,0.0,AWAY,69,-69,-22,22,HOMEZONE,1,1,21,0,L,2022,L,Nils Hoglander,8481535.0,22,22,29.0,35.0,35.0,25.0,25.0,29.0,2,3,35,35,35,28,28,35,22,35,35,22,22,22,-46.6365770416,46.6365770416,0.0,0.0,0,24.7588368063,0,0,0,1,0,0,0,0,SNAP,0.0,-72,0.0608811,18,-18,
805,33.0,-60.0,60.0,-16.0,16.0,-22.4,0,0,0,5,VAN,2,35.4,38.0,38.0,33.6666666667,33.6666666667,35.4,2,3,38,38,38,38,38,38,26,38,38,26,26,26,117.618025829,SHOT,20010,0,8475789,Jack Campbell,0,0,0,5,EDM,0,1,55,0.0,0,HIT,0.0,0.0,HOME,42,-42,38,-38,HOMEZONE,0,1,70,0,L,2022,L,Tanner Pearson,8476871.0,46,46,13.0,5.5,5.5,18.0,18.0,13.0,2,3,46,6,6,46,46,46,4,5,5,4,4,4,29.9816393688,29.9816393688,0.0,0.0,0,30.0166620396,0,0,0,0,1,0,0,0,WRIST,1.0,-63,0.0358475,-15,15,
