undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
252,12.7279220614,80.0,80.0,9.0,9.0,-39.75,0,120,65,4,VGK,0,81.6,77.0,55.0,82.75,55.0,55.0,1,4,89,77,55,89,55,55,77,77,55,77,55,55,152.190669885,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,15,0.0,0,FAC,0.0,0.0,HOME,-69,-69,-22,-22,HOMEZONE,1,1,61,0,R,2022,R,Mark Stone,8475913.0,27,27,15.25,3.5,3.5,27.0,27.0,15.25,2,2,27,4,4,27,27,27,3,3,3,27,27,3,45.0,45.0,0.0,0.0,0,12.7279220614,0,1,0,0,0,0,0,0,BACK,1.0,80,0.0604035,9,9,
254,15.0,77.0,77.0,-9.0,9.0,-7.0,0,0,0,5,VGK,0,42.4,50.0,37.0,37.3333333333,29.0,32.2,2,3,54,54,37,50,37,37,13,46,37,13,13,13,48.1040538832,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,27,0.0,0,GIVE,0.0,0.0,HOME,42,42,24,24,HOMEZONE,0,1,2,0,D,2022,R,Zach Whitecloud,8480727.0,8,8,30.4,7.5,7.5,45.6666666667,37.0,25.2,2,3,51,8,8,51,37,37,7,7,7,37,37,7,-36.8698976458,36.8698976458,0.0,0.0,0,15.0,0,1,0,0,0,0,0,0,WRIST,1.0,77,0.0910215,-9,-9,
255,7.07106781187,84.0,84.0,-5.0,5.0,0.0,0,0,0,5,VGK,0,14.4,16.5,13.0,13.0,13.0,13.0,2,3,20,20,13,13,13,13,13,13,13,13,13,13,36.3455636908,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,36,0.0,0,HIT,0.0,0.0,HOME,89,89,31,31,HOMEZONE,0,1,8,0,C,2022,R,Phil Kessel,8473548.0,13,13,13.0,13.0,13.0,13.0,13.0,13.0,2,3,13,13,13,13,13,13,13,13,13,13,13,13,-45.0,45.0,0.0,0.0,0,7.07106781187,0,0,0,0,1,0,0,0,BACK,1.0,84,0.12876,-5,-5,
257,56.6127194189,35.0,35.0,17.0,17.0,0.0,0,0,0,5,VGK,0,46.4,48.5,45.0,45.0,45.0,45.0,2,3,52,52,45,45,45,45,45,45,45,45,45,45,112.01785572,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,38,0.0,0,MISS,0.0,0.0,HOME,-77,-77,15,15,HOMEZONE,0,1,19,12,R,2022,L,Reilly Smith,8475191.0,45,45,45.0,45.0,45.0,45.0,45.0,45.0,2,3,45,45,45,45,45,45,45,45,45,45,45,45,17.4747742563,17.4747742563,0.0,0.0,0,56.6127194189,0,1,0,0,0,0,0,0,WRIST,1.0,35,0.0124569,17,17,
259,35.4400902933,55.0,55.0,10.0,10.0,-8.4,0,0,0,5,VGK,0,43.4,54.5,54.5,36.0,36.0,43.4,2,3,99,99,99,43,43,99,10,10,10,28,28,10,32.8937684068,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,48,0.0,0,HIT,0.0,0.0,HOME,66,66,41,41,HOMEZONE,0,1,3,0,D,2022,L,Brayden McNabb,8475188.0,34,34,35.0,35.0,35.0,35.0,35.0,35.0,2,3,38,36,36,38,38,38,30,34,34,30,30,30,16.389540334,16.389540334,0.0,0.0,0,35.4400902933,0,0,0,0,0,1,0,0,DEFL,1.0,55,0.0351973,10,10,
260,57.8013840665,39.0,39.0,29.0,29.0,0.0,0,0,0,5,VGK,0,29.4,10.5,5.0,42.0,5.0,5.0,2,3,49,16,5,49,5,5,5,5,5,34,5,5,30.8058436015,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,51,0.0,0,FAC,0.0,0.0,AWAY,69,69,22,22,HOMEZONE,0,1,3,0,D,2022,L,Brayden McNabb,8475188.0,40,5,19.4,41.0,5.0,5.0,5.0,5.0,2,3,42,42,5,5,5,5,5,40,5,5,5,5,30.113733151,30.113733151,0.0,0.0,0,57.8013840665,0,0,0,1,0,0,0,0,WRIST,1.0,39,0.00854639,29,29,
261,29.0688837075,63.0,63.0,-13.0,13.0,11.2,0,0,0,5,VGK,0,13.8,14.0,14.0,13.6666666667,13.6666666667,13.8,2,3,16,14,14,16,16,16,12,14,14,12,12,12,10.8166538264,MISS,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,0,0,55,0.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,HOMEZONE,0,1,8,0,C,2022,R,Phil Kessel,8473548.0,25,25,25.0,25.0,25.0,25.0,25.0,25.0,2,3,25,25,25,25,25,25,25,25,25,25,25,25,-26.5650511771,26.5650511771,0.0,0.0,0,29.0688837075,0,0,0,0,1,0,0,0,WRIST,0.0,63,0.0557547,-13,-13,
271,81.1541742611,-14.0,14.0,-31.0,31.0,-1.0,0,0,0,5,VGK,0,30.4,35.5,35.5,27.0,27.0,30.4,2,3,36,36,36,35,35,36,13,35,35,13,13,13,72.1803297305,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,86,0.0,0,HIT,0.0,0.0,AWAY,-1,1,40,-40,Neu. Zone,1,1,81,0,C,2022,R,Jonathan Marchessault,8476539.0,36,36,29.4,14.0,14.0,39.6666666667,39.6666666667,29.4,2,3,49,27,27,49,49,49,1,1,1,34,34,1,22.4569389999,22.4569389999,0.0,0.0,0,81.1541742611,0,1,0,0,0,0,0,0,WRIST,1.0,-14,0.00567831,-31,31,
272,23.8537208838,69.0,69.0,-13.0,13.0,-43.8,0,0,0,5,VGK,0,68.4,73.0,73.0,65.3333333333,60.6666666667,65.6,2,3,108,80,80,108,94,94,7,66,66,7,7,7,27.2946881279,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,94,0.0,0,HIT,0.0,0.0,HOME,45,45,-26,-26,HOMEZONE,0,1,9,0,C,2022,R,Jack Eichel,8478403.0,24,24,21.8,28.5,28.5,17.3333333333,17.3333333333,21.8,2,3,54,54,54,24,24,54,3,3,3,11,11,3,-33.0238675558,33.0238675558,0.0,0.0,0,23.8537208838,0,1,0,0,0,0,0,0,SNAP,1.0,69,0.0641052,-13,-13,
273,21.0237960416,70.0,70.0,9.0,9.0,-5.0,0,0,0,5,VGK,0,29.0,29.0,29.0,29.0,29.0,29.0,2,3,29,29,29,29,29,29,29,29,29,29,29,29,31.0161248385,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,97,0.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,HOMEZONE,1,1,9,0,C,2022,R,Jack Eichel,8478403.0,54,29,46.0,44.0,16.5,47.3333333333,29.0,24.0,2,3,84,84,29,54,29,29,4,4,4,41,29,4,25.3461759419,25.3461759419,0.0,0.0,0,21.0237960416,1,0,0,0,0,0,0,0,SNAP,1.0,70,0.0936761,9,9,
274,12.6491106407,77.0,77.0,4.0,4.0,-5.0,0,0,0,5,VGK,0,31.0,31.0,31.0,31.0,31.0,31.0,2,3,31,31,31,31,31,31,31,31,31,31,31,31,8.60232526704,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,98,0.0,0,SHOT,25.3461759419,21.0237960416,AWAY,70,70,9,9,HOMEZONE,0,1,19,9,R,2022,L,Reilly Smith,8475191.0,43,31,48.0,46.0,18.5,49.3333333333,31.0,26.0,2,3,86,86,31,56,31,31,6,6,6,43,31,6,18.4349488229,18.4349488229,6.91122711902,3.45561355951,0,12.6491106407,0,0,0,1,0,0,1,0,BACK,1.0,77,0.209593,4,4,
275,44.72135955,49.0,49.0,-20.0,20.0,-5.0,0,0,0,5,VGK,0,40.0,40.0,40.0,40.0,40.0,40.0,2,3,40,40,40,40,40,40,40,40,40,40,40,40,36.8781778292,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,99,0.0,0,SHOT,18.4349488229,12.6491106407,AWAY,77,77,4,4,HOMEZONE,0,1,9,19,C,2022,R,Jack Eichel,8478403.0,65,40,57.0,55.0,27.5,58.3333333333,40.0,35.0,2,3,95,95,40,65,40,40,15,15,15,52,40,15,-26.5650511771,26.5650511771,45.0,5.0,1,44.72135955,0,1,0,0,0,0,0,0,WRIST,1.0,49,0.0156913,-20,-20,
276,56.4358042381,40.0,40.0,-28.0,28.0,0.0,0,0,0,5,VGK,0,5.0,5.0,5.0,5.0,5.0,5.0,2,3,5,5,5,5,5,5,5,5,5,5,5,5,29.6141857899,SHOT,20004,0,8471734,Jonathan Quick,0,0,0,5,LAK,1,0,102,0.0,0,FAC,0.0,0.0,AWAY,69,69,-22,-22,HOMEZONE,0,1,81,0,C,2022,R,Jonathan Marchessault,8476539.0,5,5,8.2,13.0,5.0,5.0,5.0,5.0,2,3,21,21,5,5,5,5,5,5,5,5,5,5,-29.7448812969,29.7448812969,0.0,0.0,0,56.4358042381,0,0,0,1,0,0,0,0,SNAP,1.0,40,0.0115705,-28,-28,
