undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
1909,15.0,-76.0,76.0,7.0,7.0,-11.8,0,0,0,5,NYR,0,24.6,28.5,28.5,22.0,22.0,24.6,2,3,29,29,29,27,27,29,19,28,28,19,19,19,31.3209195267,SHOT,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,8,1.0,0,GIVE,0.0,0.0,AWAY,-68,68,36,-36,AWAYZONE,1,1,36,0,C,2022,L,Morgan Barron,8480289.0,17,17,12.8,5.5,5.5,17.6666666667,17.6666666667,12.8,2,3,19,9,9,19,19,19,2,2,2,17,17,2,-26.5650511771,26.5650511771,0.0,0.0,0,13.416407865,0,0,0,1,0,0,0,0,WRIST,1.0,-77,0.207914,6,-6,
1910,69.0,-27.0,27.0,31.0,31.0,-11.8,0,0,0,5,NYR,0,53.6,57.5,57.5,51.0,51.0,53.6,2,3,58,58,58,56,56,58,48,57,57,48,48,48,26.0,SHOT,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,11,1.0,0,HIT,0.0,0.0,AWAY,-54,54,40,-40,AWAYZONE,0,1,4,0,D,2022,R,Neal Pionk,8480145.0,31,31,41.8,34.5,34.5,46.6666666667,46.6666666667,41.8,2,3,48,38,38,48,48,48,31,31,31,46,46,31,-26.9521789312,26.9521789312,0.0,0.0,0,66.1891229735,0,0,0,0,1,0,0,0,SLAP,1.0,-30,0.0158112,30,-30,
1912,50.0,-41.0,41.0,14.0,14.0,-0.8,0,0,0,5,NYR,0,21.8,36.0,36.0,12.3333333333,12.3333333333,21.8,2,3,37,37,37,15,15,37,10,35,35,10,10,10,52.3450093132,SHOT,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,15,1.0,0,HIT,0.0,0.0,HOME,-35,35,-38,38,AWAYZONE,0,1,26,0,R,2022,R,Blake Wheeler,8471218.0,15,15,21.0,17.0,17.0,23.6666666667,23.6666666667,21.0,2,3,39,17,17,39,39,39,15,17,17,15,15,15,-16.2602047083,16.2602047083,0.0,0.0,0,50.0,0,0,0,1,0,0,0,0,WRIST,1.0,-41,0.0154734,14,-14,
1913,46.0,-46.0,46.0,17.0,17.0,-9.8,0,0,0,5,NYR,0,38.8,53.0,53.0,29.3333333333,29.3333333333,38.8,2,3,54,54,54,32,32,54,27,52,52,27,27,27,64.6606526413,SHOT,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,19,1.0,0,HIT,0.0,0.0,HOME,-96,96,-24,24,AWAYZONE,0,1,26,0,R,2022,R,Blake Wheeler,8471218.0,32,32,29.0,34.0,34.0,25.6666666667,25.6666666667,29.0,2,3,34,34,34,34,34,34,11,34,34,11,11,11,-21.5713071913,21.5713071913,0.0,0.0,0,46.2385120868,0,0,0,0,1,0,0,0,WRIST,1.0,-46,0.0214925,17,-17,
1914,30.0,-80.0,80.0,-29.0,29.0,-22.4,0,0,0,5,NYR,0,40.6,49.5,49.5,34.6666666667,34.6666666667,40.6,2,3,60,60,60,56,56,60,8,39,39,8,8,8,151.558569537,MISS,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,23,1.0,0,HIT,0.0,0.0,AWAY,70,-70,-40,40,AWAYZONE,0,1,27,0,L,2022,L,Nikolaj Ehlers,8477940.0,21,21,18.2,18.0,18.0,18.3333333333,18.3333333333,18.2,2,3,21,20,20,21,21,21,16,16,16,16,16,16,73.4956386182,73.4956386182,0.0,0.0,0,28.1602556807,0,0,0,1,0,0,0,0,WRIST,0.0,-81,0.0141833,-27,27,
1915,67.0,-30.0,30.0,32.0,32.0,-22.4,0,0,0,5,NYR,0,44.6,53.5,53.5,38.6666666667,38.6666666667,44.6,2,3,64,64,64,60,60,64,12,43,43,12,12,12,73.8782782691,SHOT,20023,0,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,24,1.0,0,MISS,73.4956386182,28.1602556807,HOME,-81,81,-27,27,AWAYZONE,0,1,4,27,D,2022,R,Neal Pionk,8480145.0,20,20,22.2,22.0,22.0,22.3333333333,22.3333333333,22.2,2,3,25,24,24,25,25,25,20,20,20,20,20,20,-28.610459666,28.610459666,102.106098284,25.5265245711,1,62.6498204307,0,1,0,0,0,0,0,0,WRIST,1.0,-34,0.0178889,30,-30,
1919,15.0,-78.0,78.0,-11.0,11.0,0.0,0,120,96,4,NYR,0,24.0,24.0,24.0,24.0,24.0,24.0,2,2,24,24,24,24,24,24,24,24,24,24,24,24,142.790055676,SHOT,20023,0,8470860,Jaroslav Halak,0,120,52,4,WPG,0,1,42,1.0,0,BLOCK,0.0,0.0,AWAY,62,-62,6,-6,AWAYZONE,1,1,55,0,C,2022,R,Mark Scheifele,8476460.0,24,24,24.0,24.0,24.0,24.0,24.0,24.0,2,2,24,24,24,24,24,24,24,24,24,24,24,24,45.0,45.0,45.0,4.5,0,12.7279220614,0,0,0,0,1,0,0,0,BACK,1.0,-80,0.0465297,-9,9,
1920,34.0,-59.0,59.0,15.0,15.0,-10.25,0,120,76,4,NYR,0,44.0,44.0,44.0,44.0,44.0,44.0,2,2,44,44,44,44,44,44,44,44,44,44,44,44,31.8904374382,SHOT,20023,0,8470860,Jaroslav Halak,0,120,32,4,WPG,0,1,43,1.0,0,SHOT,45.0,12.7279220614,HOME,-80,80,-9,9,AWAYZONE,1,1,81,55,L,2022,L,Kyle Connor,8478398.0,44,44,33.75,23.5,23.5,44.0,44.0,33.75,2,2,44,44,44,44,44,44,3,3,3,44,44,3,-26.5650511771,26.5650511771,71.5650511771,3.57825255885,1,33.5410196625,0,0,0,1,0,0,0,0,SNAP,1.0,-59,0.0594132,15,-15,
1921,42.0,-52.0,52.0,-20.0,20.0,-23.5,0,120,59,4,NYR,0,61.0,61.0,61.0,61.0,61.0,61.0,2,2,61,61,61,61,61,61,61,61,61,61,61,61,17.8044938148,SHOT,20023,0,8470860,Jaroslav Halak,0,120,15,4,WPG,0,1,45,1.0,0,BLOCK,0.0,0.0,HOME,-63,63,-6,6,AWAYZONE,1,1,55,0,C,2022,R,Mark Scheifele,8476460.0,61,61,37.5,14.0,14.0,61.0,61.0,37.5,2,2,61,20,20,61,61,61,8,8,8,61,61,8,28.3930194214,28.3930194214,0.0,0.0,0,42.0594816896,0,0,0,1,0,0,0,0,WRIST,1.0,-52,0.0270801,-20,20,
1923,26.0,-64.0,64.0,-6.0,6.0,-4.2,0,0,0,5,NYR,0,17.6,19.5,19.5,16.3333333333,16.3333333333,17.6,2,3,22,22,22,17,17,22,15,17,17,15,15,15,44.5533388199,GOAL,20023,1,8470860,Jaroslav Halak,0,0,0,5,WPG,0,1,56,1.0,0,GIVE,0.0,0.0,AWAY,-59,59,39,-39,AWAYZONE,1,1,55,0,C,2022,R,Mark Scheifele,8476460.0,16,16,13.4,11.0,11.0,15.0,15.0,13.4,2,3,16,16,16,16,16,16,6,6,6,13,13,6,12.2647737279,12.2647737279,0.0,0.0,0,23.5372045919,0,0,0,0,0,0,0,0,WRIST,1.0,-66,0.0793778,-5,5,
