undefinedshotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,xCord,xGoal,yCord,yCordAdjusted,
354,57.0,-38.0,38.0,-25.0,25.0,0.0,0,0,0,5,BOS,0,20.2,20.0,20.0,20.3333333333,20.0,20.0,2,3,21,20,20,21,20,20,20,20,20,20,20,20,62.0322496771,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,10,1.0,0,HIT,0.0,0.0,HOME,-96,96,-3,3,AWAYZONE,0,1,9,0,D,2022,L,Dmitry Orlov,8475200.0,20,20,20.0,20.0,20.0,20.0,20.0,20.0,2,3,20,20,20,20,20,20,20,20,20,20,20,20,26.1139126303,26.1139126303,0.0,0.0,0,56.7978872847,0,0,0,1,0,0,0,0,SNAP,1.0,-38,0.0154257,-25,25,
356,86.0,-3.0,3.0,-0.0,0.0,2.2,0,0,0,5,BOS,0,8.8,11.0,11.0,7.33333333333,7.33333333333,8.8,2,3,11,11,11,9,9,11,4,11,11,4,4,4,8.24621125124,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,14,1.0,0,SHOT,0.0,0.0,AWAY,-9,9,2,-2,Neu. Zone,0,1,9,74,D,2022,L,Dmitry Orlov,8475200.0,40,40,11.0,20.0,20.0,5.0,5.0,11.0,2,3,40,40,40,8,8,40,0,0,0,3,3,0,0.0,0.0,0.0,0.0,0,88.0,0,0,0,1,0,0,0,0,BACK,1.0,-1,0.00685899,0,0,
357,15.0,-75.0,75.0,5.0,5.0,0.0,0,0,0,5,BOS,0,17.0,26.0,11.0,11.0,11.0,11.0,2,3,26,26,11,11,11,11,11,26,11,11,11,11,43.4165866922,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,18,1.0,0,GIVE,0.0,0.0,AWAY,-42,42,32,-32,AWAYZONE,1,1,39,0,R,2022,L,Anthony Mantha,8477511.0,23,11,17.6,14.0,11.0,20.0,11.0,11.0,2,3,23,15,11,23,11,11,13,13,11,18,11,11,-21.0375110254,21.0375110254,0.0,0.0,0,13.9283882772,0,0,0,1,0,0,0,0,TIP,1.0,-76,0.130126,5,-5,
358,32.0,-84.0,84.0,32.0,32.0,-13.0,0,0,0,5,BOS,0,44.0,48.0,48.0,41.3333333333,41.3333333333,44.0,2,3,73,48,48,73,73,73,25,48,48,25,25,25,70.2281994643,MISS,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,22,1.0,0,HIT,0.0,0.0,HOME,-60,60,-36,36,AWAYZONE,0,1,77,0,R,2022,R,T.J. Oshie,8471698.0,27,27,31.0,38.0,38.0,26.3333333333,26.3333333333,31.0,2,3,38,38,38,27,27,38,26,38,38,26,26,26,-80.537677792,80.537677792,0.0,0.0,0,30.4138126515,0,0,0,1,0,0,0,0,SNAP,0.0,-84,0.0205521,30,-30,
359,24.0,-81.0,81.0,23.0,23.0,21.5,0,120,71,4,BOS,0,27.5,34.5,34.5,20.5,20.5,27.5,2,2,49,49,49,21,21,49,20,20,20,20,20,20,28.1602556807,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,29,1.0,0,BLOCK,0.0,0.0,HOME,-74,74,-6,6,AWAYZONE,1,1,92,0,C,2022,L,Evgeny Kuznetsov,8475744.0,49,49,56.6,49.0,49.0,58.5,49.0,49.0,1,4,87,49,49,87,49,49,49,49,49,49,49,49,-71.5650511771,71.5650511771,0.0,0.0,0,22.1359436212,0,0,0,1,0,0,0,0,WRIST,1.0,-82,0.0775171,21,-21,
360,56.0,-35.0,35.0,-14.0,14.0,0.0,0,120,25,4,BOS,0,25.0,25.0,25.0,25.0,25.0,25.0,2,2,25,25,25,25,25,25,25,25,25,25,25,25,21.0,MISS,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,33,1.0,0,BLOCK,0.0,0.0,HOME,-56,56,-14,14,AWAYZONE,0,1,9,0,D,2022,L,Dmitry Orlov,8475200.0,25,25,25.0,25.0,25.0,25.0,25.0,25.0,2,3,25,25,25,25,25,25,25,25,25,25,25,25,14.5344550805,14.5344550805,0.0,0.0,0,55.7853027239,0,0,0,1,0,0,0,0,SNAP,0.0,-35,0.0352881,-14,14,
361,16.0,-75.0,75.0,8.0,8.0,0.0,0,120,15,4,BOS,0,35.0,35.0,35.0,35.0,35.0,35.0,2,2,35,35,35,35,35,35,35,35,35,35,35,35,46.0651712251,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,34,1.0,0,MISS,14.5344550805,55.7853027239,HOME,-35,35,-14,14,AWAYZONE,0,1,28,9,R,2022,R,Connor Brown,8477015.0,35,35,35.0,35.0,35.0,35.0,35.0,35.0,2,3,35,35,35,35,35,35,35,35,35,35,35,35,-28.300755766,28.300755766,42.8352108465,4.28352108465,1,14.7648230602,0,0,0,1,0,0,0,0,SNAP,1.0,-76,0.126493,7,-7,
366,27.0,94.0,94.0,23.0,23.0,-1.5,0,0,0,5,BOS,0,50.6,25.0,8.0,57.0,8.0,8.0,1,4,102,25,8,102,8,8,25,25,8,25,8,8,51.4781507049,SHOT,20005,0,8476999,Linus Ullmark,0,120,95,4,WSH,0,0,53,1.0,0,FAC,0.0,0.0,HOME,69,69,-22,-22,HOMEZONE,0,1,73,0,L,2022,L,Conor Sheary,8477839.0,25,8,56.25,99.0,8.0,13.5,5.0,6.5,2,2,109,109,8,25,8,8,2,89,8,2,2,2,77.7352262721,77.7352262721,0.0,0.0,0,23.5372045919,0,0,0,0,1,0,0,0,WRIST,1.0,94,0.01,23,23,
371,35.0,-72.0,72.0,31.0,31.0,-3.6,0,0,0,5,BOS,1,31.0,27.0,27.0,33.6666666667,19.6666666667,22.6,2,3,48,27,27,48,27,27,5,27,27,5,5,5,37.2155881319,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,72,1.0,0,TAKE,0.0,0.0,HOME,-36,36,33,-33,AWAYZONE,0,1,3,0,D,2022,R,Nick Jensen,8475324.0,7,7,23.2,7.0,7.0,34.0,27.0,19.0,2,3,34,7,7,34,27,27,7,7,7,34,27,7,-61.1134182331,61.1134182331,0.0,0.0,0,33.1209903234,0,0,0,1,0,0,0,0,SNAP,1.0,-73,0.0276583,29,-29,
372,13.0,-77.0,77.0,4.0,4.0,-3.6,0,0,0,5,BOS,1,36.0,32.0,32.0,38.6666666667,24.6666666667,27.6,2,3,53,32,32,53,32,32,10,32,32,10,10,10,25.495097568,MISS,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,73,1.0,0,SHOT,-61.1134182331,33.1209903234,HOME,-73,73,29,-29,AWAYZONE,0,1,77,3,R,2022,R,T.J. Oshie,8471698.0,39,32,28.2,12.0,12.0,39.0,32.0,24.0,2,3,39,12,12,39,32,32,12,12,12,39,32,12,-19.9831065219,19.9831065219,41.1303117112,8.22606234224,0,11.7046999107,0,0,0,1,0,0,0,0,WRIST,0.0,-78,0.102384,4,-4,
373,61.0,-34.0,34.0,27.0,27.0,-3.6,0,0,0,5,BOS,1,41.0,37.0,37.0,43.6666666667,29.6666666667,32.6,2,3,58,37,37,58,37,37,15,37,37,15,15,15,49.6487663492,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,74,1.0,0,MISS,-19.9831065219,11.7046999107,HOME,-78,78,4,-4,AWAYZONE,1,1,90,77,L,2022,L,Marcus Johansson,8475149.0,44,37,33.2,17.0,17.0,44.0,37.0,29.0,2,3,44,17,17,44,37,37,17,17,17,44,37,17,-26.1468412356,26.1468412356,6.16373471368,1.23274694274,0,61.2698947282,0,0,0,1,0,0,0,0,SLAP,1.0,-34,0.0177236,27,-27,
374,27.0,-62.0,62.0,4.0,4.0,-3.6,0,0,0,5,BOS,1,47.0,43.0,43.0,49.6666666667,35.6666666667,38.6,2,3,64,43,43,64,43,43,21,43,43,21,21,21,38.6005181312,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,75,1.0,0,SHOT,-26.1468412356,61.2698947282,HOME,-34,34,27,-27,AWAYZONE,1,1,90,90,L,2022,L,Marcus Johansson,8475149.0,50,43,39.2,23.0,23.0,50.0,43.0,35.0,2,3,50,23,23,50,43,43,23,23,23,50,43,23,-9.46232220803,9.46232220803,16.6845190276,2.78075317126,0,24.3310501212,0,0,0,0,1,0,0,0,SNAP,1.0,-65,0.079576,4,-4,
377,70.0,-22.0,22.0,20.0,20.0,-12.6,0,0,0,5,BOS,1,31.6,31.0,31.0,32.0,32.0,31.6,2,3,33,32,32,33,33,33,30,30,30,31,31,30,77.4919350642,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,83,1.0,0,MISS,0.0,0.0,AWAY,51,-51,-6,6,Neu. Zone,1,1,59,37,C,2022,L,Aliaksei Protas,8481656.0,30,30,19.0,1.5,1.5,30.6666666667,30.6666666667,19.0,2,3,31,2,2,31,31,31,1,1,1,30,30,1,-16.6207569139,16.6207569139,0.0,0.0,0,69.9213844257,0,0,0,0,1,0,0,0,WRIST,1.0,-22,0.00741091,20,-20,
380,15.0,-74.0,74.0,2.0,2.0,0.0,0,0,0,5,BOS,1,60.4,59.5,58.0,61.0,58.0,58.0,2,3,63,61,58,63,58,58,58,58,58,58,58,58,21.5406592285,MISS,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,94,1.0,0,HIT,0.0,0.0,AWAY,-95,95,-6,6,AWAYZONE,1,1,90,0,L,2022,L,Marcus Johansson,8475149.0,58,58,64.6,74.5,58.0,58.0,58.0,58.0,2,3,75,75,58,58,58,58,58,74,58,58,58,58,-8.13010235416,8.13010235416,0.0,0.0,0,14.1421356237,0,0,0,0,1,0,0,0,TIP,0.0,-75,0.0933228,2,-2,
384,54.0,-41.0,41.0,-25.0,25.0,0.0,0,0,0,5,BOS,2,48.8,45.0,37.0,51.3333333333,37.0,37.0,2,3,55,46,37,55,37,37,44,44,37,46,37,37,77.4661216275,MISS,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,112,1.0,0,HIT,0.0,0.0,HOME,-90,90,35,-35,AWAYZONE,0,1,56,0,D,2022,L,Erik Gustafsson,8476979.0,56,37,46.4,46.5,37.0,46.3333333333,37.0,37.0,2,3,56,56,37,56,37,37,37,37,37,37,37,37,27.5120026239,27.5120026239,0.0,0.0,0,54.1202365109,0,0,0,1,0,0,0,0,SNAP,0.0,-41,0.0157804,-25,25,
386,48.0,-51.0,51.0,-29.0,29.0,44.0,0,120,39,4,BOS,2,37.0,37.5,37.5,36.5,36.5,37.0,2,2,38,38,38,37,37,38,36,37,37,36,36,36,50.1597448159,SHOT,20005,0,8476999,Linus Ullmark,0,0,0,5,WSH,0,0,122,1.0,0,HIT,0.0,0.0,AWAY,-96,96,-10,10,AWAYZONE,1,1,8,0,L,2022,R,Alex Ovechkin,8471214.0,99,81,92.6,95.0,81.0,92.0,81.0,81.0,1,4,107,95,81,107,81,81,81,95,81,81,81,81,37.5685920288,37.5685920288,0.0,0.0,0,49.2036584006,0,0,0,0,1,0,0,0,SLAP,1.0,-50,0.0375499,-30,30,
