playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2022,Ilya Lyubushkin,BUF,D,other,65,960,21,7.27,0.63,0.49,0.26,0.46,0.24,0.44,91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,0,11,0,3,5,13,0,0,3042,0,0,0,3,6.01,3.44,3.35,3.44,3.35,6,3,3,12,4,1,0,2,1,6,0.06,0.15,3.23,0,1,3,12,9,9,0.08,0.27,0.27,3.25,3.25,3.17,20.06,2.01,1.9,2.01,1.9,21,8,6,35,5,1,0,18,11,0,0.8,1.2,0,2,3,0,35,29,29,0.54,0.02,0.02,2.52,2.52,2.39,10.31,10.64,71,83,0,0,0,0,0,0
8480950,2022,Ilya Lyubushkin,BUF,D,all,65,58054,1400,11.07,0.39,0.51,0.42,0.53,0.41,0.52,317,35.78,1.31,1.74,9.9,1.15,19.54,16.35,1.29,1.29,1.27,6,6,41,9,26,76,14,2,0,0,8,1,18,21,39,48,19,38,0,96,25,19,48,2,0,1.04,0.28,0,1,1,0,74.58,50,49.26,14,0.35,0,0.02,1.64,1.61,1.58,1400,99,251,211,839,204,182,170,844,0,0,178849,38,20,10,94,418.4,41.61,39.74,41.26,39.44,417,151,192,760,37,49,4,412,112,44,13.37,14.33,13.9,12,15,10,757.26,568,564.39,5.62,10.31,10.31,36.91,36.76,36.25,605.82,64.4,61.49,64.5,61.61,605,220,227,1052,70,72,13,564,189,72,16.07,23.13,25.2,17,22,31,1053.59,825,826.66,10.26,14.63,14.34,60.32,60.52,58.53,175.03,166.38,2980,2617,0,0,0,0,0,0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,65,49358,1190,11.07,0.46,0.48,0.48,0.52,0.47,0.51,328,34.35,1.13,1.68,9.72,1.1,19.14,15.23,1.11,1.11,1.08,4,6,39,9,26,74,11,1,0,0,8,1,17,21,38,47,17,34,0,80,20,18,47,1,0,1.02,0.11,0,1,0,0,72.58,48,47.26,13,0.33,0,0.02,1.44,1.41,1.38,1190,96,149,195,750,195,146,142,707,0,0,145441,34,16,8,74,389.06,35.1,33.41,34.74,33.1,383,146,186,715,29,45,3,394,100,35,12.77,12.54,9.79,12,11,6,712.26,529,525.39,5.25,9.22,9.22,31.12,30.96,30.54,436.05,41.75,40.03,41.85,40.15,437,156,185,778,37,54,9,411,139,43,12.3,17.33,12.12,13,14,10,779.59,593,594.66,6.1,11.63,11.34,36.51,36.71,35.92,110.71,117.71,2290,2132,5.09,0.39,108,12,84,9
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,65,7652,185,9.6,0.13,0.18,0.12,0.18,0.13,0.2,121,0.67,0.01,0.02,0.1,0.02,0.23,0.62,0.01,0.01,0.01,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,2,4,0,13,5,1,1,0,0,0.01,0,0,0,0,0,1,1,1,1,0,0,0,0.02,0.02,0.02,185,1,92,16,76,9,33,23,120,0,0,7373,4,0,0,0,21.89,2.83,2.75,2.83,2.75,27,1,3,31,3,3,1,15,10,3,0.48,1.47,0.88,0,2,1,31,28,28,0.27,0.82,0.82,2.27,2.27,2.27,143.77,19.69,18.8,19.69,18.8,141,54,34,229,27,17,4,131,36,28,2.92,4.25,12.52,2,5,20,229,195,195,3.49,2.98,2.98,20.2,20.2,19.36,3.26,15.03,46,211,0.9,0,10,1,8,0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,65,84,4,-1.62,0,0.79,0,0.84,0,0.81,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,4,0,0,1995,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.01,0.01,0.01,0.01,1,0,0,1,0,0,0,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0,0,0.01,0.01,0.01,4.31,1.16,59,11,0,0,0,0,0,0
8477520,2022,Jean-Sebastien Dea,ARI,C,other,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477520,2022,Jean-Sebastien Dea,ARI,C,all,4,2268,57,-0.98,0.46,0.44,0.38,0.44,0.37,0.43,43,2.05,0.35,0.21,0.49,0.09,1.09,0.77,0.35,0.33,0.33,0,0,1,2,1,4,0,0,1,0,0,0,2,0,1,3,0,0,1,3,1,0,0,3,0,0,0.35,0,0,0,0,3.71,3,2.8,0,0.04,0.41,0,0.4,0.37,0.37,57,3,7,9,38,8,12,5,32,1,2,12155,0,2,1,1,16,1.97,1.89,1.9,1.81,15,7,8,30,1,3,1,13,7,2,0.32,0.94,0.71,0,0,1,28.69,22,21.2,0.24,0.79,0.79,1.42,1.36,1.34,27.34,2.35,2.33,2.59,2.57,25,12,12,49,3,1,0,25,10,2,0.69,1.22,0.45,0,3,0,54.26,37,40.52,0.37,0.03,0.03,2.69,2.96,2.94,10.46,13.57,177,229,0,0,0,0,0,0
8477520,2022,Jean-Sebastien Dea,ARI,C,5on5,4,2268,57,-0.98,0.46,0.45,0.38,0.44,0.37,0.43,42,2.05,0.35,0.21,0.49,0.09,1.09,0.77,0.35,0.33,0.33,0,0,1,2,1,4,0,0,1,0,0,0,2,0,1,3,0,0,1,3,1,0,0,3,0,0,0.35,0,0,0,0,3.71,3,2.8,0,0.04,0.41,0,0.4,0.37,0.37,57,3,7,9,38,8,12,5,32,1,2,9269,0,2,1,1,16,1.97,1.89,1.9,1.81,15,7,8,30,1,3,1,13,7,2,0.32,0.94,0.71,0,0,1,28.69,22,21.2,0.24,0.79,0.79,1.42,1.36,1.34,27.34,2.35,2.33,2.59,2.57,25,12,12,49,3,1,0,25,10,2,0.69,1.22,0.45,0,3,0,54.26,37,40.52,0.37,0.03,0.03,2.69,2.96,2.94,7.54,9.18,137,174,0.01,0.4,1,2,1,2
8477520,2022,Jean-Sebastien Dea,ARI,C,4on5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477520,2022,Jean-Sebastien Dea,ARI,C,5on4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
