team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2022,FLA,FLA,Team Level,other,81,0.47,0.52,0.52,12965.0,184.1,41.81,14.27,32.28,6.21,101.06,55.38,37.22,41.81,37.22,181.0,70.0,94.0,345.0,33.0,27.0,7.0,34.0,6.0,87.0,64.0,148.0,218.0,14.0,31.0,156.0,37.0,26.0,31.0,133.0,59.0,59.0,5.34,7.42,29.05,3.0,5.0,25.0,345.0,251.0,251.0,11.0,4.4,10.57,9.98,36.23,36.23,34.07,171.82,47.73,12.32,29.55,5.91,84.86,50.64,45.16,47.73,45.16,172.0,59.0,86.0,317.0,45.0,23.0,4.0,33.0,6.0,68.0,56.0,127.0,186.0,8.0,19.0,146.0,35.0,22.0,30.0,104.0,56.0,71.0,3.82,7.52,36.39,6.0,9.0,30.0,317.0,231.0,231.0,9.0,3.75,7.81,7.81,43.67,43.67,42.02
FLA,2022,FLA,FLA,Team Level,all,81,0.53,0.54,0.54,294009.0,2963.38,310.49,213.62,679.88,99.21,1618.64,1158.15,293.08,312.49,294.96,2987.0,1093.0,1338.0,5418.0,284.0,305.0,57.0,618.0,79.0,1358.0,1436.0,2703.0,3796.0,356.0,784.0,2400.0,1724.0,556.0,712.0,2939.0,793.0,348.0,85.43,99.45,125.62,95.0,90.0,99.0,5462.55,4080.0,4109.95,332.0,48.23,74.41,74.96,283.76,285.34,276.94,2549.39,278.34,180.8,596.49,86.31,1376.78,988.29,263.66,278.07,263.51,2568.0,939.0,1047.0,4554.0,266.0,257.0,38.0,539.0,103.0,1082.0,1260.0,2302.0,3241.0,342.0,758.0,2522.0,1706.0,517.0,760.0,2468.0,723.0,316.0,69.57,90.21,118.56,90.0,81.0,95.0,4533.85,3507.0,3498.36,380.0,40.93,54.87,54.95,264.33,264.32,254.46
FLA,2022,FLA,FLA,Team Level,5on5,81,0.54,0.55,0.54,228619.0,2217.41,198.15,149.96,535.27,73.8,1210.48,893.33,190.2,200.15,192.07,2236.0,825.0,1041.0,4102.0,188.0,212.0,32.0,483.0,54.0,1014.0,1110.0,2048.0,2873.0,314.0,689.0,1759.0,1571.0,460.0,570.0,2248.0,617.0,196.0,65.46,77.46,55.23,79.0,71.0,38.0,4146.55,3061.0,3090.95,271.0,31.09,45.64,46.09,183.16,184.75,181.59,1919.76,169.55,130.14,471.0,64.87,1043.75,766.69,162.92,169.29,162.77,1912.0,734.0,777.0,3423.0,156.0,180.0,24.0,425.0,74.0,826.0,985.0,1756.0,2490.0,312.0,692.0,1875.0,1568.0,424.0,626.0,1936.0,550.0,160.0,55.17,68.55,45.82,69.0,58.0,29.0,3402.84,2646.0,2637.36,334.0,26.99,38.34,38.42,158.13,158.11,155.37
FLA,2022,FLA,FLA,Team Level,4on5,81,0.12,0.17,0.18,25937.0,87.91,7.35,4.17,12.53,2.62,28.12,63.22,6.98,7.35,6.98,94.0,24.0,24.0,142.0,4.0,2.0,1.0,11.0,2.0,23.0,76.0,90.0,114.0,12.0,34.0,218.0,84.0,53.0,41.0,91.0,19.0,8.0,2.68,2.24,2.42,2.0,0.0,2.0,142.0,118.0,118.0,40.0,0.96,0.58,0.58,7.73,7.73,7.48,385.93,53.98,34.56,84.93,13.04,223.54,119.95,48.64,53.98,48.64,405.0,125.0,165.0,695.0,58.0,47.0,9.0,77.0,21.0,164.0,163.0,347.0,472.0,13.0,29.0,272.0,24.0,18.0,72.0,353.0,99.0,78.0,8.43,11.76,33.78,13.0,11.0,34.0,695.0,530.0,530.0,8.0,9.34,7.26,7.26,56.05,56.05,50.67
FLA,2022,FLA,FLA,Team Level,5on4,81,0.9,0.87,0.87,26488.0,473.95,63.19,45.24,99.79,16.57,279.0,146.22,58.7,63.19,58.7,476.0,174.0,179.0,829.0,59.0,64.0,17.0,90.0,17.0,234.0,186.0,417.0,591.0,16.0,30.0,267.0,32.0,17.0,70.0,467.0,98.0,85.0,11.95,12.32,38.91,11.0,14.0,34.0,829.0,650.0,650.0,10.0,11.77,17.62,18.32,56.64,56.64,53.81,71.88,7.08,3.79,10.99,2.5,24.62,51.0,6.93,7.08,6.93,79.0,21.0,19.0,119.0,7.0,7.0,1.0,4.0,2.0,24.0,56.0,72.0,93.0,9.0,18.0,229.0,79.0,53.0,32.0,75.0,18.0,7.0,2.14,2.37,2.57,2.0,3.0,2.0,119.0,100.0,100.0,29.0,0.86,1.47,1.47,6.47,6.47,6.38
BOS,2022,BOS,BOS,Team Level,other,81,0.53,0.44,0.44,12700.0,155.72,37.8,11.42,25.97,5.12,79.1,52.6,36.05,37.8,36.05,155.0,57.0,65.0,277.0,39.0,13.0,4.0,23.0,5.0,64.0,68.0,116.0,173.0,14.0,28.0,163.0,41.0,26.0,29.0,86.0,75.0,51.0,3.89,9.41,24.49,10.0,6.0,23.0,277.0,212.0,212.0,12.0,3.33,3.65,3.65,37.48,37.48,36.27,194.51,34.0,15.24,36.62,6.8,112.53,63.82,29.72,34.0,29.72,187.0,82.0,78.0,347.0,18.0,23.0,4.0,39.0,9.0,98.0,82.0,169.0,251.0,14.0,28.0,143.0,40.0,34.0,24.0,150.0,77.0,42.0,5.74,9.47,18.78,1.0,7.0,10.0,347.0,269.0,269.0,7.0,4.56,7.02,7.02,31.54,31.54,29.3
BOS,2022,BOS,BOS,Team Level,all,81,0.54,0.51,0.52,295365.0,2659.6,282.11,189.7,598.78,86.92,1417.63,1035.92,271.82,285.14,274.82,2683.0,929.0,1161.0,4773.0,296.0,228.0,44.0,592.0,91.0,1077.0,1328.0,2387.0,3316.0,341.0,774.0,2527.0,1916.0,558.0,760.0,2469.0,859.0,284.0,76.62,108.2,97.28,106.0,101.0,89.0,4879.28,3612.0,3682.58,311.0,42.31,49.91,50.01,274.41,277.55,271.29,2456.91,238.4,173.87,564.22,80.87,1342.21,971.49,226.88,235.84,224.46,2413.0,959.0,1134.0,4506.0,170.0,224.0,20.0,593.0,87.0,1048.0,1250.0,2243.0,3202.0,333.0,755.0,2111.0,2088.0,752.0,831.0,2414.0,705.0,253.0,68.36,86.77,83.27,48.0,64.0,58.0,4418.55,3372.0,3319.28,401.0,39.08,48.11,48.25,229.17,227.03,221.15
BOS,2022,BOS,BOS,Team Level,5on5,81,0.54,0.51,0.52,232089.0,2034.33,185.87,138.76,479.67,66.12,1085.49,805.17,180.16,188.92,183.16,2040.0,722.0,886.0,3648.0,195.0,174.0,30.0,480.0,76.0,798.0,1039.0,1845.0,2567.0,285.0,660.0,1847.0,1741.0,448.0,610.0,1965.0,632.0,165.0,60.82,79.46,45.6,88.0,74.0,33.0,3754.28,2762.0,2832.58,266.0,28.85,36.13,36.23,178.49,181.64,178.9,1863.66,159.13,124.07,448.93,61.32,1007.8,755.81,153.43,156.56,151.01,1833.0,725.0,912.0,3470.0,112.0,170.0,12.0,471.0,69.0,762.0,974.0,1721.0,2446.0,290.0,667.0,1575.0,1902.0,632.0,686.0,1890.0,508.0,160.0,53.25,62.39,43.49,41.0,46.0,25.0,3382.55,2558.0,2505.28,353.0,25.72,34.14,34.28,150.49,148.35,145.88
BOS,2022,BOS,BOS,Team Level,4on5,81,0.19,0.2,0.2,26385.0,84.99,8.74,4.53,11.9,2.55,27.27,59.01,8.59,8.74,8.59,96.0,18.0,28.0,142.0,6.0,5.0,0.0,9.0,0.0,22.0,72.0,90.0,108.0,17.0,36.0,235.0,101.0,68.0,32.0,76.0,28.0,10.0,2.48,3.75,2.51,2.0,3.0,1.0,142.0,114.0,114.0,26.0,1.04,0.79,0.79,8.99,8.99,8.87,329.23,37.95,30.78,69.54,10.67,200.49,104.57,36.56,37.95,36.56,314.0,140.0,131.0,585.0,34.0,30.0,4.0,75.0,9.0,178.0,128.0,280.0,420.0,19.0,38.0,218.0,46.0,22.0,89.0,318.0,97.0,39.0,7.93,12.15,17.87,5.0,10.0,19.0,585.0,454.0,454.0,10.0,7.94,6.67,6.67,39.21,39.21,38.19
BOS,2022,BOS,BOS,Team Level,5on4,81,0.87,0.87,0.85,24191.0,384.56,49.69,34.99,81.25,13.13,225.77,119.15,47.02,49.69,47.02,392.0,132.0,182.0,706.0,56.0,36.0,10.0,80.0,10.0,193.0,149.0,336.0,468.0,25.0,50.0,282.0,33.0,16.0,89.0,342.0,124.0,58.0,9.42,15.59,24.68,6.0,18.0,32.0,706.0,524.0,524.0,7.0,9.09,9.34,9.34,49.45,49.45,47.25,69.5,7.32,3.78,9.12,2.08,21.39,47.3,7.17,7.32,7.17,79.0,12.0,13.0,104.0,6.0,1.0,0.0,8.0,0.0,10.0,66.0,73.0,85.0,10.0,22.0,175.0,100.0,64.0,32.0,56.0,23.0,12.0,1.44,2.76,3.13,1.0,1.0,4.0,104.0,91.0,91.0,31.0,0.86,0.27,0.27,7.92,7.92,7.78
MTL,2022,MTL,MTL,Team Level,other,81,0.38,0.48,0.47,9344.0,130.25,24.71,10.1,22.95,4.27,70.72,43.26,22.5,24.71,22.5,129.0,47.0,72.0,248.0,24.0,11.0,1.0,15.0,4.0,68.0,54.0,105.0,152.0,7.0,17.0,117.0,21.0,14.0,26.0,82.0,57.0,37.0,3.29,6.79,14.63,5.0,6.0,13.0,248.0,176.0,176.0,19.0,2.95,3.16,3.0,24.66,24.66,23.1,146.85,40.83,9.98,23.55,4.68,72.9,48.07,36.57,40.83,36.57,148.0,52.0,64.0,264.0,34.0,10.0,0.0,19.0,4.0,74.0,59.0,114.0,166.0,12.0,29.0,118.0,32.0,18.0,31.0,90.0,46.0,64.0,3.52,5.33,31.97,3.0,7.0,24.0,264.0,200.0,200.0,22.0,2.98,4.33,4.11,39.7,39.7,36.4
MTL,2022,MTL,MTL,Team Level,all,81,0.41,0.45,0.45,294817.0,2196.25,215.97,153.47,506.55,72.14,1189.3,876.58,206.89,214.67,205.67,2203.0,811.0,1138.0,4152.0,223.0,196.0,35.0,473.0,52.0,948.0,1122.0,1980.0,2791.0,321.0,748.0,2159.0,1588.0,506.0,1004.0,2139.0,639.0,236.0,62.42,78.84,74.7,69.0,88.0,66.0,4103.24,3014.0,2987.92,735.0,34.03,41.87,41.98,208.03,207.08,202.58,2734.0,311.37,198.14,622.09,90.97,1485.5,1046.93,292.79,314.26,295.6,2732.0,1023.0,1391.0,5146.0,300.0,282.0,45.0,546.0,68.0,1280.0,1279.0,2432.0,3455.0,291.0,671.0,2291.0,1608.0,597.0,889.0,2566.0,809.0,380.0,78.16,100.93,132.28,71.0,115.0,114.0,5238.43,3755.0,3806.94,649.0,44.33,66.4,66.47,289.24,291.87,281.48
MTL,2022,MTL,MTL,Team Level,5on5,81,0.43,0.45,0.45,237227.0,1740.96,154.64,115.2,414.71,56.9,941.74,710.8,149.38,153.35,148.15,1743.0,651.0,918.0,3312.0,161.0,150.0,30.0,402.0,35.0,751.0,895.0,1582.0,2233.0,283.0,666.0,1651.0,1466.0,426.0,866.0,1753.0,489.0,152.0,51.01,60.87,42.76,61.0,69.0,31.0,3263.24,2394.0,2367.92,637.0,23.92,33.46,33.74,144.84,143.88,141.87,2092.35,201.12,144.84,501.07,69.57,1131.04,827.36,192.52,204.01,195.33,2079.0,796.0,1104.0,3979.0,195.0,219.0,31.0,448.0,51.0,936.0,1026.0,1884.0,2680.0,257.0,600.0,1751.0,1495.0,498.0,770.0,2028.0,615.0,232.0,61.84,77.54,61.75,60.0,88.0,47.0,4071.43,2875.0,2926.94,575.0,30.15,46.07,46.13,185.15,187.78,184.3
